3771;11.02.20 15:56:25;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);20200211105512;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;74,20;-0,08;0,00;0,00;
0,00;0,00;74,44;0,06;0,00;0,00;
0,00;0,00;75,05;0,06;0,00;0,00;
0,00;0,00;76,00;0,06;0,00;0,00;
0,00;0,00;77,35;0,06;0,00;0,00;
0,00;0,00;79,09;0,14;0,00;0,00;
0,00;0,00;81,20;0,06;0,00;0,00;
0,00;0,00;85,92;0,14;0,00;0,00;
0,00;0,00;88,34;0,06;0,00;0,00;
0,00;0,00;90,74;0,06;0,00;0,00;
0,00;0,00;93,15;-0,02;0,00;0,00;
0,00;0,00;95,54;0,06;0,00;0,00;
0,00;0,00;100,35;0,06;0,00;0,00;
0,00;0,00;105,15;-0,08;0,00;0,00;
0,00;0,00;107,54;-0,08;0,00;0,00;
0,00;0,00;109,95;-0,02;0,00;0,00;
0,00;0,00;114,74;0,06;0,00;0,00;
0,00;0,00;117,15;-0,08;0,00;0,00;
0,00;0,00;119,54;-0,08;0,00;0,00;
0,00;0,00;124,35;0,06;0,00;0,00;
0,00;0,00;126,75;-0,02;0,00;0,00;
0,00;0,00;129,15;-0,02;0,00;0,00;
0,00;0,00;133,95;-0,08;0,00;0,00;
0,00;0,00;138,74;-0,02;0,00;0,00;
0,00;0,00;141,15;-0,08;0,00;0,00;
0,00;0,00;143,54;0,06;0,00;0,00;
0,00;0,00;150,74;-0,08;0,00;0,00;
0,00;0,00;153,15;-0,02;0,00;0,00;
0,00;0,00;155,54;-0,08;0,00;0,00;
0,00;0,00;157,95;0,06;0,00;0,00;
0,00;0,00;162,75;0,06;0,00;0,00;
0,00;0,00;165,15;-0,08;0,00;0,00;
0,00;0,00;167,54;-0,08;0,00;0,00;
0,00;0,00;169,95;-0,16;0,00;0,00;
0,00;0,00;174,74;-0,02;0,00;0,00;
0,00;0,00;179,54;-0,02;0,00;0,00;
0,00;0,00;181,95;-0,08;0,00;0,00;
0,00;0,00;184,35;-0,08;0,00;0,00;
0,00;0,00;186,43;-0,16;0,00;0,00;
0,00;0,00;189,59;-0,16;0,00;0,00;
0,00;0,00;190,59;-0,16;0,00;0,00;
0,00;0,00;191,21;-0,23;0,00;0,00;
0,00;0,00;191,45;-0,31;0,00;0,00;
0,00;0,00;191,52;-0,31;0,00;0,00;
0,00;0,00;191,56;-0,09;0,00;0,00;
0,00;0,00;192,51;-0,08;0,00;0,00;
0,00;0,00;194,75;-0,08;0,00;0,00;
0,00;0,00;194,91;-0,08;0,00;0,00;
0,00;0,00;195,55;-0,08;0,00;0,00;
0,00;0,00;198,59;0,06;0,00;0,00;
0,00;0,00;200,03;0,75;0,00;0,00;
0,00;0,00;200,18;6,54;0,00;0,00;
0,00;0,00;200,32;15,51;0,00;0,00;
0,00;0,00;200,31;15,22;0,00;0,00;
0,00;0,00;200,34;18,04;0,00;0,00;
0,00;0,00;200,35;18,33;0,00;0,00;
0,00;0,00;200,35;18,49;0,00;0,00;
0,00;0,00;200,35;18,80;0,00;0,00;
0,00;0,00;200,36;18,88;0,00;0,00;
0,00;0,00;200,36;18,88;0,00;0,00;
0,00;0,00;200,36;19,10;0,00;0,00;
0,00;0,00;200,36;19,17;0,00;0,00;
0,00;0,00;200,36;19,10;0,00;0,00;
0,00;0,00;200,36;19,17;0,00;0,00;
0,00;0,00;200,36;19,10;0,00;0,00;
0,00;0,00;200,36;19,17;0,00;0,00;
0,00;0,00;200,36;19,10;0,00;0,00;
