55889;23.08.21 13:56:43;21;Avvicinamento Pressata Fuori Ingombro;force < min. force (9);20210823095724P0038;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;47,30;-0,16;0,00;0,00;
0,00;0,00;47,54;0,08;0,00;0,00;
0,00;0,00;50,45;0,08;0,00;0,00;
0,00;0,00;54,31;0,22;0,00;0,00;
0,00;0,00;68,64;-0,08;0,00;0,00;
0,00;0,00;78,25;-0,08;0,00;0,00;
0,00;0,00;85,45;-0,08;0,00;0,00;
0,00;0,00;90,25;-0,16;0,00;0,00;
0,00;0,00;99,85;-0,08;0,00;0,00;
0,00;0,00;123,85;-0,08;0,00;0,00;
0,00;0,00;128,65;-0,08;0,00;0,00;
0,00;0,00;147,85;-0,08;0,00;0,00;
0,00;0,00;150,25;-0,16;0,00;0,00;
0,00;0,00;162,25;-0,08;0,00;0,00;
0,00;0,00;174,25;0,08;0,00;0,00;
0,00;0,00;193,30;-0,08;0,00;0,00;
0,00;0,00;196,76;-0,08;0,00;0,00;
0,00;0,00;199,21;-0,08;0,00;0,00;
0,00;0,00;199,51;-0,08;0,00;0,00;
0,00;0,00;200,28;-0,08;0,00;0,00;
0,00;0,00;201,08;-0,08;0,00;0,00;
0,00;0,00;204,12;0,08;0,00;0,00;
0,00;0,00;205,40;0,08;0,00;0,00;
0,00;0,00;205,72;0,08;0,00;0,00;
0,00;0,00;205,88;0,08;0,00;0,00;
0,00;0,00;206,04;0,31;0,00;0,00;
0,00;0,00;206,20;0,31;0,00;0,00;
0,00;0,00;206,36;0,23;0,00;0,00;
0,00;0,00;206,52;0,31;0,00;0,00;
0,00;0,00;206,68;0,23;0,00;0,00;
0,00;0,00;207,20;0,08;0,00;0,00;
0,00;0,00;207,20;0,08;0,00;0,00;
0,00;0,00;207,20;0,08;0,00;0,00;
0,00;0,00;207,20;0,16;0,00;0,00;
0,00;0,00;207,20;0,16;0,00;0,00;
0,00;0,00;207,20;0,08;0,00;0,00;
0,00;0,00;207,20;0,31;0,00;0,00;
0,00;0,00;207,20;0,16;0,00;0,00;
0,00;0,00;207,20;0,23;0,00;0,00;
