8291;27.03.20 11:24:32;10;Repair_strategy;force > max. force (8);20200327062640P0001;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;34,35;0,05;0,00;0,00;
0,00;0,00;34,88;0,04;0,00;0,00;
0,00;0,00;35,92;0,04;0,00;0,00;
0,00;0,00;37,48;0,05;0,00;0,00;
0,00;0,00;39,54;0,04;0,00;0,00;
0,00;0,00;42,11;0,05;0,00;0,00;
0,00;0,00;45,20;0,02;0,00;0,00;
0,00;0,00;48,68;0,03;0,00;0,00;
0,00;0,00;52,19;0,04;0,00;0,00;
0,00;0,00;55,71;0,02;0,00;0,00;
0,00;0,00;59,23;0,03;0,00;0,00;
0,00;0,00;62,75;0,04;0,00;0,00;
0,00;0,00;66,27;0,04;0,00;0,00;
0,00;0,00;69,79;0,04;0,00;0,00;
0,00;0,00;73,31;0,04;0,00;0,00;
0,00;0,00;76,83;0,01;0,00;0,00;
0,00;0,00;80,35;0,01;0,00;0,00;
0,00;0,00;83,87;0,03;0,00;0,00;
0,00;0,00;87,39;0,03;0,00;0,00;
0,00;0,00;90,62;0,02;0,00;0,00;
0,00;0,00;97,44;0,01;0,00;0,00;
0,00;0,00;98,72;0,00;0,00;0,00;
0,00;0,00;99,50;-0,02;0,00;0,00;
0,00;0,00;99,79;-0,01;0,00;0,00;
0,00;0,00;99,89;0,00;0,00;0,00;
0,00;0,00;100,61;0,01;0,00;0,00;
0,00;0,00;101,33;0,01;0,00;0,00;
0,00;0,00;101,47;0,01;0,00;0,00;
0,00;0,00;101,81;0,01;0,00;0,00;
0,00;0,00;101,54;-0,03;0,00;0,00;
0,00;0,00;100,76;-0,04;0,00;0,00;
0,00;0,00;99,49;0,00;0,00;0,00;
0,00;0,00;97,79;0,01;0,00;0,00;
0,00;0,00;97,79;0,01;0,00;0,00;
0,00;0,00;97,84;0,02;0,00;0,00;
0,00;0,00;99,29;0,01;0,00;0,00;
0,00;0,00;99,44;0,01;0,00;0,00;
0,00;0,00;99,72;0,01;0,00;0,00;
0,00;0,00;100,01;0,01;0,00;0,00;
0,00;0,00;100,30;0,01;0,00;0,00;
0,00;0,00;100,73;0,01;0,00;0,00;
0,00;0,00;100,88;0,01;0,00;0,00;
0,00;0,00;101,02;0,01;0,00;0,00;
0,00;0,00;101,45;0,01;0,00;0,00;
0,00;0,00;101,60;0,01;0,00;0,00;
0,00;0,00;101,74;0,01;0,00;0,00;
0,00;0,00;102,46;0,01;0,00;0,00;
0,00;0,00;102,61;0,01;0,00;0,00;
0,00;0,00;103,04;0,01;0,00;0,00;
0,00;0,00;103,18;0,01;0,00;0,00;
0,00;0,00;103,47;0,01;0,00;0,00;
0,00;0,00;103,62;0,01;0,00;0,00;
