76795;09.09.21 09:04:04;10;Repair_strategy;force > max. force (8);20210908163039A0217;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;160,58;7,57;0,00;0,00;
0,00;0,00;160,74;7,82;0,00;0,00;
0,00;0,00;160,90;7,93;0,00;0,00;
0,00;0,00;161,06;8,18;0,00;0,00;
0,00;0,00;161,22;8,34;0,00;0,00;
0,00;0,00;161,38;8,54;0,00;0,00;
0,00;0,00;161,54;8,68;0,00;0,00;
0,00;0,00;161,70;8,93;0,00;0,00;
0,00;0,00;161,86;9,07;0,00;0,00;
0,00;0,00;162,02;9,29;0,00;0,00;
0,00;0,00;162,18;9,41;0,00;0,00;
0,00;0,00;162,34;9,63;0,00;0,00;
0,00;0,00;162,50;9,81;0,00;0,00;
0,00;0,00;162,66;10,02;0,00;0,00;
0,00;0,00;162,82;10,20;0,00;0,00;
0,00;0,00;162,98;10,40;0,00;0,00;
0,00;0,00;163,14;10,47;0,00;0,00;
0,00;0,00;163,30;10,69;0,00;0,00;
0,00;0,00;163,46;10,87;0,00;0,00;
0,00;0,00;163,62;11,17;0,00;0,00;
0,00;0,00;163,78;11,28;0,00;0,00;
0,00;0,00;163,94;11,53;0,00;0,00;
0,00;0,00;164,10;11,73;0,00;0,00;
0,00;0,00;164,26;11,91;0,00;0,00;
0,00;0,00;164,42;12,07;0,00;0,00;
0,00;0,00;164,58;12,30;0,00;0,00;
0,00;0,00;164,74;12,39;0,00;0,00;
0,00;0,00;164,90;12,61;0,00;0,00;
0,00;0,00;165,06;12,84;0,00;0,00;
0,00;0,00;165,22;12,88;0,00;0,00;
0,00;0,00;165,38;13,14;0,00;0,00;
0,00;0,00;165,54;13,32;0,00;0,00;
0,00;0,00;165,70;13,50;0,00;0,00;
0,00;0,00;165,86;16,68;0,00;0,00;
0,00;0,00;165,97;21,57;0,00;0,00;
0,00;0,00;165,98;22,52;0,00;0,00;
0,00;0,00;165,98;22,83;0,00;0,00;
0,00;0,00;165,99;23,29;0,00;0,00;
0,00;0,00;166,00;23,67;0,00;0,00;
0,00;0,00;166,01;23,99;0,00;0,00;
0,00;0,00;166,01;24,35;0,00;0,00;
0,00;0,00;166,02;24,55;0,00;0,00;
0,00;0,00;166,02;24,78;0,00;0,00;
0,00;0,00;166,03;25,00;0,00;0,00;
0,00;0,00;166,03;25,19;0,00;0,00;
0,00;0,00;166,03;25,28;0,00;0,00;
0,00;0,00;166,04;25,41;0,00;0,00;
0,00;0,00;166,04;25,57;0,00;0,00;
0,00;0,00;166,04;25,69;0,00;0,00;
0,00;0,00;166,04;25,77;0,00;0,00;
0,00;0,00;166,04;25,84;0,00;0,00;
0,00;0,00;166,05;25,87;0,00;0,00;
0,00;0,00;166,05;25,95;0,00;0,00;
0,00;0,00;166,05;25,95;0,00;0,00;
