8308;30.03.20 14:57:52;10;Repair_strategy;force > max. force (8);20200327063626P0001;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;34,30;0,01;0,00;0,00;
0,00;0,00;34,35;0,05;0,00;0,00;
0,00;0,00;34,88;0,05;0,00;0,00;
0,00;0,00;35,92;0,05;0,00;0,00;
0,00;0,00;37,47;0,05;0,00;0,00;
0,00;0,00;39,53;0,05;0,00;0,00;
0,00;0,00;42,11;0,05;0,00;0,00;
0,00;0,00;45,20;0,04;0,00;0,00;
0,00;0,00;48,67;0,03;0,00;0,00;
0,00;0,00;52,19;0,03;0,00;0,00;
0,00;0,00;55,71;0,01;0,00;0,00;
0,00;0,00;59,23;0,02;0,00;0,00;
0,00;0,00;62,75;0,01;0,00;0,00;
0,00;0,00;66,27;0,03;0,00;0,00;
0,00;0,00;69,78;0,04;0,00;0,00;
0,00;0,00;73,31;0,03;0,00;0,00;
0,00;0,00;80,35;0,01;0,00;0,00;
0,00;0,00;83,87;0,02;0,00;0,00;
0,00;0,00;87,39;0,03;0,00;0,00;
0,00;0,00;90,62;0,02;0,00;0,00;
0,00;0,00;93,40;0,01;0,00;0,00;
0,00;0,00;97,44;0,01;0,00;0,00;
0,00;0,00;98,72;-0,01;0,00;0,00;
0,00;0,00;99,50;0,22;0,00;0,00;
0,00;0,00;99,79;0,74;0,00;0,00;
0,00;0,00;99,81;0,77;0,00;0,00;
0,00;0,00;99,86;0,84;0,00;0,00;
0,00;0,00;99,99;0,87;0,00;0,00;
0,00;0,00;100,14;0,96;0,00;0,00;
0,00;0,00;100,28;1,02;0,00;0,00;
0,00;0,00;100,43;1,10;0,00;0,00;
0,00;0,00;100,57;1,15;0,00;0,00;
0,00;0,00;100,72;1,20;0,00;0,00;
0,00;0,00;100,86;1,28;0,00;0,00;
0,00;0,00;101,00;1,31;0,00;0,00;
0,00;0,00;101,15;1,36;0,00;0,00;
0,00;0,00;101,29;1,40;0,00;0,00;
