37225;28.04.21 10:37:02;21;Avvicinamento Pressata Fuori Ingombro;force < min. force (9);20210423084758P0031;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;74,20;-0,22;0,00;0,00;
0,00;0,00;74,44;0,08;0,00;0,00;
0,00;0,00;76,01;0,16;0,00;0,00;
0,00;0,00;77,35;0,08;0,00;0,00;
0,00;0,00;79,09;0,16;0,00;0,00;
0,00;0,00;81,21;0,08;0,00;0,00;
0,00;0,00;83,57;0,08;0,00;0,00;
0,00;0,00;85,93;0,08;0,00;0,00;
0,00;0,00;88,34;0,08;0,00;0,00;
0,00;0,00;90,74;0,08;0,00;0,00;
0,00;0,00;93,15;0,08;0,00;0,00;
0,00;0,00;97,95;0,08;0,00;0,00;
0,00;0,00;100,35;0,08;0,00;0,00;
0,00;0,00;105,15;0,08;0,00;0,00;
0,00;0,00;107,54;0,08;0,00;0,00;
0,00;0,00;109,95;0,08;0,00;0,00;
0,00;0,00;112,35;0,08;0,00;0,00;
0,00;0,00;114,74;0,08;0,00;0,00;
0,00;0,00;119,54;-0,08;0,00;0,00;
0,00;0,00;121,95;0,08;0,00;0,00;
0,00;0,00;124,35;0,08;0,00;0,00;
0,00;0,00;126,75;0,08;0,00;0,00;
0,00;0,00;129,15;-0,08;0,00;0,00;
0,00;0,00;136,35;0,08;0,00;0,00;
0,00;0,00;141,15;0,08;0,00;0,00;
0,00;0,00;143,54;0,08;0,00;0,00;
0,00;0,00;145,95;0,08;0,00;0,00;
0,00;0,00;148,35;0,08;0,00;0,00;
0,00;0,00;150,74;0,08;0,00;0,00;
0,00;0,00;160,35;0,08;0,00;0,00;
0,00;0,00;162,75;0,08;0,00;0,00;
0,00;0,00;165,15;0,08;0,00;0,00;
0,00;0,00;167,54;0,08;0,00;0,00;
0,00;0,00;169,95;0,08;0,00;0,00;
0,00;0,00;172,35;0,16;0,00;0,00;
0,00;0,00;174,74;0,08;0,00;0,00;
0,00;0,00;177,15;0,08;0,00;0,00;
0,00;0,00;179,54;0,08;0,00;0,00;
0,00;0,00;181,95;0,08;0,00;0,00;
0,00;0,00;186,43;0,08;0,00;0,00;
0,00;0,00;188,19;-0,08;0,00;0,00;
0,00;0,00;189,59;-0,08;0,00;0,00;
0,00;0,00;190,59;-0,08;0,00;0,00;
0,00;0,00;191,21;-0,22;0,00;0,00;
0,00;0,00;191,45;-0,16;0,00;0,00;
0,00;0,00;191,51;-0,16;0,00;0,00;
0,00;0,00;191,51;-0,22;0,00;0,00;
0,00;0,00;191,56;0,08;0,00;0,00;
0,00;0,00;192,35;-0,08;0,00;0,00;
0,00;0,00;192,51;0,08;0,00;0,00;
0,00;0,00;192,99;0,08;0,00;0,00;
0,00;0,00;193,15;0,08;0,00;0,00;
0,00;0,00;193,63;0,08;0,00;0,00;
0,00;0,00;193,79;0,08;0,00;0,00;
0,00;0,00;193,95;0,08;0,00;0,00;
0,00;0,00;194,11;0,08;0,00;0,00;
0,00;0,00;194,27;0,08;0,00;0,00;
0,00;0,00;194,59;0,08;0,00;0,00;
0,00;0,00;194,75;0,08;0,00;0,00;
0,00;0,00;194,91;0,08;0,00;0,00;
0,00;0,00;195,07;0,08;0,00;0,00;
0,00;0,00;195,23;0,08;0,00;0,00;
0,00;0,00;195,55;0,08;0,00;0,00;
0,00;0,00;195,71;0,08;0,00;0,00;
0,00;0,00;195,87;0,08;0,00;0,00;
0,00;0,00;196,03;0,08;0,00;0,00;
0,00;0,00;196,19;0,08;0,00;0,00;
0,00;0,00;196,35;0,08;0,00;0,00;
0,00;0,00;196,51;0,08;0,00;0,00;
0,00;0,00;196,67;0,08;0,00;0,00;
0,00;0,00;196,83;0,08;0,00;0,00;
0,00;0,00;196,99;0,08;0,00;0,00;
0,00;0,00;197,15;0,08;0,00;0,00;
0,00;0,00;197,47;0,08;0,00;0,00;
0,00;0,00;197,63;0,08;0,00;0,00;
0,00;0,00;197,79;0,08;0,00;0,00;
0,00;0,00;197,95;0,08;0,00;0,00;
0,00;0,00;198,11;0,08;0,00;0,00;
0,00;0,00;198,27;0,08;0,00;0,00;
0,00;0,00;198,43;0,08;0,00;0,00;
0,00;0,00;198,59;0,08;0,00;0,00;
0,00;0,00;198,75;0,08;0,00;0,00;
0,00;0,00;198,91;0,08;0,00;0,00;
0,00;0,00;199,07;0,08;0,00;0,00;
0,00;0,00;199,23;0,08;0,00;0,00;
0,00;0,00;199,39;0,08;0,00;0,00;
0,00;0,00;199,55;0,08;0,00;0,00;
0,00;0,00;199,71;0,08;0,00;0,00;
0,00;0,00;199,87;0,08;0,00;0,00;
0,00;0,00;200,03;0,16;0,00;0,00;
0,00;0,00;200,19;0,08;0,00;0,00;
0,00;0,00;200,35;0,08;0,00;0,00;
0,00;0,00;200,51;0,16;0,00;0,00;
0,00;0,00;200,67;0,08;0,00;0,00;
0,00;0,00;200,83;0,08;0,00;0,00;
0,00;0,00;200,99;0,08;0,00;0,00;
0,00;0,00;201,15;0,08;0,00;0,00;
0,00;0,00;201,47;0,08;0,00;0,00;
0,00;0,00;201,60;0,08;0,00;0,00;
0,00;0,00;201,60;-0,16;0,00;0,00;
0,00;0,00;201,60;-0,16;0,00;0,00;
0,00;0,00;201,60;0,08;0,00;0,00;
0,00;0,00;201,60;0,08;0,00;0,00;
0,00;0,00;201,60;0,08;0,00;0,00;
0,00;0,00;201,60;0,08;0,00;0,00;
0,00;0,00;201,60;0,08;0,00;0,00;
0,00;0,00;201,60;0,08;0,00;0,00;
0,00;0,00;201,60;0,08;0,00;0,00;
