8536;19.05.20 10:17:14;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20200519092743P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;15,50;-0,01;0,00;0,00;
0,00;0,00;15,76;0,04;0,00;0,00;
0,00;0,00;16,55;0,03;0,00;0,00;
0,00;0,00;17,84;0,03;0,00;0,00;
0,00;0,00;19,65;0,03;0,00;0,00;
0,00;0,00;21,96;0,04;0,00;0,00;
0,00;0,00;24,80;0,03;0,00;0,00;
0,00;0,00;28,13;0,02;0,00;0,00;
0,00;0,00;31,62;0,02;0,00;0,00;
0,00;0,00;35,15;0,01;0,00;0,00;
0,00;0,00;38,67;0,02;0,00;0,00;
0,00;0,00;42,19;0,02;0,00;0,00;
0,00;0,00;45,71;0,02;0,00;0,00;
0,00;0,00;49,23;0,01;0,00;0,00;
0,00;0,00;52,75;0,03;0,00;0,00;
0,00;0,00;56,27;0,02;0,00;0,00;
0,00;0,00;59,79;0,03;0,00;0,00;
0,00;0,00;63,31;0,02;0,00;0,00;
0,00;0,00;66,83;0,01;0,00;0,00;
0,00;0,00;70,35;0,02;0,00;0,00;
0,00;0,00;73,87;0,02;0,00;0,00;
0,00;0,00;77,39;0,02;0,00;0,00;
0,00;0,00;80,90;0,02;0,00;0,00;
0,00;0,00;84,43;0,01;0,00;0,00;
0,00;0,00;87,95;0,01;0,00;0,00;
0,00;0,00;91,47;0,03;0,00;0,00;
0,00;0,00;94,99;0,02;0,00;0,00;
0,00;0,00;98,51;0,03;0,00;0,00;
0,00;0,00;102,03;0,02;0,00;0,00;
0,00;0,00;105,55;0,01;0,00;0,00;
0,00;0,00;109,07;0,02;0,00;0,00;
0,00;0,00;112,59;0,01;0,00;0,00;
0,00;0,00;116,11;0,01;0,00;0,00;
0,00;0,00;119,63;0,02;0,00;0,00;
0,00;0,00;123,15;0,01;0,00;0,00;
0,00;0,00;126,50;-0,01;0,00;0,00;
0,00;0,00;129,39;-0,01;0,00;0,00;
0,00;0,00;131,77;-0,01;0,00;0,00;
0,00;0,00;133,67;-0,01;0,00;0,00;
0,00;0,00;135,07;-0,00;0,00;0,00;
0,00;0,00;135,97;-0,01;0,00;0,00;
0,00;0,00;136,37;-0,01;0,00;0,00;
0,00;0,00;136,41;0,01;0,00;0,00;
0,00;0,00;136,46;0,01;0,00;0,00;
0,00;0,00;138,15;0,01;0,00;0,00;
0,00;0,00;138,31;0,01;0,00;0,00;
0,00;0,00;139,12;0,01;0,00;0,00;
0,00;0,00;140,08;0,01;0,00;0,00;
0,00;0,00;140,71;0,01;0,00;0,00;
0,00;0,00;141,19;0,01;0,00;0,00;
0,00;0,00;141,27;0,01;0,00;0,00;
0,00;0,00;141,83;0,01;0,00;0,00;
0,00;0,00;141,99;0,01;0,00;0,00;
0,00;0,00;142,24;0,01;0,00;0,00;
0,00;0,00;143,52;0,01;0,00;0,00;
0,00;0,00;143,75;0,01;0,00;0,00;
0,00;0,00;144,80;0,01;0,00;0,00;
0,00;0,00;144,87;0,01;0,00;0,00;
0,00;0,00;145,11;0,01;0,00;0,00;
0,00;0,00;145,27;0,01;0,00;0,00;
0,00;0,00;145,51;0,01;0,00;0,00;
0,00;0,00;145,67;0,01;0,00;0,00;
0,00;0,00;145,75;0,01;0,00;0,00;
0,00;0,00;145,91;0,01;0,00;0,00;
0,00;0,00;146,00;0,01;0,00;0,00;
0,00;0,00;146,07;0,01;0,00;0,00;
0,00;0,00;147,67;0,01;0,00;0,00;
0,00;0,00;147,75;0,01;0,00;0,00;
0,00;0,00;147,83;0,01;0,00;0,00;
0,00;0,00;147,92;0,01;0,00;0,00;
0,00;0,00;148,23;0,01;0,00;0,00;
0,00;0,00;148,87;0,01;0,00;0,00;
0,00;0,00;149,59;0,01;0,00;0,00;
0,00;0,00;149,76;0,01;0,00;0,00;
0,00;0,00;149,84;0,01;0,00;0,00;
0,00;0,00;149,99;0,01;0,00;0,00;
0,00;0,00;150,23;0,01;0,00;0,00;
0,00;0,00;150,31;0,01;0,00;0,00;
0,00;0,00;150,40;0,01;0,00;0,00;
0,00;0,00;150,48;0,01;0,00;0,00;
0,00;0,00;150,63;0,01;0,00;0,00;
0,00;0,00;150,71;0,01;0,00;0,00;
0,00;0,00;150,79;0,01;0,00;0,00;
0,00;0,00;151,27;0,01;0,00;0,00;
0,00;0,00;151,51;0,01;0,00;0,00;
0,00;0,00;151,68;0,01;0,00;0,00;
0,00;0,00;151,83;0,01;0,00;0,00;
0,00;0,00;151,91;0,01;0,00;0,00;
0,00;0,00;151,99;0,01;0,00;0,00;
0,00;0,00;153,11;0,01;0,00;0,00;
0,00;0,00;153,19;0,01;0,00;0,00;
0,00;0,00;153,52;0,01;0,00;0,00;
0,00;0,00;153,75;0,01;0,00;0,00;
0,00;0,00;154,24;0,01;0,00;0,00;
0,00;0,00;154,31;0,01;0,00;0,00;
0,00;0,00;154,39;0,01;0,00;0,00;
0,00;0,00;154,71;0,01;0,00;0,00;
0,00;0,00;154,95;0,01;0,00;0,00;
0,00;0,00;155,91;0,01;0,00;0,00;
0,00;0,00;156,07;0,01;0,00;0,00;
0,00;0,00;156,15;-0,01;0,00;0,00;
0,00;0,00;156,16;0,01;0,00;0,00;
0,00;0,00;156,02;-0,05;0,00;0,00;
0,00;0,00;155,35;-0,04;0,00;0,00;
0,00;0,00;154,19;-0,05;0,00;0,00;
0,00;0,00;152,51;-0,04;0,00;0,00;
0,00;0,00;150,32;-0,06;0,00;0,00;
0,00;0,00;147,62;-0,07;0,00;0,00;
0,00;0,00;144,40;-0,06;0,00;0,00;
0,00;0,00;140,91;-0,04;0,00;0,00;
0,00;0,00;137,38;-0,02;0,00;0,00;
0,00;0,00;133,86;-0,03;0,00;0,00;
0,00;0,00;130,34;-0,03;0,00;0,00;
0,00;0,00;126,82;-0,04;0,00;0,00;
0,00;0,00;123,30;-0,02;0,00;0,00;
0,00;0,00;119,78;-0,01;0,00;0,00;
0,00;0,00;116,26;-0,02;0,00;0,00;
0,00;0,00;112,74;-0,02;0,00;0,00;
0,00;0,00;109,22;-0,02;0,00;0,00;
0,00;0,00;105,70;-0,03;0,00;0,00;
0,00;0,00;102,18;-0,01;0,00;0,00;
0,00;0,00;98,66;-0,02;0,00;0,00;
0,00;0,00;95,14;-0,03;0,00;0,00;
0,00;0,00;91,62;-0,03;0,00;0,00;
