76558;08.09.21 13:48:46;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20210908104157A0217;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;1,90;0,02;0,00;0,00;
0,00;0,00;1,96;0,27;0,00;0,00;
0,00;0,00;2,52;0,18;0,00;0,00;
0,00;0,00;3,54;0,25;0,00;0,00;
0,00;0,00;5,07;0,25;0,00;0,00;
0,00;0,00;7,11;0,25;0,00;0,00;
0,00;0,00;9,68;0,25;0,00;0,00;
0,00;0,00;12,74;0,23;0,00;0,00;
0,00;0,00;15,85;0,23;0,00;0,00;
0,00;0,00;19,04;0,16;0,00;0,00;
0,00;0,00;22,25;0,13;0,00;0,00;
0,00;0,00;25,45;0,18;0,00;0,00;
0,00;0,00;28,65;0,18;0,00;0,00;
0,00;0,00;31,85;0,16;0,00;0,00;
0,00;0,00;35,05;0,13;0,00;0,00;
0,00;0,00;38,25;0,16;0,00;0,00;
0,00;0,00;41,45;0,16;0,00;0,00;
0,00;0,00;44,65;0,20;0,00;0,00;
0,00;0,00;47,85;0,18;0,00;0,00;
0,00;0,00;51,05;0,20;0,00;0,00;
0,00;0,00;54,25;0,18;0,00;0,00;
0,00;0,00;57,45;0,16;0,00;0,00;
0,00;0,00;60,65;0,20;0,00;0,00;
0,00;0,00;63,85;0,16;0,00;0,00;
0,00;0,00;67,05;0,16;0,00;0,00;
0,00;0,00;70,25;0,16;0,00;0,00;
0,00;0,00;73,45;0,18;0,00;0,00;
0,00;0,00;76,65;0,20;0,00;0,00;
0,00;0,00;79,85;0,18;0,00;0,00;
0,00;0,00;83,05;0,16;0,00;0,00;
0,00;0,00;86,25;0,16;0,00;0,00;
0,00;0,00;89,45;0,13;0,00;0,00;
0,00;0,00;92,65;0,18;0,00;0,00;
0,00;0,00;95,85;0,16;0,00;0,00;
0,00;0,00;99,05;0,16;0,00;0,00;
0,00;0,00;102,25;0,13;0,00;0,00;
0,00;0,00;105,45;0,18;0,00;0,00;
0,00;0,00;108,65;0,16;0,00;0,00;
0,00;0,00;111,85;0,16;0,00;0,00;
0,00;0,00;115,05;0,11;0,00;0,00;
0,00;0,00;118,25;0,13;0,00;0,00;
0,00;0,00;121,45;0,16;0,00;0,00;
0,00;0,00;124,65;0,20;0,00;0,00;
0,00;0,00;127,85;0,16;0,00;0,00;
0,00;0,00;131,05;0,16;0,00;0,00;
0,00;0,00;134,25;0,18;0,00;0,00;
0,00;0,00;137,45;0,13;0,00;0,00;
0,00;0,00;140,65;0,18;0,00;0,00;
0,00;0,00;143,54;0,09;0,00;0,00;
0,00;0,00;145,94;0,05;0,00;0,00;
0,00;0,00;147,88;0,07;0,00;0,00;
0,00;0,00;149,30;0,07;0,00;0,00;
0,00;0,00;150,21;0,05;0,00;0,00;
0,00;0,00;150,60;0,02;0,00;0,00;
0,00;0,00;150,69;0,12;0,00;0,00;
0,00;0,00;150,70;0,09;0,00;0,00;
0,00;0,00;150,73;0,13;0,00;0,00;
0,00;0,00;150,89;0,11;0,00;0,00;
0,00;0,00;151,04;0,07;0,00;0,00;
0,00;0,00;151,21;0,12;0,00;0,00;
0,00;0,00;151,37;0,12;0,00;0,00;
0,00;0,00;151,53;0,12;0,00;0,00;
0,00;0,00;151,69;0,12;0,00;0,00;
0,00;0,00;151,85;0,12;0,00;0,00;
0,00;0,00;152,01;0,12;0,00;0,00;
0,00;0,00;152,17;0,12;0,00;0,00;
0,00;0,00;152,33;0,12;0,00;0,00;
0,00;0,00;152,49;0,12;0,00;0,00;
0,00;0,00;152,65;0,12;0,00;0,00;
0,00;0,00;152,81;0,12;0,00;0,00;
0,00;0,00;152,97;0,12;0,00;0,00;
0,00;0,00;153,13;0,12;0,00;0,00;
0,00;0,00;153,29;0,09;0,00;0,00;
0,00;0,00;153,45;0,12;0,00;0,00;
0,00;0,00;153,61;0,12;0,00;0,00;
0,00;0,00;153,77;0,12;0,00;0,00;
0,00;0,00;153,93;0,12;0,00;0,00;
0,00;0,00;154,09;0,12;0,00;0,00;
0,00;0,00;154,25;0,30;0,00;0,00;
0,00;0,00;154,41;0,31;0,00;0,00;
0,00;0,00;154,57;1,06;0,00;0,00;
0,00;0,00;154,72;1,51;0,00;0,00;
0,00;0,00;154,88;1,72;0,00;0,00;
0,00;0,00;155,04;1,74;0,00;0,00;
0,00;0,00;155,20;1,88;0,00;0,00;
0,00;0,00;155,37;1,88;0,00;0,00;
0,00;0,00;155,53;2,06;0,00;0,00;
0,00;0,00;155,69;2,12;0,00;0,00;
0,00;0,00;155,85;2,28;0,00;0,00;
0,00;0,00;156,01;2,40;0,00;0,00;
0,00;0,00;156,17;2,58;0,00;0,00;
0,00;0,00;156,33;2,64;0,00;0,00;
0,00;0,00;156,49;2,81;0,00;0,00;
0,00;0,00;156,65;2,87;0,00;0,00;
0,00;0,00;156,81;3,03;0,00;0,00;
0,00;0,00;156,97;3,14;0,00;0,00;
0,00;0,00;157,13;3,26;0,00;0,00;
0,00;0,00;157,29;3,42;0,00;0,00;
0,00;0,00;157,45;3,57;0,00;0,00;
0,00;0,00;157,61;3,64;0,00;0,00;
0,00;0,00;157,77;3,75;0,00;0,00;
0,00;0,00;157,93;3,91;0,00;0,00;
0,00;0,00;158,09;4,00;0,00;0,00;
0,00;0,00;158,25;4,18;0,00;0,00;
0,00;0,00;158,40;4,32;0,00;0,00;
0,00;0,00;158,57;4,41;0,00;0,00;
0,00;0,00;158,72;4,52;0,00;0,00;
0,00;0,00;158,88;4,66;0,00;0,00;
0,00;0,00;159,05;4,77;0,00;0,00;
0,00;0,00;159,21;4,95;0,00;0,00;
0,00;0,00;159,37;5,09;0,00;0,00;
0,00;0,00;159,53;5,20;0,00;0,00;
0,00;0,00;159,69;5,27;0,00;0,00;
0,00;0,00;159,85;5,40;0,00;0,00;
0,00;0,00;160,01;5,54;0,00;0,00;
0,00;0,00;160,17;5,70;0,00;0,00;
0,00;0,00;160,32;5,81;0,00;0,00;
0,00;0,00;160,49;5,90;0,00;0,00;
0,00;0,00;160,65;6,06;0,00;0,00;
0,00;0,00;160,80;6,18;0,00;0,00;
0,00;0,00;160,96;6,33;0,00;0,00;
0,00;0,00;161,12;6,37;0,00;0,00;
0,00;0,00;161,29;6,58;0,00;0,00;
0,00;0,00;161,44;6,72;0,00;0,00;
0,00;0,00;161,61;6,85;0,00;0,00;
0,00;0,00;161,76;6,97;0,00;0,00;
0,00;0,00;161,93;7,12;0,00;0,00;
0,00;0,00;162,09;7,26;0,00;0,00;
0,00;0,00;162,25;7,35;0,00;0,00;
0,00;0,00;162,41;7,51;0,00;0,00;
0,00;0,00;162,57;7,57;0,00;0,00;
0,00;0,00;162,73;7,73;0,00;0,00;
0,00;0,00;162,88;7,85;0,00;0,00;
0,00;0,00;163,04;8,00;0,00;0,00;
0,00;0,00;163,06;7,48;0,00;0,00;
0,00;0,00;163,07;7,35;0,00;0,00;
0,00;0,00;163,07;7,26;0,00;0,00;
0,00;0,00;163,07;7,15;0,00;0,00;
0,00;0,00;163,07;7,08;0,00;0,00;
