7995;27.02.20 15:23:09;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;131,77;1,83;0,00;0,00;
0,00;0,00;131,86;1,83;0,00;0,00;
0,00;0,00;131,96;1,81;0,00;0,00;
0,00;0,00;132,06;1,83;0,00;0,00;
0,00;0,00;132,15;1,90;0,00;0,00;
0,00;0,00;132,25;1,88;0,00;0,00;
0,00;0,00;132,34;1,90;0,00;0,00;
0,00;0,00;132,44;1,90;0,00;0,00;
0,00;0,00;132,54;1,89;0,00;0,00;
0,00;0,00;132,63;1,90;0,00;0,00;
0,00;0,00;132,73;1,90;0,00;0,00;
0,00;0,00;132,82;1,91;0,00;0,00;
0,00;0,00;132,92;1,90;0,00;0,00;
0,00;0,00;133,02;1,90;0,00;0,00;
0,00;0,00;133,11;1,93;0,00;0,00;
0,00;0,00;133,21;1,91;0,00;0,00;
0,00;0,00;133,30;1,90;0,00;0,00;
0,00;0,00;133,40;1,89;0,00;0,00;
0,00;0,00;133,50;1,89;0,00;0,00;
0,00;0,00;133,59;1,89;0,00;0,00;
0,00;0,00;133,69;1,87;0,00;0,00;
0,00;0,00;133,78;1,85;0,00;0,00;
0,00;0,00;133,88;1,87;0,00;0,00;
0,00;0,00;133,98;1,87;0,00;0,00;
0,00;0,00;134,07;1,88;0,00;0,00;
0,00;0,00;134,17;1,89;0,00;0,00;
0,00;0,00;134,26;1,90;0,00;0,00;
0,00;0,00;134,36;1,91;0,00;0,00;
0,00;0,00;134,46;1,93;0,00;0,00;
0,00;0,00;134,55;1,93;0,00;0,00;
0,00;0,00;134,65;1,93;0,00;0,00;
0,00;0,00;134,75;1,93;0,00;0,00;
0,00;0,00;134,84;1,93;0,00;0,00;
0,00;0,00;134,94;1,95;0,00;0,00;
0,00;0,00;135,03;1,94;0,00;0,00;
0,00;0,00;135,13;1,96;0,00;0,00;
0,00;0,00;135,22;1,96;0,00;0,00;
0,00;0,00;135,32;1,96;0,00;0,00;
0,00;0,00;135,42;1,94;0,00;0,00;
0,00;0,00;135,51;1,96;0,00;0,00;
0,00;0,00;135,61;1,94;0,00;0,00;
0,00;0,00;135,70;1,94;0,00;0,00;
0,00;0,00;135,80;1,96;0,00;0,00;
0,00;0,00;135,90;1,96;0,00;0,00;
0,00;0,00;135,99;1,96;0,00;0,00;
0,00;0,00;136,09;1,96;0,00;0,00;
0,00;0,00;136,18;1,96;0,00;0,00;
0,00;0,00;136,28;1,93;0,00;0,00;
0,00;0,00;136,38;1,96;0,00;0,00;
0,00;0,00;136,47;1,96;0,00;0,00;
0,00;0,00;136,57;1,93;0,00;0,00;
0,00;0,00;136,66;1,92;0,00;0,00;
0,00;0,00;136,76;1,91;0,00;0,00;
0,00;0,00;136,86;1,91;0,00;0,00;
0,00;0,00;136,95;1,87;0,00;0,00;
0,00;0,00;137,05;1,88;0,00;0,00;
0,00;0,00;137,14;1,89;0,00;0,00;
0,00;0,00;137,24;1,85;0,00;0,00;
0,00;0,00;137,34;1,85;0,00;0,00;
0,00;0,00;137,43;1,86;0,00;0,00;
0,00;0,00;137,53;1,84;0,00;0,00;
0,00;0,00;137,62;1,83;0,00;0,00;
0,00;0,00;137,72;1,81;0,00;0,00;
0,00;0,00;137,82;1,79;0,00;0,00;
0,00;0,00;137,91;1,77;0,00;0,00;
0,00;0,00;138,01;1,77;0,00;0,00;
0,00;0,00;138,10;1,75;0,00;0,00;
0,00;0,00;138,20;1,75;0,00;0,00;
0,00;0,00;138,30;1,74;0,00;0,00;
0,00;0,00;138,39;1,73;0,00;0,00;
0,00;0,00;138,49;1,71;0,00;0,00;
0,00;0,00;138,58;1,72;0,00;0,00;
0,00;0,00;138,68;1,70;0,00;0,00;
0,00;0,00;138,78;1,68;0,00;0,00;
0,00;0,00;138,87;1,69;0,00;0,00;
0,00;0,00;138,97;1,67;0,00;0,00;
0,00;0,00;139,06;1,65;0,00;0,00;
