8004;27.02.20 16:34:53;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;134,87;1,15;0,00;0,00;
0,00;0,00;134,99;1,15;0,00;0,00;
0,00;0,00;135,12;1,15;0,00;0,00;
0,00;0,00;135,25;1,16;0,00;0,00;
0,00;0,00;135,38;1,17;0,00;0,00;
0,00;0,00;135,51;1,17;0,00;0,00;
0,00;0,00;135,63;1,17;0,00;0,00;
0,00;0,00;135,76;1,17;0,00;0,00;
0,00;0,00;135,89;1,17;0,00;0,00;
0,00;0,00;136,02;1,18;0,00;0,00;
0,00;0,00;136,15;1,17;0,00;0,00;
0,00;0,00;136,27;1,17;0,00;0,00;
0,00;0,00;136,40;1,17;0,00;0,00;
0,00;0,00;136,53;1,17;0,00;0,00;
0,00;0,00;136,66;1,16;0,00;0,00;
0,00;0,00;136,79;1,17;0,00;0,00;
0,00;0,00;136,91;1,15;0,00;0,00;
0,00;0,00;137,04;1,15;0,00;0,00;
0,00;0,00;137,17;1,12;0,00;0,00;
0,00;0,00;137,30;1,12;0,00;0,00;
0,00;0,00;137,43;1,12;0,00;0,00;
0,00;0,00;137,56;1,12;0,00;0,00;
0,00;0,00;137,68;1,10;0,00;0,00;
0,00;0,00;137,81;1,09;0,00;0,00;
0,00;0,00;137,94;1,09;0,00;0,00;
0,00;0,00;138,07;1,08;0,00;0,00;
0,00;0,00;138,19;1,07;0,00;0,00;
0,00;0,00;138,32;1,06;0,00;0,00;
0,00;0,00;138,45;1,06;0,00;0,00;
0,00;0,00;138,58;1,04;0,00;0,00;
0,00;0,00;138,71;1,05;0,00;0,00;
0,00;0,00;138,84;1,05;0,00;0,00;
0,00;0,00;138,96;1,04;0,00;0,00;
0,00;0,00;139,09;1,03;0,00;0,00;
0,00;0,00;139,22;1,04;0,00;0,00;
0,00;0,00;139,35;1,02;0,00;0,00;
0,00;0,00;139,47;1,02;0,00;0,00;
