7990;27.02.20 15:06:03;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,25;0,08;0,00;0,00;
0,00;0,00;1,04;0,07;0,00;0,00;
0,00;0,00;2,34;0,07;0,00;0,00;
0,00;0,00;4,15;0,07;0,00;0,00;
0,00;0,00;6,46;0,07;0,00;0,00;
0,00;0,00;9,30;0,07;0,00;0,00;
0,00;0,00;12,63;0,08;0,00;0,00;
0,00;0,00;16,12;0,07;0,00;0,00;
0,00;0,00;19,65;0,07;0,00;0,00;
0,00;0,00;23,17;0,07;0,00;0,00;
0,00;0,00;26,69;0,05;0,00;0,00;
0,00;0,00;30,21;0,05;0,00;0,00;
0,00;0,00;33,73;0,07;0,00;0,00;
0,00;0,00;37,25;0,05;0,00;0,00;
0,00;0,00;40,77;0,05;0,00;0,00;
0,00;0,00;44,29;0,04;0,00;0,00;
0,00;0,00;47,81;0,06;0,00;0,00;
0,00;0,00;51,33;0,06;0,00;0,00;
0,00;0,00;54,85;0,05;0,00;0,00;
0,00;0,00;58,36;0,05;0,00;0,00;
0,00;0,00;61,89;0,07;0,00;0,00;
0,00;0,00;65,41;0,05;0,00;0,00;
0,00;0,00;68,93;0,07;0,00;0,00;
0,00;0,00;72,45;0,05;0,00;0,00;
0,00;0,00;75,97;0,06;0,00;0,00;
0,00;0,00;79,49;0,05;0,00;0,00;
0,00;0,00;83,01;0,06;0,00;0,00;
0,00;0,00;86,53;0,07;0,00;0,00;
0,00;0,00;90,05;0,05;0,00;0,00;
0,00;0,00;93,57;0,04;0,00;0,00;
0,00;0,00;97,09;0,07;0,00;0,00;
0,00;0,00;100,61;0,05;0,00;0,00;
0,00;0,00;104,13;0,06;0,00;0,00;
0,00;0,00;107,65;0,05;0,00;0,00;
0,00;0,00;111,17;0,05;0,00;0,00;
0,00;0,00;114,46;0,04;0,00;0,00;
0,00;0,00;117,29;0,03;0,00;0,00;
0,00;0,00;119,62;0,02;0,00;0,00;
0,00;0,00;121,46;0,02;0,00;0,00;
0,00;0,00;122,79;0,01;0,00;0,00;
0,00;0,00;123,64;0,06;0,00;0,00;
0,00;0,00;123,99;0,05;0,00;0,00;
0,00;0,00;124,02;0,06;0,00;0,00;
0,00;0,00;124,01;0,07;0,00;0,00;
0,00;0,00;124,08;0,07;0,00;0,00;
0,00;0,00;124,18;0,08;0,00;0,00;
0,00;0,00;124,28;0,08;0,00;0,00;
0,00;0,00;124,38;0,08;0,00;0,00;
0,00;0,00;124,47;0,09;0,00;0,00;
0,00;0,00;124,57;0,09;0,00;0,00;
0,00;0,00;124,66;0,11;0,00;0,00;
0,00;0,00;124,76;0,12;0,00;0,00;
0,00;0,00;124,86;0,12;0,00;0,00;
0,00;0,00;124,95;0,14;0,00;0,00;
0,00;0,00;125,05;0,14;0,00;0,00;
0,00;0,00;125,14;0,14;0,00;0,00;
0,00;0,00;125,24;0,14;0,00;0,00;
0,00;0,00;125,33;0,16;0,00;0,00;
0,00;0,00;125,43;0,17;0,00;0,00;
0,00;0,00;125,53;0,17;0,00;0,00;
0,00;0,00;125,62;0,26;0,00;0,00;
0,00;0,00;125,72;0,35;0,00;0,00;
0,00;0,00;125,81;0,43;0,00;0,00;
0,00;0,00;125,91;0,49;0,00;0,00;
0,00;0,00;126,01;0,54;0,00;0,00;
0,00;0,00;126,10;0,57;0,00;0,00;
0,00;0,00;126,20;0,61;0,00;0,00;
0,00;0,00;126,29;0,63;0,00;0,00;
0,00;0,00;126,39;0,66;0,00;0,00;
0,00;0,00;126,49;0,67;0,00;0,00;
0,00;0,00;126,58;0,69;0,00;0,00;
0,00;0,00;126,68;0,68;0,00;0,00;
0,00;0,00;126,78;0,69;0,00;0,00;
0,00;0,00;126,87;0,73;0,00;0,00;
0,00;0,00;126,97;0,77;0,00;0,00;
0,00;0,00;127,06;0,77;0,00;0,00;
0,00;0,00;127,16;0,80;0,00;0,00;
0,00;0,00;127,26;0,80;0,00;0,00;
0,00;0,00;127,35;0,82;0,00;0,00;
0,00;0,00;127,45;0,83;0,00;0,00;
0,00;0,00;127,54;0,82;0,00;0,00;
0,00;0,00;127,64;0,84;0,00;0,00;
0,00;0,00;127,73;0,85;0,00;0,00;
0,00;0,00;127,83;0,87;0,00;0,00;
0,00;0,00;127,93;0,90;0,00;0,00;
0,00;0,00;128,02;0,90;0,00;0,00;
0,00;0,00;128,12;0,90;0,00;0,00;
0,00;0,00;128,21;0,92;0,00;0,00;
0,00;0,00;128,31;0,92;0,00;0,00;
0,00;0,00;128,41;0,92;0,00;0,00;
0,00;0,00;128,50;0,93;0,00;0,00;
0,00;0,00;128,60;0,94;0,00;0,00;
0,00;0,00;128,70;0,94;0,00;0,00;
0,00;0,00;128,79;0,95;0,00;0,00;
0,00;0,00;128,89;0,96;0,00;0,00;
0,00;0,00;128,98;0,98;0,00;0,00;
0,00;0,00;129,08;0,98;0,00;0,00;
0,00;0,00;129,18;0,99;0,00;0,00;
0,00;0,00;129,27;0,99;0,00;0,00;
0,00;0,00;129,37;1,02;0,00;0,00;
0,00;0,00;129,46;0,99;0,00;0,00;
0,00;0,00;129,56;1,01;0,00;0,00;
0,00;0,00;129,66;1,01;0,00;0,00;
0,00;0,00;129,75;1,02;0,00;0,00;
0,00;0,00;129,85;1,01;0,00;0,00;
0,00;0,00;129,94;1,02;0,00;0,00;
0,00;0,00;130,04;1,02;0,00;0,00;
0,00;0,00;130,14;1,02;0,00;0,00;
0,00;0,00;130,23;1,02;0,00;0,00;
0,00;0,00;130,33;1,02;0,00;0,00;
0,00;0,00;130,43;1,02;0,00;0,00;
0,00;0,00;130,52;1,01;0,00;0,00;
0,00;0,00;130,62;1,02;0,00;0,00;
0,00;0,00;130,71;1,04;0,00;0,00;
0,00;0,00;130,81;1,02;0,00;0,00;
0,00;0,00;130,90;1,03;0,00;0,00;
0,00;0,00;131,00;1,02;0,00;0,00;
0,00;0,00;131,10;1,04;0,00;0,00;
0,00;0,00;131,19;1,05;0,00;0,00;
0,00;0,00;131,29;1,04;0,00;0,00;
0,00;0,00;131,38;1,04;0,00;0,00;
0,00;0,00;131,48;1,07;0,00;0,00;
0,00;0,00;131,58;1,07;0,00;0,00;
0,00;0,00;131,67;1,06;0,00;0,00;
0,00;0,00;131,77;1,07;0,00;0,00;
0,00;0,00;131,86;1,07;0,00;0,00;
0,00;0,00;131,96;1,09;0,00;0,00;
0,00;0,00;132,06;1,10;0,00;0,00;
0,00;0,00;132,15;1,11;0,00;0,00;
0,00;0,00;132,25;1,11;0,00;0,00;
0,00;0,00;132,34;1,11;0,00;0,00;
0,00;0,00;132,44;1,10;0,00;0,00;
0,00;0,00;132,54;1,13;0,00;0,00;
0,00;0,00;132,63;1,10;0,00;0,00;
0,00;0,00;132,73;1,12;0,00;0,00;
0,00;0,00;132,82;1,12;0,00;0,00;
0,00;0,00;132,92;1,12;0,00;0,00;
0,00;0,00;133,02;1,13;0,00;0,00;
0,00;0,00;133,11;1,14;0,00;0,00;
0,00;0,00;133,21;1,16;0,00;0,00;
0,00;0,00;133,30;1,15;0,00;0,00;
0,00;0,00;133,40;1,16;0,00;0,00;
0,00;0,00;133,50;1,20;0,00;0,00;
0,00;0,00;133,59;1,20;0,00;0,00;
0,00;0,00;133,69;1,22;0,00;0,00;
0,00;0,00;133,78;1,24;0,00;0,00;
0,00;0,00;133,88;1,25;0,00;0,00;
0,00;0,00;133,98;1,26;0,00;0,00;
0,00;0,00;134,07;1,28;0,00;0,00;
0,00;0,00;134,17;1,31;0,00;0,00;
0,00;0,00;134,26;1,33;0,00;0,00;
0,00;0,00;134,36;1,33;0,00;0,00;
0,00;0,00;134,46;1,32;0,00;0,00;
0,00;0,00;134,55;1,34;0,00;0,00;
0,00;0,00;134,65;1,36;0,00;0,00;
0,00;0,00;134,74;1,37;0,00;0,00;
0,00;0,00;134,84;1,39;0,00;0,00;
0,00;0,00;134,94;1,40;0,00;0,00;
0,00;0,00;135,03;1,39;0,00;0,00;
0,00;0,00;135,13;1,40;0,00;0,00;
0,00;0,00;135,22;1,44;0,00;0,00;
0,00;0,00;135,32;1,43;0,00;0,00;
0,00;0,00;135,42;1,44;0,00;0,00;
0,00;0,00;135,51;1,45;0,00;0,00;
0,00;0,00;135,61;1,45;0,00;0,00;
0,00;0,00;135,70;1,46;0,00;0,00;
0,00;0,00;135,80;1,45;0,00;0,00;
0,00;0,00;135,90;1,46;0,00;0,00;
0,00;0,00;135,99;1,46;0,00;0,00;
0,00;0,00;136,09;1,48;0,00;0,00;
0,00;0,00;136,18;1,48;0,00;0,00;
0,00;0,00;136,28;1,47;0,00;0,00;
0,00;0,00;136,38;1,48;0,00;0,00;
0,00;0,00;136,47;1,47;0,00;0,00;
0,00;0,00;136,57;1,47;0,00;0,00;
0,00;0,00;136,66;1,47;0,00;0,00;
0,00;0,00;136,76;1,46;0,00;0,00;
0,00;0,00;136,86;1,47;0,00;0,00;
0,00;0,00;136,95;1,46;0,00;0,00;
0,00;0,00;137,05;1,48;0,00;0,00;
0,00;0,00;137,14;1,45;0,00;0,00;
0,00;0,00;137,24;1,45;0,00;0,00;
0,00;0,00;137,34;1,46;0,00;0,00;
0,00;0,00;137,43;1,44;0,00;0,00;
0,00;0,00;137,53;1,44;0,00;0,00;
0,00;0,00;137,62;1,42;0,00;0,00;
0,00;0,00;137,72;1,41;0,00;0,00;
0,00;0,00;137,82;1,39;0,00;0,00;
0,00;0,00;137,91;1,42;0,00;0,00;
0,00;0,00;138,01;1,43;0,00;0,00;
0,00;0,00;138,10;1,41;0,00;0,00;
0,00;0,00;138,20;1,40;0,00;0,00;
0,00;0,00;138,30;1,42;0,00;0,00;
0,00;0,00;138,39;1,43;0,00;0,00;
0,00;0,00;138,49;1,42;0,00;0,00;
0,00;0,00;138,58;1,42;0,00;0,00;
0,00;0,00;138,68;1,42;0,00;0,00;
0,00;0,00;138,78;1,42;0,00;0,00;
0,00;0,00;138,87;1,42;0,00;0,00;
0,00;0,00;138,97;1,42;0,00;0,00;
0,00;0,00;139,06;1,41;0,00;0,00;
0,00;0,00;139,16;1,41;0,00;0,00;
0,00;0,00;139,26;1,42;0,00;0,00;
0,00;0,00;139,35;1,41;0,00;0,00;
0,00;0,00;139,45;1,40;0,00;0,00;
0,00;0,00;139,54;1,40;0,00;0,00;
0,00;0,00;139,64;1,37;0,00;0,00;
0,00;0,00;139,74;1,40;0,00;0,00;
0,00;0,00;139,83;1,39;0,00;0,00;
0,00;0,00;139,93;1,38;0,00;0,00;
0,00;0,00;140,02;1,35;0,00;0,00;
0,00;0,00;140,12;1,35;0,00;0,00;
0,00;0,00;140,21;1,36;0,00;0,00;
0,00;0,00;140,31;1,32;0,00;0,00;
0,00;0,00;140,41;1,31;0,00;0,00;
0,00;0,00;140,51;1,28;0,00;0,00;
0,00;0,00;140,60;1,26;0,00;0,00;
0,00;0,00;140,70;1,26;0,00;0,00;
0,00;0,00;140,79;1,26;0,00;0,00;
0,00;0,00;140,89;1,26;0,00;0,00;
0,00;0,00;140,99;1,23;0,00;0,00;
0,00;0,00;141,08;1,25;0,00;0,00;
0,00;0,00;141,18;1,23;0,00;0,00;
0,00;0,00;141,27;1,22;0,00;0,00;
0,00;0,00;141,37;1,20;0,00;0,00;
0,00;0,00;141,46;1,19;0,00;0,00;
0,00;0,00;141,56;1,19;0,00;0,00;
0,00;0,00;141,66;1,19;0,00;0,00;
0,00;0,00;141,75;1,17;0,00;0,00;
0,00;0,00;141,85;1,17;0,00;0,00;
0,00;0,00;141,94;1,17;0,00;0,00;
0,00;0,00;142,04;1,16;0,00;0,00;
0,00;0,00;142,14;1,14;0,00;0,00;
0,00;0,00;142,23;1,15;0,00;0,00;
0,00;0,00;142,33;1,15;0,00;0,00;
0,00;0,00;142,42;1,13;0,00;0,00;
0,00;0,00;142,52;1,13;0,00;0,00;
0,00;0,00;142,62;1,13;0,00;0,00;
0,00;0,00;142,71;1,14;0,00;0,00;
0,00;0,00;142,81;1,13;0,00;0,00;
0,00;0,00;142,90;1,17;0,00;0,00;
0,00;0,00;143,00;1,16;0,00;0,00;
0,00;0,00;143,10;1,14;0,00;0,00;
0,00;0,00;143,19;1,17;0,00;0,00;
0,00;0,00;143,29;1,19;0,00;0,00;
0,00;0,00;143,38;1,20;0,00;0,00;
0,00;0,00;143,48;1,22;0,00;0,00;
0,00;0,00;143,58;1,22;0,00;0,00;
0,00;0,00;143,67;1,24;0,00;0,00;
0,00;0,00;143,77;1,27;0,00;0,00;
0,00;0,00;143,86;1,29;0,00;0,00;
0,00;0,00;143,96;1,31;0,00;0,00;
0,00;0,00;144,05;1,31;0,00;0,00;
0,00;0,00;144,15;1,31;0,00;0,00;
0,00;0,00;144,25;1,32;0,00;0,00;
0,00;0,00;144,34;1,34;0,00;0,00;
0,00;0,00;144,44;1,36;0,00;0,00;
0,00;0,00;144,54;1,36;0,00;0,00;
0,00;0,00;144,63;1,34;0,00;0,00;
0,00;0,00;144,73;1,36;0,00;0,00;
0,00;0,00;144,83;1,37;0,00;0,00;
0,00;0,00;144,92;1,36;0,00;0,00;
0,00;0,00;145,02;1,34;0,00;0,00;
0,00;0,00;145,11;1,34;0,00;0,00;
0,00;0,00;145,21;1,33;0,00;0,00;
0,00;0,00;145,30;1,33;0,00;0,00;
0,00;0,00;145,40;1,33;0,00;0,00;
0,00;0,00;145,50;1,31;0,00;0,00;
0,00;0,00;145,59;1,28;0,00;0,00;
0,00;0,00;145,69;1,30;0,00;0,00;
0,00;0,00;145,78;1,28;0,00;0,00;
0,00;0,00;145,88;1,26;0,00;0,00;
0,00;0,00;145,98;1,24;0,00;0,00;
0,00;0,00;146,07;1,23;0,00;0,00;
0,00;0,00;146,17;1,22;0,00;0,00;
0,00;0,00;146,26;1,20;0,00;0,00;
0,00;0,00;146,36;1,19;0,00;0,00;
0,00;0,00;146,46;1,17;0,00;0,00;
0,00;0,00;146,55;1,17;0,00;0,00;
0,00;0,00;146,65;1,16;0,00;0,00;
0,00;0,00;146,75;1,14;0,00;0,00;
0,00;0,00;146,84;1,14;0,00;0,00;
0,00;0,00;146,94;1,13;0,00;0,00;
0,00;0,00;147,03;1,14;0,00;0,00;
0,00;0,00;147,13;1,13;0,00;0,00;
0,00;0,00;147,22;1,13;0,00;0,00;
0,00;0,00;147,32;1,13;0,00;0,00;
0,00;0,00;147,41;1,13;0,00;0,00;
0,00;0,00;147,51;1,13;0,00;0,00;
0,00;0,00;147,61;1,14;0,00;0,00;
0,00;0,00;147,70;1,14;0,00;0,00;
0,00;0,00;147,80;1,13;0,00;0,00;
0,00;0,00;147,90;1,14;0,00;0,00;
0,00;0,00;147,99;1,16;0,00;0,00;
0,00;0,00;148,09;1,19;0,00;0,00;
0,00;0,00;148,18;1,20;0,00;0,00;
0,00;0,00;148,28;1,23;0,00;0,00;
0,00;0,00;148,38;1,24;0,00;0,00;
0,00;0,00;148,47;1,26;0,00;0,00;
