7987;27.02.20 15:03:31;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,25;0,10;0,00;0,00;
0,00;0,00;1,04;0,06;0,00;0,00;
0,00;0,00;2,33;0,06;0,00;0,00;
0,00;0,00;4,15;0,07;0,00;0,00;
0,00;0,00;6,46;0,07;0,00;0,00;
0,00;0,00;9,30;0,07;0,00;0,00;
0,00;0,00;12,63;0,08;0,00;0,00;
0,00;0,00;16,12;0,07;0,00;0,00;
0,00;0,00;19,65;0,04;0,00;0,00;
0,00;0,00;23,17;0,04;0,00;0,00;
0,00;0,00;26,69;0,06;0,00;0,00;
0,00;0,00;30,21;0,06;0,00;0,00;
0,00;0,00;33,73;0,07;0,00;0,00;
0,00;0,00;37,25;0,04;0,00;0,00;
0,00;0,00;40,77;0,06;0,00;0,00;
0,00;0,00;44,29;0,04;0,00;0,00;
0,00;0,00;47,81;0,05;0,00;0,00;
0,00;0,00;51,33;0,06;0,00;0,00;
0,00;0,00;54,85;0,04;0,00;0,00;
0,00;0,00;58,37;0,04;0,00;0,00;
0,00;0,00;61,89;0,05;0,00;0,00;
0,00;0,00;65,41;0,05;0,00;0,00;
0,00;0,00;68,93;0,06;0,00;0,00;
0,00;0,00;72,45;0,05;0,00;0,00;
0,00;0,00;75,97;0,04;0,00;0,00;
0,00;0,00;79,49;0,05;0,00;0,00;
0,00;0,00;83,01;0,05;0,00;0,00;
0,00;0,00;86,53;0,05;0,00;0,00;
0,00;0,00;90,05;0,04;0,00;0,00;
0,00;0,00;93,57;0,05;0,00;0,00;
0,00;0,00;97,09;0,07;0,00;0,00;
0,00;0,00;100,61;0,06;0,00;0,00;
0,00;0,00;104,13;0,06;0,00;0,00;
0,00;0,00;107,65;0,04;0,00;0,00;
0,00;0,00;111,17;0,04;0,00;0,00;
0,00;0,00;114,46;0,04;0,00;0,00;
0,00;0,00;117,29;0,02;0,00;0,00;
0,00;0,00;119,62;0,01;0,00;0,00;
0,00;0,00;121,46;0,01;0,00;0,00;
0,00;0,00;122,79;0,01;0,00;0,00;
0,00;0,00;123,64;0,01;0,00;0,00;
0,00;0,00;123,99;0,01;0,00;0,00;
0,00;0,00;124,02;0,04;0,00;0,00;
0,00;0,00;124,01;0,04;0,00;0,00;
0,00;0,00;124,08;0,07;0,00;0,00;
0,00;0,00;124,18;0,06;0,00;0,00;
0,00;0,00;124,28;0,07;0,00;0,00;
0,00;0,00;124,38;0,08;0,00;0,00;
0,00;0,00;124,47;0,09;0,00;0,00;
0,00;0,00;124,57;0,10;0,00;0,00;
0,00;0,00;124,66;0,10;0,00;0,00;
0,00;0,00;124,76;0,12;0,00;0,00;
0,00;0,00;124,86;0,12;0,00;0,00;
0,00;0,00;124,95;0,12;0,00;0,00;
0,00;0,00;125,05;0,12;0,00;0,00;
0,00;0,00;125,14;0,13;0,00;0,00;
0,00;0,00;125,24;0,14;0,00;0,00;
0,00;0,00;125,33;0,14;0,00;0,00;
0,00;0,00;125,43;0,15;0,00;0,00;
0,00;0,00;125,53;0,15;0,00;0,00;
0,00;0,00;125,62;0,17;0,00;0,00;
0,00;0,00;125,72;0,20;0,00;0,00;
0,00;0,00;125,81;0,29;0,00;0,00;
0,00;0,00;125,91;0,43;0,00;0,00;
0,00;0,00;126,01;0,50;0,00;0,00;
0,00;0,00;126,10;0,55;0,00;0,00;
0,00;0,00;126,20;0,58;0,00;0,00;
0,00;0,00;126,29;0,63;0,00;0,00;
0,00;0,00;126,39;0,65;0,00;0,00;
0,00;0,00;126,49;0,68;0,00;0,00;
0,00;0,00;126,58;0,69;0,00;0,00;
0,00;0,00;126,68;0,69;0,00;0,00;
0,00;0,00;126,78;0,74;0,00;0,00;
0,00;0,00;126,87;0,76;0,00;0,00;
0,00;0,00;126,97;0,78;0,00;0,00;
0,00;0,00;127,06;0,82;0,00;0,00;
0,00;0,00;127,16;0,83;0,00;0,00;
0,00;0,00;127,26;0,85;0,00;0,00;
0,00;0,00;127,35;0,88;0,00;0,00;
0,00;0,00;127,45;0,90;0,00;0,00;
0,00;0,00;127,54;0,90;0,00;0,00;
0,00;0,00;127,64;0,93;0,00;0,00;
0,00;0,00;127,73;0,96;0,00;0,00;
0,00;0,00;127,83;0,99;0,00;0,00;
0,00;0,00;127,93;0,99;0,00;0,00;
0,00;0,00;128,02;1,01;0,00;0,00;
0,00;0,00;128,12;1,02;0,00;0,00;
0,00;0,00;128,21;1,02;0,00;0,00;
0,00;0,00;128,31;1,03;0,00;0,00;
0,00;0,00;128,41;1,05;0,00;0,00;
0,00;0,00;128,50;1,06;0,00;0,00;
0,00;0,00;128,60;1,06;0,00;0,00;
0,00;0,00;128,70;1,08;0,00;0,00;
0,00;0,00;128,79;1,10;0,00;0,00;
0,00;0,00;128,89;1,11;0,00;0,00;
0,00;0,00;128,98;1,12;0,00;0,00;
0,00;0,00;129,08;1,13;0,00;0,00;
0,00;0,00;129,18;1,13;0,00;0,00;
0,00;0,00;129,27;1,15;0,00;0,00;
0,00;0,00;129,37;1,15;0,00;0,00;
0,00;0,00;129,46;1,17;0,00;0,00;
0,00;0,00;129,56;1,15;0,00;0,00;
0,00;0,00;129,65;1,18;0,00;0,00;
0,00;0,00;129,75;1,19;0,00;0,00;
0,00;0,00;129,85;1,17;0,00;0,00;
0,00;0,00;129,94;1,17;0,00;0,00;
0,00;0,00;130,04;1,18;0,00;0,00;
0,00;0,00;130,14;1,20;0,00;0,00;
0,00;0,00;130,23;1,23;0,00;0,00;
0,00;0,00;130,33;1,20;0,00;0,00;
0,00;0,00;130,42;1,21;0,00;0,00;
0,00;0,00;130,52;1,23;0,00;0,00;
0,00;0,00;130,62;1,24;0,00;0,00;
0,00;0,00;130,71;1,26;0,00;0,00;
0,00;0,00;130,81;1,27;0,00;0,00;
0,00;0,00;130,90;1,27;0,00;0,00;
0,00;0,00;131,00;1,26;0,00;0,00;
0,00;0,00;131,10;1,29;0,00;0,00;
0,00;0,00;131,19;1,29;0,00;0,00;
0,00;0,00;131,29;1,28;0,00;0,00;
0,00;0,00;131,38;1,30;0,00;0,00;
0,00;0,00;131,48;1,31;0,00;0,00;
0,00;0,00;131,57;1,34;0,00;0,00;
0,00;0,00;131,67;1,34;0,00;0,00;
0,00;0,00;131,77;1,34;0,00;0,00;
0,00;0,00;131,86;1,36;0,00;0,00;
0,00;0,00;131,96;1,35;0,00;0,00;
0,00;0,00;132,06;1,35;0,00;0,00;
0,00;0,00;132,15;1,36;0,00;0,00;
0,00;0,00;132,25;1,38;0,00;0,00;
0,00;0,00;132,34;1,37;0,00;0,00;
0,00;0,00;132,44;1,39;0,00;0,00;
0,00;0,00;132,54;1,39;0,00;0,00;
0,00;0,00;132,63;1,40;0,00;0,00;
0,00;0,00;132,73;1,43;0,00;0,00;
0,00;0,00;132,82;1,42;0,00;0,00;
0,00;0,00;132,92;1,43;0,00;0,00;
0,00;0,00;133,02;1,43;0,00;0,00;
0,00;0,00;133,11;1,43;0,00;0,00;
0,00;0,00;133,21;1,45;0,00;0,00;
0,00;0,00;133,30;1,42;0,00;0,00;
0,00;0,00;133,40;1,44;0,00;0,00;
0,00;0,00;133,50;1,46;0,00;0,00;
0,00;0,00;133,59;1,46;0,00;0,00;
0,00;0,00;133,69;1,48;0,00;0,00;
0,00;0,00;133,78;1,50;0,00;0,00;
0,00;0,00;133,88;1,51;0,00;0,00;
0,00;0,00;133,98;1,52;0,00;0,00;
0,00;0,00;134,07;1,51;0,00;0,00;
0,00;0,00;134,17;1,53;0,00;0,00;
0,00;0,00;134,26;1,55;0,00;0,00;
0,00;0,00;134,36;1,54;0,00;0,00;
0,00;0,00;134,46;1,56;0,00;0,00;
0,00;0,00;134,55;1,57;0,00;0,00;
