Nr;Date;ProgNr;ProgName;State;
7991;27.02.20 15:11:17;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;131,47;1,23;0,00;0,00;
0,00;0,00;131,56;1,23;0,00;0,00;
0,00;0,00;131,66;1,25;0,00;0,00;
0,00;0,00;131,76;1,26;0,00;0,00;
0,00;0,00;131,85;1,26;0,00;0,00;
0,00;0,00;131,95;1,29;0,00;0,00;
0,00;0,00;132,04;1,29;0,00;0,00;
0,00;0,00;132,14;1,32;0,00;0,00;
0,00;0,00;132,24;1,33;0,00;0,00;
0,00;0,00;132,33;1,34;0,00;0,00;
0,00;0,00;132,43;1,36;0,00;0,00;
0,00;0,00;132,52;1,36;0,00;0,00;
0,00;0,00;132,62;1,39;0,00;0,00;
0,00;0,00;132,71;1,41;0,00;0,00;
0,00;0,00;132,81;1,41;0,00;0,00;
0,00;0,00;132,91;1,44;0,00;0,00;
0,00;0,00;133,00;1,47;0,00;0,00;
0,00;0,00;133,10;1,47;0,00;0,00;
0,00;0,00;133,20;1,50;0,00;0,00;
0,00;0,00;133,29;1,51;0,00;0,00;
0,00;0,00;133,39;1,54;0,00;0,00;
0,00;0,00;133,48;1,57;0,00;0,00;
0,00;0,00;133,58;1,59;0,00;0,00;
0,00;0,00;133,67;1,61;0,00;0,00;
0,00;0,00;133,77;1,61;0,00;0,00;
0,00;0,00;133,87;1,63;0,00;0,00;
0,00;0,00;133,96;1,67;0,00;0,00;
0,00;0,00;134,06;1,69;0,00;0,00;
0,00;0,00;134,16;1,69;0,00;0,00;
0,00;0,00;134,25;1,72;0,00;0,00;
0,00;0,00;134,35;1,75;0,00;0,00;
0,00;0,00;134,44;1,77;0,00;0,00;
0,00;0,00;134,54;1,77;0,00;0,00;
0,00;0,00;134,64;1,78;0,00;0,00;
0,00;0,00;134,73;1,80;0,00;0,00;
0,00;0,00;134,83;1,81;0,00;0,00;
0,00;0,00;134,92;1,81;0,00;0,00;
0,00;0,00;135,02;1,85;0,00;0,00;
0,00;0,00;135,11;1,84;0,00;0,00;
0,00;0,00;135,21;1,86;0,00;0,00;
0,00;0,00;135,31;1,86;0,00;0,00;
0,00;0,00;135,40;1,87;0,00;0,00;
0,00;0,00;135,50;1,87;0,00;0,00;
0,00;0,00;135,60;1,88;0,00;0,00;
0,00;0,00;135,69;1,89;0,00;0,00;
0,00;0,00;135,79;1,89;0,00;0,00;
0,00;0,00;135,88;1,87;0,00;0,00;
0,00;0,00;135,98;1,90;0,00;0,00;
0,00;0,00;136,08;1,88;0,00;0,00;
0,00;0,00;136,17;1,87;0,00;0,00;
0,00;0,00;136,27;1,89;0,00;0,00;
0,00;0,00;136,36;1,90;0,00;0,00;
0,00;0,00;136,46;1,89;0,00;0,00;
0,00;0,00;136,55;1,87;0,00;0,00;
0,00;0,00;136,65;1,89;0,00;0,00;
0,00;0,00;136,75;1,87;0,00;0,00;
0,00;0,00;136,84;1,89;0,00;0,00;
0,00;0,00;136,94;1,86;0,00;0,00;
0,00;0,00;137,04;1,86;0,00;0,00;
0,00;0,00;137,13;1,85;0,00;0,00;
0,00;0,00;137,23;1,85;0,00;0,00;
0,00;0,00;137,32;1,84;0,00;0,00;
0,00;0,00;137,42;1,82;0,00;0,00;
0,00;0,00;137,52;1,84;0,00;0,00;
0,00;0,00;137,61;1,84;0,00;0,00;
0,00;0,00;137,71;1,84;0,00;0,00;
0,00;0,00;137,80;1,82;0,00;0,00;
0,00;0,00;137,90;1,81;0,00;0,00;
0,00;0,00;138,00;1,82;0,00;0,00;
0,00;0,00;138,09;1,83;0,00;0,00;
0,00;0,00;138,19;1,83;0,00;0,00;
0,00;0,00;138,28;1,80;0,00;0,00;
0,00;0,00;138,38;1,79;0,00;0,00;
0,00;0,00;138,48;1,81;0,00;0,00;
0,00;0,00;138,57;1,80;0,00;0,00;
0,00;0,00;138,67;1,79;0,00;0,00;
0,00;0,00;138,76;1,78;0,00;0,00;
0,00;0,00;138,86;1,77;0,00;0,00;
0,00;0,00;138,96;1,76;0,00;0,00;
0,00;0,00;139,05;1,75;0,00;0,00;
0,00;0,00;139,15;1,74;0,00;0,00;
0,00;0,00;139,25;1,72;0,00;0,00;
0,00;0,00;139,34;1,72;0,00;0,00;
0,00;0,00;139,44;1,72;0,00;0,00;
0,00;0,00;139,53;1,72;0,00;0,00;
0,00;0,00;139,63;1,70;0,00;0,00;
0,00;0,00;139,72;1,67;0,00;0,00;
0,00;0,00;139,82;1,68;0,00;0,00;
0,00;0,00;139,92;1,66;0,00;0,00;
0,00;0,00;140,01;1,66;0,00;0,00;
0,00;0,00;140,11;1,64;0,00;0,00;
0,00;0,00;140,20;1,63;0,00;0,00;
0,00;0,00;140,30;1,63;0,00;0,00;
0,00;0,00;140,40;1,61;0,00;0,00;
0,00;0,00;140,49;1,61;0,00;0,00;
0,00;0,00;140,59;1,61;0,00;0,00;
0,00;0,00;140,68;1,61;0,00;0,00;
0,00;0,00;140,78;1,61;0,00;0,00;
0,00;0,00;140,88;1,61;0,00;0,00;
0,00;0,00;140,97;1,61;0,00;0,00;
0,00;0,00;141,07;1,59;0,00;0,00;
0,00;0,00;141,16;1,59;0,00;0,00;
0,00;0,00;141,26;1,60;0,00;0,00;
0,00;0,00;141,36;1,59;0,00;0,00;
0,00;0,00;141,45;1,58;0,00;0,00;
0,00;0,00;141,55;1,58;0,00;0,00;
0,00;0,00;141,65;1,56;0,00;0,00;
0,00;0,00;141,74;1,56;0,00;0,00;
0,00;0,00;141,84;1,58;0,00;0,00;
0,00;0,00;141,93;1,58;0,00;0,00;
0,00;0,00;142,03;1,55;0,00;0,00;
0,00;0,00;142,12;1,55;0,00;0,00;
0,00;0,00;142,22;1,55;0,00;0,00;
0,00;0,00;142,32;1,55;0,00;0,00;
0,00;0,00;142,41;1,57;0,00;0,00;
0,00;0,00;142,51;1,56;0,00;0,00;
0,00;0,00;142,60;1,57;0,00;0,00;
0,00;0,00;142,70;1,55;0,00;0,00;
0,00;0,00;142,80;1,57;0,00;0,00;
0,00;0,00;142,89;1,58;0,00;0,00;
0,00;0,00;142,99;1,58;0,00;0,00;
0,00;0,00;143,08;1,61;0,00;0,00;
0,00;0,00;143,18;1,61;0,00;0,00;
0,00;0,00;143,28;1,61;0,00;0,00;
0,00;0,00;143,37;1,61;0,00;0,00;
0,00;0,00;143,47;1,61;0,00;0,00;
0,00;0,00;143,56;1,61;0,00;0,00;
0,00;0,00;143,66;1,63;0,00;0,00;
0,00;0,00;143,76;1,63;0,00;0,00;
0,00;0,00;143,85;1,63;0,00;0,00;
0,00;0,00;143,95;1,63;0,00;0,00;
0,00;0,00;144,04;1,63;0,00;0,00;
0,00;0,00;144,14;1,61;0,00;0,00;
0,00;0,00;144,24;1,61;0,00;0,00;
0,00;0,00;144,33;1,60;0,00;0,00;
0,00;0,00;144,43;1,61;0,00;0,00;
0,00;0,00;144,52;1,60;0,00;0,00;
0,00;0,00;144,62;1,58;0,00;0,00;
0,00;0,00;144,72;1,57;0,00;0,00;
0,00;0,00;144,81;1,57;0,00;0,00;
0,00;0,00;144,91;1,55;0,00;0,00;
0,00;0,00;145,00;1,54;0,00;0,00;
0,00;0,00;145,10;1,54;0,00;0,00;
0,00;0,00;145,20;1,50;0,00;0,00;
0,00;0,00;145,29;1,49;0,00;0,00;
0,00;0,00;145,39;1,48;0,00;0,00;
0,00;0,00;145,48;1,45;0,00;0,00;
0,00;0,00;145,58;1,43;0,00;0,00;
0,00;0,00;145,68;1,42;0,00;0,00;
0,00;0,00;145,77;1,42;0,00;0,00;
0,00;0,00;145,87;1,40;0,00;0,00;
0,00;0,00;145,96;1,39;0,00;0,00;
0,00;0,00;146,06;1,39;0,00;0,00;
0,00;0,00;146,16;1,39;0,00;0,00;
0,00;0,00;146,25;1,39;0,00;0,00;
0,00;0,00;146,35;1,40;0,00;0,00;
0,00;0,00;146,44;1,38;0,00;0,00;
0,00;0,00;146,54;1,38;0,00;0,00;
0,00;0,00;146,64;1,37;0,00;0,00;
0,00;0,00;146,73;1,38;0,00;0,00;
0,00;0,00;146,83;1,39;0,00;0,00;
0,00;0,00;146,92;1,38;0,00;0,00;
0,00;0,00;147,02;1,37;0,00;0,00;
0,00;0,00;147,11;1,40;0,00;0,00;
0,00;0,00;147,21;1,41;0,00;0,00;
0,00;0,00;147,31;1,41;0,00;0,00;
0,00;0,00;147,40;1,42;0,00;0,00;
0,00;0,00;147,50;1,44;0,00;0,00;
0,00;0,00;147,60;1,45;0,00;0,00;
0,00;0,00;147,69;1,46;0,00;0,00;
0,00;0,00;147,79;1,47;0,00;0,00;
0,00;0,00;147,88;1,49;0,00;0,00;
0,00;0,00;147,98;1,49;0,00;0,00;
0,00;0,00;148,08;1,50;0,00;0,00;
0,00;0,00;148,17;1,53;0,00;0,00;
0,00;0,00;148,27;1,53;0,00;0,00;
0,00;0,00;148,36;1,55;0,00;0,00;
0,00;0,00;148,46;1,55;0,00;0,00;
0,00;0,00;148,56;1,56;0,00;0,00;
0,00;0,00;148,65;1,58;0,00;0,00;
0,00;0,00;148,75;1,58;0,00;0,00;
0,00;0,00;148,84;1,59;0,00;0,00;
0,00;0,00;148,94;1,60;0,00;0,00;
0,00;0,00;149,03;1,61;0,00;0,00;
0,00;0,00;149,13;1,62;0,00;0,00;
0,00;0,00;149,23;1,62;0,00;0,00;
0,00;0,00;149,32;1,62;0,00;0,00;
0,00;0,00;149,42;1,62;0,00;0,00;
0,00;0,00;149,52;1,63;0,00;0,00;
0,00;0,00;149,61;1,63;0,00;0,00;
0,00;0,00;149,71;1,63;0,00;0,00;
0,00;0,00;149,80;1,61;0,00;0,00;
0,00;0,00;149,90;1,61;0,00;0,00;
0,00;0,00;149,99;1,61;0,00;0,00;
0,00;0,00;150,09;1,60;0,00;0,00;
0,00;0,00;150,19;1,60;0,00;0,00;
0,00;0,00;150,28;1,61;0,00;0,00;
0,00;0,00;150,38;1,59;0,00;0,00;
0,00;0,00;150,48;1,58;0,00;0,00;
0,00;0,00;150,57;1,59;0,00;0,00;
0,00;0,00;150,67;1,58;0,00;0,00;
0,00;0,00;150,76;1,56;0,00;0,00;
0,00;0,00;150,86;1,57;0,00;0,00;
0,00;0,00;150,96;1,57;0,00;0,00;
0,00;0,00;151,05;1,55;0,00;0,00;
0,00;0,00;151,15;1,55;0,00;0,00;
0,00;0,00;151,24;1,53;0,00;0,00;
0,00;0,00;151,34;1,52;0,00;0,00;
0,00;0,00;151,44;1,51;0,00;0,00;
0,00;0,00;151,53;1,51;0,00;0,00;
0,00;0,00;151,63;1,49;0,00;0,00;
0,00;0,00;151,73;1,49;0,00;0,00;
0,00;0,00;151,82;1,49;0,00;0,00;
0,00;0,00;151,92;1,47;0,00;0,00;
0,00;0,00;152,01;1,46;0,00;0,00;
0,00;0,00;152,11;1,46;0,00;0,00;
0,00;0,00;152,20;1,49;0,00;0,00;
0,00;0,00;152,30;1,47;0,00;0,00;
0,00;0,00;152,40;1,49;0,00;0,00;
0,00;0,00;152,49;1,49;0,00;0,00;
0,00;0,00;152,59;1,49;0,00;0,00;
0,00;0,00;152,68;1,49;0,00;0,00;
0,00;0,00;152,78;1,50;0,00;0,00;
0,00;0,00;152,88;1,51;0,00;0,00;
0,00;0,00;152,97;1,50;0,00;0,00;
0,00;0,00;153,07;1,53;0,00;0,00;
0,00;0,00;153,16;1,53;0,00;0,00;
0,00;0,00;153,26;1,55;0,00;0,00;
0,00;0,00;153,35;1,54;0,00;0,00;
0,00;0,00;153,45;1,55;0,00;0,00;
0,00;0,00;153,55;1,57;0,00;0,00;
0,00;0,00;153,64;1,58;0,00;0,00;
0,00;0,00;153,74;1,58;0,00;0,00;
0,00;0,00;153,84;1,58;0,00;0,00;
0,00;0,00;153,93;1,58;0,00;0,00;
0,00;0,00;154,03;1,58;0,00;0,00;
0,00;0,00;154,12;1,58;0,00;0,00;
0,00;0,00;154,22;1,59;0,00;0,00;
0,00;0,00;154,32;1,58;0,00;0,00;
0,00;0,00;154,41;1,60;0,00;0,00;
0,00;0,00;154,51;1,59;0,00;0,00;
0,00;0,00;154,60;1,59;0,00;0,00;
0,00;0,00;154,70;1,58;0,00;0,00;
0,00;0,00;154,80;1,57;0,00;0,00;
0,00;0,00;154,89;1,58;0,00;0,00;
0,00;0,00;154,99;1,61;0,00;0,00;
0,00;0,00;155,08;1,58;0,00;0,00;
0,00;0,00;155,18;1,58;0,00;0,00;
0,00;0,00;155,28;1,61;0,00;0,00;
0,00;0,00;155,37;1,58;0,00;0,00;
0,00;0,00;155,47;1,59;0,00;0,00;
0,00;0,00;155,56;1,59;0,00;0,00;
0,00;0,00;155,66;1,58;0,00;0,00;
0,00;0,00;155,76;1,58;0,00;0,00;
0,00;0,00;155,85;1,61;0,00;0,00;
0,00;0,00;155,95;1,61;0,00;0,00;
0,00;0,00;156,04;1,61;0,00;0,00;
0,00;0,00;156,14;1,61;0,00;0,00;
0,00;0,00;156,23;1,60;0,00;0,00;
0,00;0,00;156,33;1,61;0,00;0,00;
0,00;0,00;156,43;1,62;0,00;0,00;
0,00;0,00;156,52;1,62;0,00;0,00;
0,00;0,00;156,62;1,61;0,00;0,00;
0,00;0,00;156,72;1,61;0,00;0,00;
0,00;0,00;156,81;1,63;0,00;0,00;
0,00;0,00;156,91;1,63;0,00;0,00;
0,00;0,00;157,00;1,63;0,00;0,00;
0,00;0,00;157,10;1,63;0,00;0,00;
0,00;0,00;157,20;1,64;0,00;0,00;
0,00;0,00;157,29;1,65;0,00;0,00;
0,00;0,00;157,39;1,66;0,00;0,00;
0,00;0,00;157,48;1,66;0,00;0,00;
0,00;0,00;157,58;1,66;0,00;0,00;
0,00;0,00;157,68;1,66;0,00;0,00;
0,00;0,00;157,77;1,69;0,00;0,00;
0,00;0,00;157,87;1,69;0,00;0,00;
0,00;0,00;157,96;1,69;0,00;0,00;
0,00;0,00;158,06;1,69;0,00;0,00;
0,00;0,00;158,16;1,71;0,00;0,00;
0,00;0,00;158,25;1,72;0,00;0,00;
0,00;0,00;158,35;1,72;0,00;0,00;
0,00;0,00;158,44;1,73;0,00;0,00;
0,00;0,00;158,54;1,72;0,00;0,00;
0,00;0,00;158,63;1,74;0,00;0,00;
0,00;0,00;158,73;1,75;0,00;0,00;
0,00;0,00;158,83;1,75;0,00;0,00;
0,00;0,00;158,92;1,76;0,00;0,00;
0,00;0,00;159,02;1,75;0,00;0,00;
0,00;0,00;159,06;1,74;0,00;0,00;
0,00;0,00;159,06;1,73;0,00;0,00;
0,00;0,00;159,06;1,72;0,00;0,00;
0,00;0,00;159,06;1,72;0,00;0,00;
0,00;0,00;159,06;1,72;0,00;0,00;
0,00;0,00;159,06;1,72;0,00;0,00;
0,00;0,00;159,06;1,72;0,00;0,00;
0,00;0,00;159,06;1,70;0,00;0,00;
0,00;0,00;159,06;1,69;0,00;0,00;
0,00;0,00;159,06;1,67;0,00;0,00;
0,00;0,00;159,06;1,64;0,00;0,00;
0,00;0,00;159,05;1,62;0,00;0,00;
