Nr;Date;ProgNr;ProgName;State;
8009;27.02.20 16:50:29;21;Avvicinamento Pressata Fuori Ingombro;wrong softlimit spindle data (74);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,25;0,07;0,00;0,00;
0,00;0,00;1,04;0,05;0,00;0,00;
0,00;0,00;2,34;0,05;0,00;0,00;
0,00;0,00;4,15;0,06;0,00;0,00;
0,00;0,00;6,47;0,05;0,00;0,00;
0,00;0,00;9,30;0,05;0,00;0,00;
0,00;0,00;12,63;0,07;0,00;0,00;
0,00;0,00;16,12;0,05;0,00;0,00;
0,00;0,00;19,65;0,04;0,00;0,00;
0,00;0,00;23,17;0,03;0,00;0,00;
0,00;0,00;26,69;0,04;0,00;0,00;
0,00;0,00;30,21;0,04;0,00;0,00;
0,00;0,00;33,73;0,06;0,00;0,00;
0,00;0,00;37,25;0,03;0,00;0,00;
0,00;0,00;40,77;0,04;0,00;0,00;
0,00;0,00;44,29;0,04;0,00;0,00;
0,00;0,00;47,81;0,05;0,00;0,00;
0,00;0,00;51,33;0,05;0,00;0,00;
0,00;0,00;54,85;0,02;0,00;0,00;
0,00;0,00;58,37;0,04;0,00;0,00;
0,00;0,00;61,89;0,04;0,00;0,00;
0,00;0,00;65,41;0,04;0,00;0,00;
0,00;0,00;68,93;0,05;0,00;0,00;
0,00;0,00;72,45;0,03;0,00;0,00;
0,00;0,00;75,97;0,04;0,00;0,00;
0,00;0,00;79,49;0,04;0,00;0,00;
0,00;0,00;83,01;0,04;0,00;0,00;
0,00;0,00;86,53;0,04;0,00;0,00;
0,00;0,00;90,05;0,04;0,00;0,00;
0,00;0,00;93,57;0,03;0,00;0,00;
0,00;0,00;97,09;0,05;0,00;0,00;
0,00;0,00;100,61;0,04;0,00;0,00;
0,00;0,00;104,13;0,05;0,00;0,00;
0,00;0,00;107,65;0,03;0,00;0,00;
0,00;0,00;111,17;0,03;0,00;0,00;
0,00;0,00;114,46;0,02;0,00;0,00;
0,00;0,00;117,29;0,01;0,00;0,00;
0,00;0,00;119,62;0,01;0,00;0,00;
0,00;0,00;124,01;0,01;0,00;0,00;
0,00;0,00;124,01;0,02;0,00;0,00;
0,00;0,00;124,11;0,02;0,00;0,00;
0,00;0,00;124,24;0,02;0,00;0,00;
0,00;0,00;124,37;0,02;0,00;0,00;
0,00;0,00;124,50;0,02;0,00;0,00;
0,00;0,00;124,62;0,02;0,00;0,00;
0,00;0,00;124,75;0,02;0,00;0,00;
0,00;0,00;124,88;0,02;0,00;0,00;
0,00;0,00;125,01;0,02;0,00;0,00;
0,00;0,00;125,14;0,02;0,00;0,00;
0,00;0,00;125,27;0,02;0,00;0,00;
0,00;0,00;125,39;0,02;0,00;0,00;
0,00;0,00;125,52;0,02;0,00;0,00;
0,00;0,00;125,65;0,02;0,00;0,00;
0,00;0,00;125,78;0,07;0,00;0,00;
0,00;0,00;125,90;0,10;0,00;0,00;
0,00;0,00;126,03;0,14;0,00;0,00;
0,00;0,00;126,16;0,15;0,00;0,00;
0,00;0,00;126,29;0,17;0,00;0,00;
0,00;0,00;126,42;0,18;0,00;0,00;
0,00;0,00;126,55;0,20;0,00;0,00;
0,00;0,00;126,67;0,20;0,00;0,00;
0,00;0,00;126,80;0,21;0,00;0,00;
0,00;0,00;126,93;0,22;0,00;0,00;
0,00;0,00;127,06;0,21;0,00;0,00;
0,00;0,00;127,19;0,23;0,00;0,00;
0,00;0,00;127,31;0,23;0,00;0,00;
0,00;0,00;127,44;0,25;0,00;0,00;
0,00;0,00;127,57;0,26;0,00;0,00;
0,00;0,00;127,70;0,26;0,00;0,00;
0,00;0,00;127,82;0,26;0,00;0,00;
0,00;0,00;127,95;0,26;0,00;0,00;
0,00;0,00;128,08;0,26;0,00;0,00;
0,00;0,00;128,21;0,26;0,00;0,00;
0,00;0,00;128,34;0,26;0,00;0,00;
0,00;0,00;128,47;0,26;0,00;0,00;
0,00;0,00;128,60;0,27;0,00;0,00;
0,00;0,00;128,72;0,29;0,00;0,00;
0,00;0,00;128,85;0,28;0,00;0,00;
0,00;0,00;128,98;0,29;0,00;0,00;
0,00;0,00;129,11;0,29;0,00;0,00;
0,00;0,00;129,23;0,29;0,00;0,00;
0,00;0,00;129,36;0,29;0,00;0,00;
0,00;0,00;129,49;0,31;0,00;0,00;
0,00;0,00;129,62;0,31;0,00;0,00;
0,00;0,00;129,75;0,31;0,00;0,00;
0,00;0,00;129,87;0,31;0,00;0,00;
0,00;0,00;130,00;0,32;0,00;0,00;
0,00;0,00;130,13;0,34;0,00;0,00;
0,00;0,00;130,26;0,33;0,00;0,00;
0,00;0,00;130,39;0,34;0,00;0,00;
0,00;0,00;130,52;0,34;0,00;0,00;
0,00;0,00;130,64;0,34;0,00;0,00;
0,00;0,00;130,77;0,34;0,00;0,00;
0,00;0,00;130,90;0,35;0,00;0,00;
0,00;0,00;131,03;0,37;0,00;0,00;
0,00;0,00;131,15;0,37;0,00;0,00;
0,00;0,00;131,28;0,37;0,00;0,00;
0,00;0,00;131,41;0,39;0,00;0,00;
0,00;0,00;131,54;0,38;0,00;0,00;
0,00;0,00;131,67;0,40;0,00;0,00;
0,00;0,00;131,79;0,40;0,00;0,00;
0,00;0,00;131,92;0,40;0,00;0,00;
0,00;0,00;132,05;0,40;0,00;0,00;
0,00;0,00;132,18;0,41;0,00;0,00;
0,00;0,00;132,31;0,41;0,00;0,00;
0,00;0,00;132,43;0,42;0,00;0,00;
0,00;0,00;132,56;0,43;0,00;0,00;
0,00;0,00;132,69;0,43;0,00;0,00;
0,00;0,00;132,82;0,43;0,00;0,00;
0,00;0,00;132,95;0,44;0,00;0,00;
0,00;0,00;133,07;0,45;0,00;0,00;
0,00;0,00;133,20;0,45;0,00;0,00;
0,00;0,00;133,33;0,45;0,00;0,00;
0,00;0,00;133,46;0,45;0,00;0,00;
0,00;0,00;133,59;0,46;0,00;0,00;
0,00;0,00;133,71;0,46;0,00;0,00;
0,00;0,00;133,84;0,46;0,00;0,00;
0,00;0,00;133,97;0,48;0,00;0,00;
0,00;0,00;134,10;0,49;0,00;0,00;
0,00;0,00;134,23;0,49;0,00;0,00;
0,00;0,00;134,36;0,49;0,00;0,00;
0,00;0,00;134,48;0,50;0,00;0,00;
0,00;0,00;134,61;0,50;0,00;0,00;
0,00;0,00;134,74;0,52;0,00;0,00;
0,00;0,00;134,87;0,52;0,00;0,00;
0,00;0,00;134,99;0,53;0,00;0,00;
0,00;0,00;135,12;0,54;0,00;0,00;
0,00;0,00;135,25;0,54;0,00;0,00;
0,00;0,00;135,38;0,55;0,00;0,00;
0,00;0,00;135,51;0,56;0,00;0,00;
0,00;0,00;135,63;0,58;0,00;0,00;
0,00;0,00;135,76;0,58;0,00;0,00;
0,00;0,00;135,89;0,58;0,00;0,00;
0,00;0,00;136,02;0,60;0,00;0,00;
0,00;0,00;136,15;0,60;0,00;0,00;
0,00;0,00;136,27;0,61;0,00;0,00;
0,00;0,00;136,40;0,61;0,00;0,00;
0,00;0,00;136,53;0,61;0,00;0,00;
0,00;0,00;136,66;0,62;0,00;0,00;
0,00;0,00;136,79;0,61;0,00;0,00;
0,00;0,00;136,91;0,63;0,00;0,00;
0,00;0,00;137,04;0,64;0,00;0,00;
0,00;0,00;137,17;0,63;0,00;0,00;
0,00;0,00;137,30;0,63;0,00;0,00;
0,00;0,00;137,43;0,64;0,00;0,00;
0,00;0,00;137,56;0,64;0,00;0,00;
0,00;0,00;137,68;0,65;0,00;0,00;
0,00;0,00;137,81;0,66;0,00;0,00;
0,00;0,00;137,94;0,66;0,00;0,00;
0,00;0,00;138,07;0,66;0,00;0,00;
0,00;0,00;138,19;0,66;0,00;0,00;
0,00;0,00;138,32;0,66;0,00;0,00;
0,00;0,00;138,45;0,66;0,00;0,00;
0,00;0,00;138,58;0,66;0,00;0,00;
0,00;0,00;138,71;0,66;0,00;0,00;
0,00;0,00;138,84;0,66;0,00;0,00;
0,00;0,00;138,96;0,66;0,00;0,00;
0,00;0,00;139,09;0,67;0,00;0,00;
0,00;0,00;139,22;0,68;0,00;0,00;
0,00;0,00;139,35;0,69;0,00;0,00;
0,00;0,00;139,47;0,69;0,00;0,00;
0,00;0,00;139,60;0,69;0,00;0,00;
0,00;0,00;139,73;0,69;0,00;0,00;
