7011;08.02.21 15:21:25;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20210208133923A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,96;0,13;0,00;0,00;
0,00;0,00;40,50;0,09;0,00;0,00;
0,00;0,00;41,52;0,11;0,00;0,00;
0,00;0,00;43,05;0,17;0,00;0,00;
0,00;0,00;45,10;0,09;0,00;0,00;
0,00;0,00;47,66;0,16;0,00;0,00;
0,00;0,00;50,71;0,09;0,00;0,00;
0,00;0,00;53,85;0,11;0,00;0,00;
0,00;0,00;57,02;0,16;0,00;0,00;
0,00;0,00;60,25;0,09;0,00;0,00;
0,00;0,00;63,44;0,04;0,00;0,00;
0,00;0,00;66,65;0,13;0,00;0,00;
0,00;0,00;69,85;0,06;0,00;0,00;
0,00;0,00;73,05;0,13;0,00;0,00;
0,00;0,00;76,25;0,06;0,00;0,00;
0,00;0,00;79,45;0,04;0,00;0,00;
0,00;0,00;82,65;0,11;0,00;0,00;
0,00;0,00;85,85;0,04;0,00;0,00;
0,00;0,00;89,05;0,16;0,00;0,00;
0,00;0,00;92,25;0,09;0,00;0,00;
0,00;0,00;95,45;0,06;0,00;0,00;
0,00;0,00;98,65;0,11;0,00;0,00;
0,00;0,00;101,85;0,06;0,00;0,00;
0,00;0,00;105,05;0,13;0,00;0,00;
0,00;0,00;108,25;0,09;0,00;0,00;
0,00;0,00;111,45;0,04;0,00;0,00;
0,00;0,00;114,65;0,09;0,00;0,00;
0,00;0,00;117,85;0,02;0,00;0,00;
0,00;0,00;121,05;0,13;0,00;0,00;
0,00;0,00;124,25;0,06;0,00;0,00;
0,00;0,00;127,45;0,06;0,00;0,00;
0,00;0,00;130,65;0,11;0,00;0,00;
0,00;0,00;133,85;0,06;0,00;0,00;
0,00;0,00;137,05;0,16;0,00;0,00;
0,00;0,00;140,25;0,11;0,00;0,00;
0,00;0,00;143,45;0,06;0,00;0,00;
0,00;0,00;146,65;0,09;0,00;0,00;
0,00;0,00;149,81;-0,00;0,00;0,00;
0,00;0,00;152,50;0,04;0,00;0,00;
0,00;0,00;154,76;-0,00;0,00;0,00;
0,00;0,00;156,53;-0,05;0,00;0,00;
0,00;0,00;157,80;-0,02;0,00;0,00;
0,00;0,00;158,57;-0,05;0,00;0,00;
0,00;0,00;158,84;-0,02;0,00;0,00;
0,00;0,00;158,92;-0,02;0,00;0,00;
0,00;0,00;159,05;-0,03;0,00;0,00;
0,00;0,00;159,19;0,02;0,00;0,00;
0,00;0,00;159,35;0,18;0,00;0,00;
0,00;0,00;159,51;0,20;0,00;0,00;
0,00;0,00;159,67;1,08;0,00;0,00;
0,00;0,00;159,81;4,34;0,00;0,00;
0,00;0,00;159,93;7,73;0,00;0,00;
0,00;0,00;160,02;9,96;0,00;0,00;
0,00;0,00;160,04;10,37;0,00;0,00;
0,00;0,00;160,05;10,64;0,00;0,00;
0,00;0,00;160,06;10,82;0,00;0,00;
0,00;0,00;160,07;11,00;0,00;0,00;
0,00;0,00;160,07;11,11;0,00;0,00;
0,00;0,00;160,08;11,21;0,00;0,00;
0,00;0,00;160,08;11,36;0,00;0,00;
0,00;0,00;160,08;11,43;0,00;0,00;
0,00;0,00;160,09;11,48;0,00;0,00;
0,00;0,00;160,09;11,50;0,00;0,00;
0,00;0,00;160,09;11,57;0,00;0,00;
0,00;0,00;160,09;11,57;0,00;0,00;
0,00;0,00;160,09;11,61;0,00;0,00;
