9057;20.01.21 08:39:29;21;Avvicinamento Pressata Finale;position < min position (11);20210118100026A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,52;0,04;0,00;0,00;
0,00;0,00;40,80;0,08;0,00;0,00;
0,00;0,00;42,60;0,08;0,00;0,00;
0,00;0,00;44,90;0,04;0,00;0,00;
0,00;0,00;47,22;0,04;0,00;0,00;
0,00;0,00;52,03;0,04;0,00;0,00;
0,00;0,00;54,42;0,08;0,00;0,00;
0,00;0,00;56,82;0,04;0,00;0,00;
0,00;0,00;59,22;0,04;0,00;0,00;
0,00;0,00;64,02;0,04;0,00;0,00;
0,00;0,00;66,42;0,04;0,00;0,00;
0,00;0,00;68,82;-0,04;0,00;0,00;
0,00;0,00;73,62;0,04;0,00;0,00;
0,00;0,00;76,02;0,08;0,00;0,00;
0,00;0,00;80,82;0,04;0,00;0,00;
0,00;0,00;92,82;-0,01;0,00;0,00;
0,00;0,00;100,02;0,04;0,00;0,00;
0,00;0,00;102,42;-0,04;0,00;0,00;
0,00;0,00;107,22;0,04;0,00;0,00;
0,00;0,00;109,62;-0,04;0,00;0,00;
0,00;0,00;112,02;0,04;0,00;0,00;
0,00;0,00;114,42;0,04;0,00;0,00;
0,00;0,00;119,22;0,04;0,00;0,00;
0,00;0,00;126,42;-0,04;0,00;0,00;
0,00;0,00;128,82;-0,09;0,00;0,00;
0,00;0,00;140,82;0,04;0,00;0,00;
0,00;0,00;155,22;-0,01;0,00;0,00;
0,00;0,00;157,62;-0,01;0,00;0,00;
0,00;0,00;160,02;0,04;0,00;0,00;
0,00;0,00;162,42;-0,04;0,00;0,00;
0,00;0,00;164,82;-0,04;0,00;0,00;
0,00;0,00;167,22;0,04;0,00;0,00;
0,00;0,00;174,42;0,04;0,00;0,00;
0,00;0,00;179,22;0,04;0,00;0,00;
0,00;0,00;184,02;0,04;0,00;0,00;
0,00;0,00;186,42;-0,01;0,00;0,00;
0,00;0,00;188,82;-0,01;0,00;0,00;
0,00;0,00;193,62;0,08;0,00;0,00;
0,00;0,00;196,02;-0,04;0,00;0,00;
0,00;0,00;198,42;0,04;0,00;0,00;
0,00;0,00;205,62;0,04;0,00;0,00;
0,00;0,00;210,42;-0,01;0,00;0,00;
0,00;0,00;215,22;0,04;0,00;0,00;
0,00;0,00;217,62;0,04;0,00;0,00;
0,00;0,00;220,02;0,04;0,00;0,00;
0,00;0,00;224,82;-0,04;0,00;0,00;
0,00;0,00;227,22;-0,01;0,00;0,00;
0,00;0,00;229,44;-0,10;0,00;0,00;
0,00;0,00;232,38;-0,09;0,00;0,00;
0,00;0,00;233,11;-0,04;0,00;0,00;
0,00;0,00;233,33;-0,04;0,00;0,00;
0,00;0,00;233,57;0,04;0,00;0,00;
0,00;0,00;238,20;0,04;0,00;0,00;
0,00;0,00;241,08;0,04;0,00;0,00;
0,00;0,00;242,84;0,04;0,00;0,00;
0,00;0,00;243,48;0,04;0,00;0,00;
0,00;0,00;245,24;0,04;0,00;0,00;
0,00;0,00;247,80;0,04;0,00;0,00;
0,00;0,00;248,12;0,04;0,00;0,00;
0,00;0,00;251,00;0,04;0,00;0,00;
0,00;0,00;252,92;0,04;0,00;0,00;
0,00;0,00;253,08;0,04;0,00;0,00;
0,00;0,00;254,36;1,69;0,00;0,00;
0,00;0,00;254,50;3,78;0,00;0,00;
0,00;0,00;254,66;3,90;0,00;0,00;
0,00;0,00;254,83;3,95;0,00;0,00;
0,00;0,00;254,99;3,90;0,00;0,00;
0,00;0,00;255,15;3,90;0,00;0,00;
0,00;0,00;255,32;3,95;0,00;0,00;
0,00;0,00;255,48;4,08;0,00;0,00;
0,00;0,00;255,63;4,13;0,00;0,00;
0,00;0,00;255,80;4,08;0,00;0,00;
0,00;0,00;255,96;4,21;0,00;0,00;
0,00;0,00;256,12;4,25;0,00;0,00;
0,00;0,00;256,28;4,43;0,00;0,00;
0,00;0,00;256,43;4,56;0,00;0,00;
0,00;0,00;256,60;4,52;0,00;0,00;
0,00;0,00;256,76;4,69;0,00;0,00;
0,00;0,00;256,92;4,82;0,00;0,00;
0,00;0,00;257,08;4,87;0,00;0,00;
0,00;0,00;257,23;4,78;0,00;0,00;
0,00;0,00;257,40;4,87;0,00;0,00;
0,00;0,00;257,56;5,17;0,00;0,00;
0,00;0,00;257,72;5,30;0,00;0,00;
0,00;0,00;257,88;5,21;0,00;0,00;
0,00;0,00;258,03;5,17;0,00;0,00;
0,00;0,00;258,20;5,30;0,00;0,00;
0,00;0,00;258,36;5,60;0,00;0,00;
0,00;0,00;258,52;5,65;0,00;0,00;
0,00;0,00;258,68;5,51;0,00;0,00;
0,00;0,00;258,84;5,56;0,00;0,00;
0,00;0,00;259,00;5,77;0,00;0,00;
0,00;0,00;259,16;5,95;0,00;0,00;
0,00;0,00;259,32;5,99;0,00;0,00;
0,00;0,00;259,48;5,86;0,00;0,00;
0,00;0,00;259,64;5,99;0,00;0,00;
0,00;0,00;259,80;6,21;0,00;0,00;
0,00;0,00;259,96;6,25;0,00;0,00;
0,00;0,00;260,12;6,25;0,00;0,00;
0,00;0,00;260,28;6,30;0,00;0,00;
0,00;0,00;260,44;6,34;0,00;0,00;
0,00;0,00;260,60;6,52;0,00;0,00;
0,00;0,00;260,76;6,56;0,00;0,00;
0,00;0,00;260,92;6,39;0,00;0,00;
0,00;0,00;261,08;6,43;0,00;0,00;
0,00;0,00;261,24;6,73;0,00;0,00;
0,00;0,00;261,39;6,87;0,00;0,00;
0,00;0,00;261,56;6,82;0,00;0,00;
0,00;0,00;261,72;6,82;0,00;0,00;
0,00;0,00;261,88;6,95;0,00;0,00;
0,00;0,00;262,04;7,12;0,00;0,00;
0,00;0,00;262,20;7,17;0,00;0,00;
0,00;0,00;262,36;6,99;0,00;0,00;
0,00;0,00;262,52;6,95;0,00;0,00;
0,00;0,00;262,68;7,17;0,00;0,00;
0,00;0,00;262,84;7,34;0,00;0,00;
0,00;0,00;263,00;7,38;0,00;0,00;
0,00;0,00;263,16;7,08;0,00;0,00;
0,00;0,00;263,32;6,95;0,00;0,00;
0,00;0,00;263,48;7,17;0,00;0,00;
0,00;0,00;263,64;7,47;0,00;0,00;
0,00;0,00;263,80;7,47;0,00;0,00;
0,00;0,00;263,95;7,26;0,00;0,00;
0,00;0,00;264,12;7,21;0,00;0,00;
0,00;0,00;264,28;7,56;0,00;0,00;
0,00;0,00;264,44;7,82;0,00;0,00;
0,00;0,00;264,59;7,56;0,00;0,00;
0,00;0,00;264,75;7,38;0,00;0,00;
0,00;0,00;264,92;7,65;0,00;0,00;
0,00;0,00;265,08;8,04;0,00;0,00;
0,00;0,00;265,24;7,82;0,00;0,00;
0,00;0,00;265,40;7,47;0,00;0,00;
0,00;0,00;265,56;7,29;0,00;0,00;
0,00;0,00;265,72;8,00;0,00;0,00;
0,00;0,00;265,88;8,21;0,00;0,00;
0,00;0,00;266,04;7,77;0,00;0,00;
0,00;0,00;266,20;7,43;0,00;0,00;
0,00;0,00;266,36;7,73;0,00;0,00;
0,00;0,00;266,52;8,30;0,00;0,00;
0,00;0,00;266,68;7,91;0,00;0,00;
0,00;0,00;266,84;7,60;0,00;0,00;
0,00;0,00;267,00;7,60;0,00;0,00;
0,00;0,00;267,16;8,21;0,00;0,00;
0,00;0,00;267,32;8,39;0,00;0,00;
0,00;0,00;267,48;8,04;0,00;0,00;
0,00;0,00;267,64;7,69;0,00;0,00;
0,00;0,00;267,80;8,17;0,00;0,00;
0,00;0,00;267,96;8,69;0,00;0,00;
0,00;0,00;268,11;8,30;0,00;0,00;
0,00;0,00;268,28;8,04;0,00;0,00;
0,00;0,00;268,44;8,04;0,00;0,00;
0,00;0,00;268,60;8,78;0,00;0,00;
0,00;0,00;268,76;8,86;0,00;0,00;
0,00;0,00;268,91;8,57;0,00;0,00;
0,00;0,00;269,08;8,30;0,00;0,00;
0,00;0,00;269,24;8,91;0,00;0,00;
0,00;0,00;269,40;9,34;0,00;0,00;
0,00;0,00;269,56;9,08;0,00;0,00;
0,00;0,00;269,71;8,81;0,00;0,00;
0,00;0,00;269,88;8,95;0,00;0,00;
0,00;0,00;270,04;9,56;0,00;0,00;
0,00;0,00;270,20;9,60;0,00;0,00;
0,00;0,00;270,36;9,38;0,00;0,00;
0,00;0,00;270,52;9,13;0,00;0,00;
0,00;0,00;270,68;9,52;0,00;0,00;
0,00;0,00;270,84;10,08;0,00;0,00;
0,00;0,00;271,00;9,82;0,00;0,00;
0,00;0,00;271,15;9,52;0,00;0,00;
0,00;0,00;271,32;9,43;0,00;0,00;
0,00;0,00;271,48;10,08;0,00;0,00;
0,00;0,00;271,64;10,39;0,00;0,00;
0,00;0,00;271,80;10,13;0,00;0,00;
0,00;0,00;271,96;9,86;0,00;0,00;
0,00;0,00;272,12;10,12;0,00;0,00;
0,00;0,00;272,28;10,65;0,00;0,00;
0,00;0,00;272,44;10,48;0,00;0,00;
0,00;0,00;272,60;10,21;0,00;0,00;
0,00;0,00;272,76;10,12;0,00;0,00;
0,00;0,00;272,92;10,78;0,00;0,00;
0,00;0,00;273,07;11,13;0,00;0,00;
0,00;0,00;273,24;10,74;0,00;0,00;
0,00;0,00;273,40;10,56;0,00;0,00;
0,00;0,00;273,56;10,82;0,00;0,00;
0,00;0,00;273,72;11,30;0,00;0,00;
0,00;0,00;273,88;11,04;0,00;0,00;
0,00;0,00;274,04;10,82;0,00;0,00;
0,00;0,00;274,20;10,95;0,00;0,00;
0,00;0,00;274,36;11,38;0,00;0,00;
0,00;0,00;274,52;11,78;0,00;0,00;
0,00;0,00;274,67;11,52;0,00;0,00;
0,00;0,00;274,83;11,38;0,00;0,00;
0,00;0,00;275,00;11,56;0,00;0,00;
0,00;0,00;275,16;12,17;0,00;0,00;
0,00;0,00;275,32;12,00;0,00;0,00;
0,00;0,00;275,48;11,78;0,00;0,00;
0,00;0,00;275,64;11,70;0,00;0,00;
0,00;0,00;275,80;12,21;0,00;0,00;
0,00;0,00;275,96;12,48;0,00;0,00;
0,00;0,00;276,12;12,21;0,00;0,00;
0,00;0,00;276,27;12,08;0,00;0,00;
0,00;0,00;276,43;12,17;0,00;0,00;
0,00;0,00;276,60;12,83;0,00;0,00;
0,00;0,00;276,76;12,78;0,00;0,00;
0,00;0,00;276,92;12,69;0,00;0,00;
0,00;0,00;277,08;12,43;0,00;0,00;
0,00;0,00;277,24;12,95;0,00;0,00;
0,00;0,00;277,40;13,22;0,00;0,00;
0,00;0,00;277,56;12,95;0,00;0,00;
0,00;0,00;277,72;12,91;0,00;0,00;
0,00;0,00;277,88;13,04;0,00;0,00;
0,00;0,00;278,03;13,60;0,00;0,00;
0,00;0,00;278,19;13,61;0,00;0,00;
0,00;0,00;278,36;13,39;0,00;0,00;
0,00;0,00;278,52;13,30;0,00;0,00;
