3610;08.09.20 08:19:22;21;Avvicinamento Pressata Finale;position < min position (11);20200907145715A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;245,40;0,04;0,00;0,00;
0,00;0,00;245,56;0,04;0,00;0,00;
0,00;0,00;245,72;0,04;0,00;0,00;
0,00;0,00;245,88;0,04;0,00;0,00;
0,00;0,00;246,04;0,04;0,00;0,00;
0,00;0,00;246,20;0,04;0,00;0,00;
0,00;0,00;246,36;0,04;0,00;0,00;
0,00;0,00;246,52;0,04;0,00;0,00;
0,00;0,00;246,68;0,04;0,00;0,00;
0,00;0,00;246,84;0,04;0,00;0,00;
0,00;0,00;247,00;0,04;0,00;0,00;
0,00;0,00;247,16;0,04;0,00;0,00;
0,00;0,00;247,32;0,04;0,00;0,00;
0,00;0,00;247,48;0,04;0,00;0,00;
0,00;0,00;247,64;0,04;0,00;0,00;
0,00;0,00;247,80;0,04;0,00;0,00;
0,00;0,00;247,96;0,04;0,00;0,00;
0,00;0,00;248,12;0,04;0,00;0,00;
0,00;0,00;248,28;0,04;0,00;0,00;
0,00;0,00;248,44;0,04;0,00;0,00;
0,00;0,00;248,60;0,04;0,00;0,00;
0,00;0,00;248,76;0,04;0,00;0,00;
0,00;0,00;248,92;0,04;0,00;0,00;
0,00;0,00;249,08;0,04;0,00;0,00;
0,00;0,00;249,24;0,04;0,00;0,00;
0,00;0,00;249,40;0,04;0,00;0,00;
0,00;0,00;249,56;0,04;0,00;0,00;
0,00;0,00;249,72;0,04;0,00;0,00;
0,00;0,00;249,88;0,04;0,00;0,00;
0,00;0,00;250,04;0,04;0,00;0,00;
0,00;0,00;250,20;0,04;0,00;0,00;
0,00;0,00;250,36;0,04;0,00;0,00;
0,00;0,00;250,52;0,04;0,00;0,00;
0,00;0,00;250,68;0,04;0,00;0,00;
0,00;0,00;250,84;0,04;0,00;0,00;
0,00;0,00;251,00;0,04;0,00;0,00;
0,00;0,00;251,16;0,04;0,00;0,00;
0,00;0,00;251,32;0,04;0,00;0,00;
0,00;0,00;251,48;0,04;0,00;0,00;
0,00;0,00;251,64;0,04;0,00;0,00;
0,00;0,00;251,80;0,04;0,00;0,00;
0,00;0,00;251,96;0,04;0,00;0,00;
0,00;0,00;252,12;0,04;0,00;0,00;
0,00;0,00;252,28;0,04;0,00;0,00;
0,00;0,00;252,44;0,04;0,00;0,00;
0,00;0,00;252,60;0,04;0,00;0,00;
0,00;0,00;252,76;0,04;0,00;0,00;
0,00;0,00;252,92;0,04;0,00;0,00;
0,00;0,00;253,08;0,04;0,00;0,00;
0,00;0,00;253,24;0,04;0,00;0,00;
0,00;0,00;253,40;0,04;0,00;0,00;
0,00;0,00;253,56;0,04;0,00;0,00;
0,00;0,00;253,72;0,04;0,00;0,00;
0,00;0,00;253,88;0,04;0,00;0,00;
0,00;0,00;254,04;0,04;0,00;0,00;
0,00;0,00;254,20;0,04;0,00;0,00;
0,00;0,00;254,36;0,04;0,00;0,00;
0,00;0,00;254,52;0,04;0,00;0,00;
0,00;0,00;254,68;0,04;0,00;0,00;
0,00;0,00;254,84;0,04;0,00;0,00;
0,00;0,00;255,00;0,04;0,00;0,00;
0,00;0,00;255,16;0,04;0,00;0,00;
0,00;0,00;255,32;0,04;0,00;0,00;
0,00;0,00;255,48;0,04;0,00;0,00;
0,00;0,00;255,64;0,04;0,00;0,00;
0,00;0,00;255,80;0,04;0,00;0,00;
0,00;0,00;255,96;0,04;0,00;0,00;
0,00;0,00;256,12;0,04;0,00;0,00;
0,00;0,00;256,28;0,04;0,00;0,00;
0,00;0,00;256,44;0,04;0,00;0,00;
0,00;0,00;256,60;0,04;0,00;0,00;
0,00;0,00;256,76;0,04;0,00;0,00;
0,00;0,00;256,92;0,04;0,00;0,00;
0,00;0,00;257,08;0,04;0,00;0,00;
0,00;0,00;257,24;0,04;0,00;0,00;
0,00;0,00;257,40;0,04;0,00;0,00;
0,00;0,00;257,56;0,04;0,00;0,00;
0,00;0,00;257,72;0,04;0,00;0,00;
0,00;0,00;257,88;0,04;0,00;0,00;
0,00;0,00;258,04;0,04;0,00;0,00;
0,00;0,00;258,20;0,04;0,00;0,00;
0,00;0,00;258,36;0,04;0,00;0,00;
0,00;0,00;258,52;0,04;0,00;0,00;
0,00;0,00;258,68;0,04;0,00;0,00;
0,00;0,00;258,84;0,04;0,00;0,00;
0,00;0,00;259,00;0,04;0,00;0,00;
0,00;0,00;259,16;0,04;0,00;0,00;
0,00;0,00;259,32;0,04;0,00;0,00;
0,00;0,00;259,48;0,04;0,00;0,00;
0,00;0,00;259,64;0,04;0,00;0,00;
0,00;0,00;259,80;0,04;0,00;0,00;
0,00;0,00;259,96;0,04;0,00;0,00;
0,00;0,00;260,12;0,04;0,00;0,00;
0,00;0,00;260,28;0,04;0,00;0,00;
0,00;0,00;260,44;0,04;0,00;0,00;
0,00;0,00;260,60;0,04;0,00;0,00;
0,00;0,00;260,76;0,04;0,00;0,00;
0,00;0,00;260,92;0,04;0,00;0,00;
0,00;0,00;261,08;0,04;0,00;0,00;
0,00;0,00;261,24;0,04;0,00;0,00;
0,00;0,00;261,40;0,04;0,00;0,00;
0,00;0,00;261,56;0,04;0,00;0,00;
0,00;0,00;261,72;0,04;0,00;0,00;
0,00;0,00;261,88;0,04;0,00;0,00;
0,00;0,00;262,04;0,04;0,00;0,00;
0,00;0,00;262,20;0,04;0,00;0,00;
0,00;0,00;262,36;0,04;0,00;0,00;
0,00;0,00;262,52;0,04;0,00;0,00;
0,00;0,00;262,68;0,04;0,00;0,00;
0,00;0,00;262,84;0,04;0,00;0,00;
0,00;0,00;263,00;0,04;0,00;0,00;
0,00;0,00;263,16;0,04;0,00;0,00;
0,00;0,00;263,32;0,04;0,00;0,00;
