75987;07.09.21 11:27:21;22;Avvicinamento pre-pressata pressata Fuori Ingombro;position > max position (10);20210907083410A0217;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;162,77;6,96;0,00;0,00;
0,00;0,00;162,93;7,01;0,00;0,00;
0,00;0,00;163,09;7,10;0,00;0,00;
0,00;0,00;163,25;7,26;0,00;0,00;
0,00;0,00;163,41;7,37;0,00;0,00;
0,00;0,00;163,57;7,51;0,00;0,00;
0,00;0,00;163,73;7,55;0,00;0,00;
0,00;0,00;163,88;7,75;0,00;0,00;
0,00;0,00;164,05;7,84;0,00;0,00;
0,00;0,00;164,21;7,96;0,00;0,00;
0,00;0,00;164,28;7,59;0,00;0,00;
0,00;0,00;164,28;7,87;0,00;0,00;
0,00;0,00;164,04;1,60;0,00;0,00;
0,00;0,00;163,30;-0,12;0,00;0,00;
0,00;0,00;162,01;-0,21;0,00;0,00;
0,00;0,00;160,20;-0,14;0,00;0,00;
0,00;0,00;158,03;0,11;0,00;0,00;
0,00;0,00;156,33;-0,05;0,00;0,00;
0,00;0,00;155,01;-0,07;0,00;0,00;
0,00;0,00;154,15;0,02;0,00;0,00;
0,00;0,00;153,79;0,02;0,00;0,00;
0,00;0,00;153,81;0,02;0,00;0,00;
0,00;0,00;153,95;0,04;0,00;0,00;
0,00;0,00;154,11;0,06;0,00;0,00;
0,00;0,00;154,28;0,04;0,00;0,00;
0,00;0,00;154,44;0,02;0,00;0,00;
0,00;0,00;154,61;0,04;0,00;0,00;
0,00;0,00;154,77;0,04;0,00;0,00;
0,00;0,00;154,93;0,02;0,00;0,00;
0,00;0,00;155,09;0,02;0,00;0,00;
0,00;0,00;155,25;0,04;0,00;0,00;
0,00;0,00;155,57;0,02;0,00;0,00;
0,00;0,00;155,73;0,04;0,00;0,00;
0,00;0,00;155,89;0,04;0,00;0,00;
0,00;0,00;156,05;0,06;0,00;0,00;
0,00;0,00;156,21;0,02;0,00;0,00;
0,00;0,00;156,37;0,04;0,00;0,00;
0,00;0,00;156,69;0,04;0,00;0,00;
0,00;0,00;156,85;0,02;0,00;0,00;
0,00;0,00;157,01;0,02;0,00;0,00;
0,00;0,00;157,17;0,02;0,00;0,00;
0,00;0,00;157,33;0,02;0,00;0,00;
0,00;0,00;157,49;0,04;0,00;0,00;
0,00;0,00;157,65;0,06;0,00;0,00;
0,00;0,00;157,81;0,04;0,00;0,00;
0,00;0,00;157,97;0,02;0,00;0,00;
0,00;0,00;158,13;0,02;0,00;0,00;
0,00;0,00;158,29;0,02;0,00;0,00;
0,00;0,00;158,45;0,06;0,00;0,00;
0,00;0,00;158,61;0,06;0,00;0,00;
0,00;0,00;158,77;0,06;0,00;0,00;
0,00;0,00;158,93;0,04;0,00;0,00;
0,00;0,00;159,25;0,04;0,00;0,00;
0,00;0,00;159,41;0,02;0,00;0,00;
0,00;0,00;159,57;0,04;0,00;0,00;
0,00;0,00;159,73;0,02;0,00;0,00;
0,00;0,00;159,89;0,02;0,00;0,00;
0,00;0,00;160,05;0,02;0,00;0,00;
0,00;0,00;160,21;0,04;0,00;0,00;
0,00;0,00;160,53;0,02;0,00;0,00;
0,00;0,00;160,69;0,04;0,00;0,00;
0,00;0,00;161,01;0,06;0,00;0,00;
0,00;0,00;161,17;0,04;0,00;0,00;
0,00;0,00;161,33;0,02;0,00;0,00;
0,00;0,00;161,49;0,02;0,00;0,00;
0,00;0,00;161,65;0,06;0,00;0,00;
0,00;0,00;161,97;0,04;0,00;0,00;
0,00;0,00;162,13;0,06;0,00;0,00;
0,00;0,00;162,29;0,09;0,00;0,00;
0,00;0,00;162,45;0,04;0,00;0,00;
0,00;0,00;162,61;0,02;0,00;0,00;
0,00;0,00;162,77;0,09;0,00;0,00;
0,00;0,00;162,93;0,04;0,00;0,00;
0,00;0,00;163,09;0,04;0,00;0,00;
0,00;0,00;163,25;0,02;0,00;0,00;
0,00;0,00;163,57;0,02;0,00;0,00;
0,00;0,00;163,73;0,09;0,00;0,00;
0,00;0,00;163,89;0,27;0,00;0,00;
0,00;0,00;164,05;0,42;0,00;0,00;
0,00;0,00;164,19;4,27;0,00;0,00;
0,00;0,00;164,31;8,34;0,00;0,00;
0,00;0,00;164,46;7,87;0,00;0,00;
0,00;0,00;164,64;8,00;0,00;0,00;
0,00;0,00;164,81;8,09;0,00;0,00;
0,00;0,00;164,98;8,23;0,00;0,00;
0,00;0,00;165,15;8,36;0,00;0,00;
0,00;0,00;165,31;8,47;0,00;0,00;
0,00;0,00;165,47;8,59;0,00;0,00;
0,00;0,00;165,64;8,70;0,00;0,00;
0,00;0,00;165,80;8,77;0,00;0,00;
0,00;0,00;165,96;8,89;0,00;0,00;
0,00;0,00;166,12;8,97;0,00;0,00;
0,00;0,00;166,19;8,65;0,00;0,00;
0,00;0,00;166,20;8,95;0,00;0,00;
0,00;0,00;166,20;8,93;0,00;0,00;
