14140;23.10.20 10:59:46;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);20201022161818P0050;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;44,17;0,18;0,00;0,00;
0,00;0,00;44,96;0,15;0,00;0,00;
0,00;0,00;46,23;0,09;0,00;0,00;
0,00;0,00;48,02;0,15;0,00;0,00;
0,00;0,00;50,32;0,18;0,00;0,00;
0,00;0,00;53,14;0,13;0,00;0,00;
0,00;0,00;56,30;0,04;0,00;0,00;
0,00;0,00;59,41;0,11;0,00;0,00;
0,00;0,00;62,64;0,11;0,00;0,00;
0,00;0,00;65,85;0,06;0,00;0,00;
0,00;0,00;69,05;0,09;0,00;0,00;
0,00;0,00;72,25;0,11;0,00;0,00;
0,00;0,00;75,45;0,06;0,00;0,00;
0,00;0,00;78,65;0,06;0,00;0,00;
0,00;0,00;81,85;0,06;0,00;0,00;
0,00;0,00;85,05;0,09;0,00;0,00;
0,00;0,00;88,25;0,06;0,00;0,00;
0,00;0,00;91,45;0,04;0,00;0,00;
0,00;0,00;94,65;0,09;0,00;0,00;
0,00;0,00;97,85;0,02;0,00;0,00;
0,00;0,00;101,05;0,06;0,00;0,00;
0,00;0,00;104,25;0,04;0,00;0,00;
0,00;0,00;107,45;0,06;0,00;0,00;
0,00;0,00;110,65;0,09;0,00;0,00;
0,00;0,00;113,85;0,04;0,00;0,00;
0,00;0,00;117,05;0,09;0,00;0,00;
0,00;0,00;120,25;0,09;0,00;0,00;
0,00;0,00;123,45;0,09;0,00;0,00;
0,00;0,00;126,65;0,09;0,00;0,00;
0,00;0,00;129,85;0,09;0,00;0,00;
0,00;0,00;133,05;0,04;0,00;0,00;
0,00;0,00;136,25;0,09;0,00;0,00;
0,00;0,00;139,45;0,04;0,00;0,00;
0,00;0,00;142,65;0,11;0,00;0,00;
0,00;0,00;145,85;0,02;0,00;0,00;
0,00;0,00;149,05;0,09;0,00;0,00;
0,00;0,00;152,08;-0,07;0,00;0,00;
0,00;0,00;154,59;-0,02;0,00;0,00;
0,00;0,00;156,66;-0,00;0,00;0,00;
0,00;0,00;158,22;-0,02;0,00;0,00;
0,00;0,00;159,26;-0,05;0,00;0,00;
0,00;0,00;159,80;-0,07;0,00;0,00;
0,00;0,00;159,97;-0,02;0,00;0,00;
0,00;0,00;160,40;0,02;0,00;0,00;
0,00;0,00;160,56;0,02;0,00;0,00;
0,00;0,00;161,36;0,02;0,00;0,00;
0,00;0,00;161,68;0,02;0,00;0,00;
0,00;0,00;162,64;0,02;0,00;0,00;
0,00;0,00;163,44;0,02;0,00;0,00;
0,00;0,00;163,60;0,02;0,00;0,00;
0,00;0,00;165,20;0,02;0,00;0,00;
0,00;0,00;166,00;0,02;0,00;0,00;
0,00;0,00;168,08;0,02;0,00;0,00;
0,00;0,00;168,24;0,02;0,00;0,00;
0,00;0,00;169,68;0,04;0,00;0,00;
0,00;0,00;170,48;0,02;0,00;0,00;
0,00;0,00;171,60;0,02;0,00;0,00;
0,00;0,00;172,08;0,02;0,00;0,00;
0,00;0,00;172,72;0,02;0,00;0,00;
0,00;0,00;174,80;0,02;0,00;0,00;
0,00;0,00;174,96;0,18;0,00;0,00;
0,00;0,00;175,12;0,20;0,00;0,00;
0,00;0,00;175,27;2,10;0,00;0,00;
0,00;0,00;175,40;5,54;0,00;0,00;
0,00;0,00;175,53;8,97;0,00;0,00;
0,00;0,00;175,67;12,75;0,00;0,00;
0,00;0,00;175,81;16,57;0,00;0,00;
0,00;0,00;175,95;19,81;0,00;0,00;
0,00;0,00;176,06;19,60;0,00;0,00;
0,00;0,00;176,11;19,08;0,00;0,00;
0,00;0,00;176,14;18,74;0,00;0,00;
0,00;0,00;176,16;18,49;0,00;0,00;
0,00;0,00;176,16;18,27;0,00;0,00;
0,00;0,00;176,17;18,18;0,00;0,00;
0,00;0,00;176,17;18,18;0,00;0,00;
0,00;0,00;176,18;18,18;0,00;0,00;
0,00;0,00;176,18;18,18;0,00;0,00;
0,00;0,00;176,18;18,11;0,00;0,00;
0,00;0,00;176,19;18,09;0,00;0,00;
0,00;0,00;176,19;18,09;0,00;0,00;
0,00;0,00;176,19;18,07;0,00;0,00;
0,00;0,00;176,19;18,00;0,00;0,00;
