3588;30.01.20 16:25:41;22;Avvicinamento pre-pressata pressata Fuori Ingombro;position > max position (10);20200130154346;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;183,01;0,23;0,00;0,00;
0,00;0,00;183,17;0,23;0,00;0,00;
0,00;0,00;183,33;0,23;0,00;0,00;
0,00;0,00;183,49;0,23;0,00;0,00;
0,00;0,00;183,65;0,23;0,00;0,00;
0,00;0,00;183,81;0,23;0,00;0,00;
0,00;0,00;183,97;0,23;0,00;0,00;
0,00;0,00;184,13;0,23;0,00;0,00;
0,00;0,00;184,29;0,23;0,00;0,00;
0,00;0,00;184,45;0,16;0,00;0,00;
0,00;0,00;184,61;0,23;0,00;0,00;
0,00;0,00;184,77;0,23;0,00;0,00;
0,00;0,00;184,93;0,23;0,00;0,00;
0,00;0,00;185,09;0,16;0,00;0,00;
0,00;0,00;185,25;0,23;0,00;0,00;
0,00;0,00;185,41;0,16;0,00;0,00;
0,00;0,00;185,57;0,23;0,00;0,00;
0,00;0,00;185,73;0,23;0,00;0,00;
0,00;0,00;185,89;0,16;0,00;0,00;
0,00;0,00;186,05;0,23;0,00;0,00;
0,00;0,00;186,21;0,23;0,00;0,00;
0,00;0,00;186,37;0,23;0,00;0,00;
0,00;0,00;186,53;0,23;0,00;0,00;
0,00;0,00;186,69;0,23;0,00;0,00;
0,00;0,00;186,85;0,23;0,00;0,00;
0,00;0,00;187,01;0,23;0,00;0,00;
0,00;0,00;187,17;0,23;0,00;0,00;
0,00;0,00;187,33;0,23;0,00;0,00;
0,00;0,00;187,49;0,16;0,00;0,00;
0,00;0,00;187,65;0,23;0,00;0,00;
0,00;0,00;187,81;0,23;0,00;0,00;
0,00;0,00;187,97;0,23;0,00;0,00;
0,00;0,00;188,13;0,23;0,00;0,00;
0,00;0,00;188,29;0,16;0,00;0,00;
0,00;0,00;188,45;0,23;0,00;0,00;
0,00;0,00;188,61;0,16;0,00;0,00;
0,00;0,00;188,77;0,16;0,00;0,00;
0,00;0,00;188,93;0,23;0,00;0,00;
0,00;0,00;189,09;0,23;0,00;0,00;
0,00;0,00;189,25;0,23;0,00;0,00;
0,00;0,00;189,41;0,23;0,00;0,00;
0,00;0,00;189,57;1,00;0,00;0,00;
0,00;0,00;189,72;3,80;0,00;0,00;
0,00;0,00;189,88;5,40;0,00;0,00;
0,00;0,00;190,04;6,32;0,00;0,00;
0,00;0,00;190,20;6,56;0,00;0,00;
0,00;0,00;190,37;6,17;0,00;0,00;
0,00;0,00;190,53;5,11;0,00;0,00;
0,00;0,00;190,69;4,95;0,00;0,00;
0,00;0,00;190,85;4,88;0,00;0,00;
0,00;0,00;191,01;4,80;0,00;0,00;
0,00;0,00;191,17;4,56;0,00;0,00;
0,00;0,00;191,33;4,64;0,00;0,00;
0,00;0,00;191,49;4,80;0,00;0,00;
0,00;0,00;191,65;5,11;0,00;0,00;
0,00;0,00;191,81;5,11;0,00;0,00;
0,00;0,00;191,97;5,11;0,00;0,00;
0,00;0,00;192,13;5,33;0,00;0,00;
0,00;0,00;192,29;5,40;0,00;0,00;
0,00;0,00;192,45;5,64;0,00;0,00;
0,00;0,00;192,61;5,64;0,00;0,00;
0,00;0,00;192,77;5,95;0,00;0,00;
0,00;0,00;192,93;6,17;0,00;0,00;
0,00;0,00;193,09;6,40;0,00;0,00;
0,00;0,00;193,25;6,78;0,00;0,00;
0,00;0,00;193,41;7,16;0,00;0,00;
0,00;0,00;193,57;7,38;0,00;0,00;
0,00;0,00;193,73;7,85;0,00;0,00;
0,00;0,00;193,89;8,15;0,00;0,00;
0,00;0,00;194,05;8,54;0,00;0,00;
0,00;0,00;194,21;8,91;0,00;0,00;
0,00;0,00;194,37;9,38;0,00;0,00;
0,00;0,00;194,53;9,59;0,00;0,00;
0,00;0,00;194,69;9,98;0,00;0,00;
0,00;0,00;194,85;10,20;0,00;0,00;
0,00;0,00;195,01;10,51;0,00;0,00;
0,00;0,00;195,17;10,73;0,00;0,00;
0,00;0,00;195,33;11,04;0,00;0,00;
0,00;0,00;195,49;11,42;0,00;0,00;
0,00;0,00;195,65;11,57;0,00;0,00;
0,00;0,00;195,81;11,81;0,00;0,00;
0,00;0,00;195,97;12,12;0,00;0,00;
0,00;0,00;196,13;12,41;0,00;0,00;
0,00;0,00;196,29;12,73;0,00;0,00;
0,00;0,00;196,45;13,02;0,00;0,00;
0,00;0,00;196,61;13,39;0,00;0,00;
0,00;0,00;196,77;13,63;0,00;0,00;
0,00;0,00;196,93;13,94;0,00;0,00;
0,00;0,00;197,09;14,24;0,00;0,00;
0,00;0,00;197,25;14,47;0,00;0,00;
0,00;0,00;197,41;14,69;0,00;0,00;
0,00;0,00;197,57;15,08;0,00;0,00;
0,00;0,00;197,73;15,31;0,00;0,00;
0,00;0,00;197,89;15,53;0,00;0,00;
0,00;0,00;198,05;15,76;0,00;0,00;
0,00;0,00;198,21;16,07;0,00;0,00;
0,00;0,00;198,37;16,29;0,00;0,00;
0,00;0,00;198,53;16,60;0,00;0,00;
0,00;0,00;198,69;16,68;0,00;0,00;
0,00;0,00;198,85;16,90;0,00;0,00;
0,00;0,00;199,01;17,29;0,00;0,00;
0,00;0,00;199,17;17,43;0,00;0,00;
0,00;0,00;199,33;17,58;0,00;0,00;
0,00;0,00;199,49;17,90;0,00;0,00;
0,00;0,00;199,62;17,43;0,00;0,00;
0,00;0,00;199,62;15,61;0,00;0,00;
0,00;0,00;199,63;16,00;0,00;0,00;
0,00;0,00;199,63;15,23;0,00;0,00;
0,00;0,00;199,63;15,08;0,00;0,00;
0,00;0,00;199,63;14,84;0,00;0,00;
0,00;0,00;199,63;14,84;0,00;0,00;
0,00;0,00;199,63;14,69;0,00;0,00;
0,00;0,00;199,62;14,61;0,00;0,00;
0,00;0,00;199,62;14,47;0,00;0,00;
0,00;0,00;199,62;14,39;0,00;0,00;
0,00;0,00;199,62;14,24;0,00;0,00;
0,00;0,00;199,62;14,24;0,00;0,00;
0,00;0,00;199,62;14,24;0,00;0,00;
