15193;08.02.21 14:21:23;10;Repair_strategy;force > max. force (8);20210205134704P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;155,80;0,72;0,00;0,00;
0,00;0,00;155,91;0,73;0,00;0,00;
0,00;0,00;156,03;0,70;0,00;0,00;
0,00;0,00;156,14;0,67;0,00;0,00;
0,00;0,00;156,25;0,65;0,00;0,00;
0,00;0,00;156,36;0,95;0,00;0,00;
0,00;0,00;156,46;2,11;0,00;0,00;
0,00;0,00;156,55;3,96;0,00;0,00;
0,00;0,00;156,65;6,39;0,00;0,00;
0,00;0,00;156,74;9,25;0,00;0,00;
0,00;0,00;156,83;12,20;0,00;0,00;
0,00;0,00;156,84;12,76;0,00;0,00;
0,00;0,00;156,86;13,31;0,00;0,00;
0,00;0,00;156,87;13,69;0,00;0,00;
0,00;0,00;156,88;14,00;0,00;0,00;
0,00;0,00;156,89;14,22;0,00;0,00;
0,00;0,00;156,89;14,39;0,00;0,00;
0,00;0,00;156,90;14,53;0,00;0,00;
0,00;0,00;156,90;14,61;0,00;0,00;
0,00;0,00;156,90;14,68;0,00;0,00;
0,00;0,00;156,90;14,72;0,00;0,00;
0,00;0,00;156,90;14,74;0,00;0,00;
0,00;0,00;156,90;14,75;0,00;0,00;
0,00;0,00;156,90;14,77;0,00;0,00;
