78217;14.09.21 16:49:46;21;Avvicinamento Pressata Fuori Ingombro;start interrupted (14);20210914133514P0050;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;59,78;0,27;0,00;0,00;
0,00;0,00;60,57;0,23;0,00;0,00;
0,00;0,00;61,84;0,20;0,00;0,00;
0,00;0,00;63,63;0,20;0,00;0,00;
0,00;0,00;65,93;0,23;0,00;0,00;
0,00;0,00;68,75;0,27;0,00;0,00;
0,00;0,00;71,91;0,09;0,00;0,00;
0,00;0,00;75,03;0,18;0,00;0,00;
0,00;0,00;78,25;0,16;0,00;0,00;
0,00;0,00;81,45;0,16;0,00;0,00;
0,00;0,00;84,65;0,18;0,00;0,00;
0,00;0,00;87,85;0,11;0,00;0,00;
0,00;0,00;91,05;0,11;0,00;0,00;
0,00;0,00;94,25;0,11;0,00;0,00;
0,00;0,00;97,45;0,16;0,00;0,00;
0,00;0,00;100,65;0,18;0,00;0,00;
0,00;0,00;103,85;0,11;0,00;0,00;
0,00;0,00;107,05;0,13;0,00;0,00;
0,00;0,00;110,25;0,11;0,00;0,00;
