14884;03.02.21 11:33:16;22;Avvicinamento pre-pressata pressata Fuori Ingombro;position > max position (10);20210203104837P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,05;0,07;0,00;0,00;
0,00;0,00;0,59;0,07;0,00;0,00;
0,00;0,00;1,63;0,07;0,00;0,00;
0,00;0,00;3,18;0,06;0,00;0,00;
0,00;0,00;5,24;0,07;0,00;0,00;
0,00;0,00;7,82;0,08;0,00;0,00;
0,00;0,00;10,90;0,09;0,00;0,00;
0,00;0,00;14,38;0,06;0,00;0,00;
0,00;0,00;17,89;0,06;0,00;0,00;
0,00;0,00;21,41;0,06;0,00;0,00;
0,00;0,00;24,93;0,05;0,00;0,00;
0,00;0,00;28,45;0,04;0,00;0,00;
0,00;0,00;31,97;0,05;0,00;0,00;
0,00;0,00;35,49;0,07;0,00;0,00;
0,00;0,00;39,01;0,06;0,00;0,00;
0,00;0,00;42,53;0,05;0,00;0,00;
0,00;0,00;46,05;0,05;0,00;0,00;
0,00;0,00;49,57;0,05;0,00;0,00;
0,00;0,00;53,09;0,05;0,00;0,00;
0,00;0,00;56,61;0,07;0,00;0,00;
0,00;0,00;60,13;0,05;0,00;0,00;
0,00;0,00;63,65;0,04;0,00;0,00;
0,00;0,00;67,17;0,05;0,00;0,00;
0,00;0,00;70,69;0,04;0,00;0,00;
0,00;0,00;74,21;0,05;0,00;0,00;
0,00;0,00;77,73;0,04;0,00;0,00;
0,00;0,00;81,08;0,03;0,00;0,00;
0,00;0,00;83,96;0,02;0,00;0,00;
0,00;0,00;86,33;0,02;0,00;0,00;
0,00;0,00;88,19;0,01;0,00;0,00;
0,00;0,00;89,56;0,01;0,00;0,00;
0,00;0,00;90,42;0,01;0,00;0,00;
0,00;0,00;90,81;0,02;0,00;0,00;
0,00;0,00;90,81;0,03;0,00;0,00;
0,00;0,00;90,84;0,03;0,00;0,00;
0,00;0,00;90,88;0,03;0,00;0,00;
0,00;0,00;90,91;0,03;0,00;0,00;
0,00;0,00;90,94;0,03;0,00;0,00;
0,00;0,00;90,97;0,03;0,00;0,00;
0,00;0,00;91,01;0,03;0,00;0,00;
0,00;0,00;91,04;0,03;0,00;0,00;
0,00;0,00;91,07;0,03;0,00;0,00;
0,00;0,00;91,10;0,03;0,00;0,00;
0,00;0,00;91,13;0,03;0,00;0,00;
0,00;0,00;91,17;0,03;0,00;0,00;
0,00;0,00;91,20;0,03;0,00;0,00;
0,00;0,00;91,23;0,03;0,00;0,00;
0,00;0,00;91,26;0,03;0,00;0,00;
0,00;0,00;91,29;0,03;0,00;0,00;
0,00;0,00;91,33;0,03;0,00;0,00;
0,00;0,00;91,36;0,03;0,00;0,00;
0,00;0,00;91,39;0,03;0,00;0,00;
0,00;0,00;91,42;0,03;0,00;0,00;
0,00;0,00;91,45;0,03;0,00;0,00;
0,00;0,00;91,49;0,03;0,00;0,00;
0,00;0,00;91,52;0,03;0,00;0,00;
0,00;0,00;91,55;0,03;0,00;0,00;
0,00;0,00;91,58;0,03;0,00;0,00;
0,00;0,00;91,62;0,03;0,00;0,00;
0,00;0,00;91,65;0,03;0,00;0,00;
0,00;0,00;91,68;0,03;0,00;0,00;
0,00;0,00;91,71;0,03;0,00;0,00;
0,00;0,00;91,74;0,03;0,00;0,00;
0,00;0,00;91,77;0,03;0,00;0,00;
0,00;0,00;91,81;0,02;0,00;0,00;
0,00;0,00;91,84;0,03;0,00;0,00;
0,00;0,00;91,87;0,03;0,00;0,00;
0,00;0,00;91,90;0,03;0,00;0,00;
0,00;0,00;91,93;0,03;0,00;0,00;
0,00;0,00;91,97;0,03;0,00;0,00;
0,00;0,00;92,00;0,03;0,00;0,00;
0,00;0,00;92,03;0,03;0,00;0,00;
0,00;0,00;92,06;0,03;0,00;0,00;
0,00;0,00;92,09;0,03;0,00;0,00;
0,00;0,00;92,13;0,03;0,00;0,00;
0,00;0,00;92,16;0,03;0,00;0,00;
0,00;0,00;92,19;0,03;0,00;0,00;
0,00;0,00;92,22;0,03;0,00;0,00;
0,00;0,00;92,25;0,03;0,00;0,00;
0,00;0,00;92,29;0,03;0,00;0,00;
0,00;0,00;92,32;0,04;0,00;0,00;
0,00;0,00;92,35;0,03;0,00;0,00;
0,00;0,00;92,38;0,04;0,00;0,00;
0,00;0,00;92,41;0,03;0,00;0,00;
0,00;0,00;92,45;0,03;0,00;0,00;
0,00;0,00;92,48;0,03;0,00;0,00;
0,00;0,00;92,51;0,04;0,00;0,00;
0,00;0,00;92,54;0,03;0,00;0,00;
0,00;0,00;92,57;0,03;0,00;0,00;
0,00;0,00;92,60;0,03;0,00;0,00;
0,00;0,00;92,60;0,03;0,00;0,00;
0,00;0,00;92,47;-0,03;0,00;0,00;
0,00;0,00;91,94;0,05;0,00;0,00;
0,00;0,00;91,80;0,01;0,00;0,00;
0,00;0,00;91,82;0,02;0,00;0,00;
0,00;0,00;91,85;0,03;0,00;0,00;
0,00;0,00;91,89;0,03;0,00;0,00;
0,00;0,00;91,92;0,03;0,00;0,00;
0,00;0,00;91,95;0,03;0,00;0,00;
0,00;0,00;91,99;0,03;0,00;0,00;
0,00;0,00;92,02;0,03;0,00;0,00;
0,00;0,00;92,05;0,03;0,00;0,00;
0,00;0,00;92,08;0,03;0,00;0,00;
0,00;0,00;92,12;0,03;0,00;0,00;
0,00;0,00;92,15;0,03;0,00;0,00;
0,00;0,00;92,18;0,03;0,00;0,00;
0,00;0,00;92,21;0,03;0,00;0,00;
0,00;0,00;92,25;0,04;0,00;0,00;
0,00;0,00;92,28;0,03;0,00;0,00;
0,00;0,00;92,31;0,04;0,00;0,00;
0,00;0,00;92,34;0,04;0,00;0,00;
0,00;0,00;92,37;0,03;0,00;0,00;
0,00;0,00;92,41;0,04;0,00;0,00;
0,00;0,00;92,44;0,03;0,00;0,00;
0,00;0,00;92,47;0,04;0,00;0,00;
0,00;0,00;92,50;0,04;0,00;0,00;
0,00;0,00;92,54;0,03;0,00;0,00;
0,00;0,00;92,57;0,03;0,00;0,00;
0,00;0,00;92,60;0,03;0,00;0,00;
0,00;0,00;92,63;0,04;0,00;0,00;
0,00;0,00;92,66;0,04;0,00;0,00;
0,00;0,00;92,69;0,03;0,00;0,00;
0,00;0,00;92,73;0,03;0,00;0,00;
0,00;0,00;92,76;0,04;0,00;0,00;
0,00;0,00;92,79;0,03;0,00;0,00;
0,00;0,00;92,82;0,03;0,00;0,00;
0,00;0,00;92,86;0,04;0,00;0,00;
0,00;0,00;92,89;0,04;0,00;0,00;
0,00;0,00;92,92;0,04;0,00;0,00;
0,00;0,00;92,95;0,04;0,00;0,00;
0,00;0,00;92,98;0,04;0,00;0,00;
0,00;0,00;93,01;0,04;0,00;0,00;
0,00;0,00;93,05;0,04;0,00;0,00;
0,00;0,00;93,08;0,04;0,00;0,00;
0,00;0,00;93,11;0,04;0,00;0,00;
0,00;0,00;93,14;0,04;0,00;0,00;
0,00;0,00;93,18;0,04;0,00;0,00;
0,00;0,00;93,21;0,04;0,00;0,00;
0,00;0,00;93,24;0,06;0,00;0,00;
