23813;06.07.21 10:59:32;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);20210705081019P0037;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;138,86;0,03;0,00;0,00;
0,00;0,00;138,94;0,03;0,00;0,00;
0,00;0,00;139,02;0,03;0,00;0,00;
0,00;0,00;139,10;0,03;0,00;0,00;
0,00;0,00;139,19;0,03;0,00;0,00;
0,00;0,00;139,26;0,03;0,00;0,00;
0,00;0,00;139,34;0,03;0,00;0,00;
0,00;0,00;139,42;0,03;0,00;0,00;
0,00;0,00;139,50;0,03;0,00;0,00;
0,00;0,00;139,58;0,03;0,00;0,00;
0,00;0,00;139,66;0,03;0,00;0,00;
0,00;0,00;139,75;0,03;0,00;0,00;
0,00;0,00;139,83;0,03;0,00;0,00;
0,00;0,00;139,90;0,03;0,00;0,00;
0,00;0,00;139,98;0,03;0,00;0,00;
0,00;0,00;140,07;0,03;0,00;0,00;
0,00;0,00;140,15;0,03;0,00;0,00;
0,00;0,00;140,22;0,03;0,00;0,00;
0,00;0,00;140,30;0,03;0,00;0,00;
0,00;0,00;140,39;0,03;0,00;0,00;
0,00;0,00;140,47;0,03;0,00;0,00;
0,00;0,00;140,54;0,03;0,00;0,00;
0,00;0,00;140,62;0,02;0,00;0,00;
0,00;0,00;140,70;0,03;0,00;0,00;
0,00;0,00;140,79;0,03;0,00;0,00;
0,00;0,00;140,86;0,03;0,00;0,00;
0,00;0,00;140,94;0,03;0,00;0,00;
0,00;0,00;141,03;0,03;0,00;0,00;
0,00;0,00;141,11;0,03;0,00;0,00;
0,00;0,00;141,18;0,02;0,00;0,00;
0,00;0,00;141,26;0,03;0,00;0,00;
0,00;0,00;141,34;0,03;0,00;0,00;
0,00;0,00;141,43;0,03;0,00;0,00;
0,00;0,00;141,50;0,02;0,00;0,00;
0,00;0,00;141,58;0,03;0,00;0,00;
0,00;0,00;141,67;0,03;0,00;0,00;
0,00;0,00;141,75;0,03;0,00;0,00;
0,00;0,00;141,83;0,03;0,00;0,00;
0,00;0,00;141,90;0,03;0,00;0,00;
0,00;0,00;141,98;0,03;0,00;0,00;
0,00;0,00;142,06;0,02;0,00;0,00;
0,00;0,00;142,14;0,03;0,00;0,00;
0,00;0,00;142,23;0,02;0,00;0,00;
0,00;0,00;142,30;0,03;0,00;0,00;
0,00;0,00;142,38;0,03;0,00;0,00;
0,00;0,00;142,46;0,03;0,00;0,00;
0,00;0,00;142,54;0,03;0,00;0,00;
0,00;0,00;142,62;0,03;0,00;0,00;
0,00;0,00;142,70;0,03;0,00;0,00;
0,00;0,00;142,78;0,03;0,00;0,00;
0,00;0,00;142,87;0,03;0,00;0,00;
0,00;0,00;142,95;0,03;0,00;0,00;
0,00;0,00;143,02;0,02;0,00;0,00;
0,00;0,00;143,10;0,03;0,00;0,00;
0,00;0,00;143,18;0,03;0,00;0,00;
0,00;0,00;143,27;0,03;0,00;0,00;
0,00;0,00;143,34;0,03;0,00;0,00;
0,00;0,00;143,42;0,03;0,00;0,00;
0,00;0,00;143,51;0,03;0,00;0,00;
0,00;0,00;143,59;0,03;0,00;0,00;
0,00;0,00;143,66;0,03;0,00;0,00;
0,00;0,00;143,74;0,03;0,00;0,00;
0,00;0,00;143,82;0,03;0,00;0,00;
0,00;0,00;143,90;0,03;0,00;0,00;
0,00;0,00;143,98;0,03;0,00;0,00;
0,00;0,00;144,06;0,03;0,00;0,00;
0,00;0,00;144,15;0,03;0,00;0,00;
0,00;0,00;144,23;0,03;0,00;0,00;
0,00;0,00;144,30;0,03;0,00;0,00;
0,00;0,00;144,38;0,03;0,00;0,00;
0,00;0,00;144,46;0,03;0,00;0,00;
0,00;0,00;144,54;0,02;0,00;0,00;
0,00;0,00;144,62;0,03;0,00;0,00;
0,00;0,00;144,70;0,03;0,00;0,00;
0,00;0,00;144,79;0,03;0,00;0,00;
0,00;0,00;144,87;0,03;0,00;0,00;
0,00;0,00;144,94;0,03;0,00;0,00;
0,00;0,00;145,02;0,03;0,00;0,00;
0,00;0,00;145,10;0,03;0,00;0,00;
0,00;0,00;145,19;0,03;0,00;0,00;
0,00;0,00;145,26;0,03;0,00;0,00;
0,00;0,00;145,34;0,03;0,00;0,00;
0,00;0,00;145,42;0,03;0,00;0,00;
0,00;0,00;145,50;0,03;0,00;0,00;
0,00;0,00;145,58;0,02;0,00;0,00;
0,00;0,00;145,66;0,03;0,00;0,00;
0,00;0,00;145,74;0,03;0,00;0,00;
0,00;0,00;145,82;0,03;0,00;0,00;
0,00;0,00;145,90;0,03;0,00;0,00;
0,00;0,00;145,99;0,02;0,00;0,00;
0,00;0,00;146,06;0,03;0,00;0,00;
0,00;0,00;146,14;0,03;0,00;0,00;
0,00;0,00;146,22;0,03;0,00;0,00;
0,00;0,00;146,31;0,03;0,00;0,00;
0,00;0,00;146,38;0,03;0,00;0,00;
0,00;0,00;146,46;0,03;0,00;0,00;
0,00;0,00;146,54;0,03;0,00;0,00;
0,00;0,00;146,62;0,03;0,00;0,00;
0,00;0,00;146,71;0,03;0,00;0,00;
0,00;0,00;146,78;0,03;0,00;0,00;
0,00;0,00;146,86;0,03;0,00;0,00;
0,00;0,00;146,94;0,03;0,00;0,00;
0,00;0,00;147,02;0,03;0,00;0,00;
0,00;0,00;147,10;0,03;0,00;0,00;
0,00;0,00;147,18;0,03;0,00;0,00;
0,00;0,00;147,26;0,03;0,00;0,00;
0,00;0,00;147,35;0,03;0,00;0,00;
0,00;0,00;147,42;0,03;0,00;0,00;
0,00;0,00;147,50;0,03;0,00;0,00;
0,00;0,00;147,59;0,03;0,00;0,00;
0,00;0,00;147,66;0,03;0,00;0,00;
0,00;0,00;147,74;0,03;0,00;0,00;
0,00;0,00;147,82;0,03;0,00;0,00;
0,00;0,00;147,91;0,03;0,00;0,00;
0,00;0,00;147,99;0,03;0,00;0,00;
0,00;0,00;148,06;0,03;0,00;0,00;
0,00;0,00;148,14;0,03;0,00;0,00;
0,00;0,00;148,22;0,03;0,00;0,00;
0,00;0,00;148,30;0,03;0,00;0,00;
0,00;0,00;148,39;0,03;0,00;0,00;
0,00;0,00;148,46;0,03;0,00;0,00;
0,00;0,00;148,54;0,03;0,00;0,00;
