1957;12.05.20 14:07:27;22;Avvicinamento pre-pressata pressata Fuori Ingombro;position > max position (10);20200508123936P0043;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;148,83;0,09;0,00;0,00;
0,00;0,00;148,99;0,09;0,00;0,00;
0,00;0,00;149,15;0,09;0,00;0,00;
0,00;0,00;149,31;0,09;0,00;0,00;
0,00;0,00;149,47;0,09;0,00;0,00;
0,00;0,00;149,63;0,09;0,00;0,00;
0,00;0,00;149,79;0,09;0,00;0,00;
0,00;0,00;149,95;0,09;0,00;0,00;
0,00;0,00;150,11;0,09;0,00;0,00;
0,00;0,00;150,27;0,09;0,00;0,00;
0,00;0,00;150,43;0,07;0,00;0,00;
0,00;0,00;150,59;0,09;0,00;0,00;
0,00;0,00;150,75;0,09;0,00;0,00;
0,00;0,00;150,91;0,09;0,00;0,00;
0,00;0,00;151,07;0,09;0,00;0,00;
0,00;0,00;151,23;0,07;0,00;0,00;
0,00;0,00;151,39;0,09;0,00;0,00;
0,00;0,00;151,55;0,09;0,00;0,00;
0,00;0,00;151,71;0,09;0,00;0,00;
0,00;0,00;151,87;0,09;0,00;0,00;
0,00;0,00;152,03;0,09;0,00;0,00;
0,00;0,00;152,19;0,27;0,00;0,00;
0,00;0,00;152,35;0,25;0,00;0,00;
0,00;0,00;152,51;0,45;0,00;0,00;
0,00;0,00;152,67;0,77;0,00;0,00;
0,00;0,00;152,83;0,95;0,00;0,00;
0,00;0,00;152,99;1,09;0,00;0,00;
0,00;0,00;153,15;1,20;0,00;0,00;
0,00;0,00;153,31;1,33;0,00;0,00;
0,00;0,00;153,47;1,37;0,00;0,00;
0,00;0,00;153,63;1,44;0,00;0,00;
0,00;0,00;153,79;1,49;0,00;0,00;
0,00;0,00;153,95;1,54;0,00;0,00;
0,00;0,00;154,11;1,63;0,00;0,00;
0,00;0,00;154,27;1,63;0,00;0,00;
0,00;0,00;154,43;1,67;0,00;0,00;
0,00;0,00;154,59;1,78;0,00;0,00;
0,00;0,00;154,75;1,88;0,00;0,00;
0,00;0,00;154,91;1,96;0,00;0,00;
0,00;0,00;155,07;2,06;0,00;0,00;
0,00;0,00;155,11;1,76;0,00;0,00;
0,00;0,00;155,11;1,60;0,00;0,00;
0,00;0,00;154,84;0,16;0,00;0,00;
0,00;0,00;154,07;-0,11;0,00;0,00;
0,00;0,00;152,80;-0,21;0,00;0,00;
0,00;0,00;151,23;0,02;0,00;0,00;
0,00;0,00;150,14;-0,05;0,00;0,00;
0,00;0,00;149,42;-0,07;0,00;0,00;
0,00;0,00;149,16;-0,05;0,00;0,00;
0,00;0,00;149,09;0,02;0,00;0,00;
0,00;0,00;149,08;-0,05;0,00;0,00;
0,00;0,00;149,14;0,06;0,00;0,00;
0,00;0,00;149,28;0,05;0,00;0,00;
0,00;0,00;149,44;0,05;0,00;0,00;
0,00;0,00;149,61;0,07;0,00;0,00;
0,00;0,00;149,78;0,09;0,00;0,00;
0,00;0,00;149,94;0,09;0,00;0,00;
0,00;0,00;150,10;0,09;0,00;0,00;
0,00;0,00;150,26;0,09;0,00;0,00;
0,00;0,00;150,42;0,07;0,00;0,00;
0,00;0,00;150,59;0,09;0,00;0,00;
0,00;0,00;150,75;0,09;0,00;0,00;
0,00;0,00;150,91;0,07;0,00;0,00;
0,00;0,00;151,07;0,07;0,00;0,00;
0,00;0,00;151,23;0,09;0,00;0,00;
0,00;0,00;151,39;0,09;0,00;0,00;
0,00;0,00;151,55;0,09;0,00;0,00;
0,00;0,00;151,71;0,09;0,00;0,00;
0,00;0,00;151,87;0,09;0,00;0,00;
0,00;0,00;152,03;0,09;0,00;0,00;
0,00;0,00;152,19;0,09;0,00;0,00;
0,00;0,00;152,35;0,09;0,00;0,00;
0,00;0,00;152,51;0,09;0,00;0,00;
0,00;0,00;152,67;0,09;0,00;0,00;
0,00;0,00;152,83;0,05;0,00;0,00;
0,00;0,00;152,99;0,09;0,00;0,00;
0,00;0,00;153,15;0,09;0,00;0,00;
0,00;0,00;153,31;0,09;0,00;0,00;
0,00;0,00;153,47;0,09;0,00;0,00;
0,00;0,00;153,63;0,09;0,00;0,00;
0,00;0,00;153,79;0,09;0,00;0,00;
0,00;0,00;153,95;0,09;0,00;0,00;
0,00;0,00;154,11;0,09;0,00;0,00;
0,00;0,00;154,27;0,09;0,00;0,00;
0,00;0,00;154,43;0,09;0,00;0,00;
0,00;0,00;154,59;0,09;0,00;0,00;
0,00;0,00;154,75;0,07;0,00;0,00;
0,00;0,00;154,91;0,27;0,00;0,00;
0,00;0,00;155,07;0,47;0,00;0,00;
0,00;0,00;155,22;2,19;0,00;0,00;
0,00;0,00;155,37;2,26;0,00;0,00;
0,00;0,00;155,54;2,30;0,00;0,00;
0,00;0,00;155,70;2,35;0,00;0,00;
0,00;0,00;155,86;2,44;0,00;0,00;
0,00;0,00;156,02;2,55;0,00;0,00;
0,00;0,00;156,19;2,62;0,00;0,00;
0,00;0,00;156,35;2,71;0,00;0,00;
