18965;13.05.21 15:51:50;21;Avvicinamento Pressata Finale;position > max position (10);20210513143242P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;29,10;-0,09;0,00;0,00;
0,00;0,00;30,22;0,09;0,00;0,00;
0,00;0,00;33,30;0,12;0,00;0,00;
0,00;0,00;37,92;0,04;0,00;0,00;
0,00;0,00;47,52;0,04;0,00;0,00;
0,00;0,00;52,32;-0,04;0,00;0,00;
0,00;0,00;57,12;0,04;0,00;0,00;
0,00;0,00;66,72;0,04;0,00;0,00;
0,00;0,00;81,12;0,04;0,00;0,00;
0,00;0,00;85,92;-0,04;0,00;0,00;
0,00;0,00;105,12;-0,04;0,00;0,00;
0,00;0,00;119,52;-0,04;0,00;0,00;
0,00;0,00;129,12;-0,04;0,00;0,00;
0,00;0,00;133,92;-0,04;0,00;0,00;
0,00;0,00;138,72;-0,09;0,00;0,00;
0,00;0,00;167,52;-0,04;0,00;0,00;
0,00;0,00;177,12;-0,04;0,00;0,00;
0,00;0,00;186,72;-0,04;0,00;0,00;
0,00;0,00;196,32;-0,04;0,00;0,00;
0,00;0,00;205,92;-0,04;0,00;0,00;
0,00;0,00;210,72;-0,04;0,00;0,00;
0,00;0,00;220,32;-0,04;0,00;0,00;
0,00;0,00;225,12;0,04;0,00;0,00;
0,00;0,00;229,92;0,04;0,00;0,00;
0,00;0,00;244,32;-0,04;0,00;0,00;
0,00;0,00;253,92;-0,04;0,00;0,00;
0,00;0,00;263,52;0,04;0,00;0,00;
0,00;0,00;273,12;-0,04;0,00;0,00;
0,00;0,00;277,92;-0,04;0,00;0,00;
0,00;0,00;282,72;0,04;0,00;0,00;
0,00;0,00;292,32;-0,04;0,00;0,00;
0,00;0,00;301,92;0,04;0,00;0,00;
0,00;0,00;309,15;-0,04;0,00;0,00;
0,00;0,00;309,94;0,04;0,00;0,00;
0,00;0,00;310,00;0,04;0,00;0,00;
0,00;0,00;310,21;0,04;0,00;0,00;
0,00;0,00;310,51;0,04;0,00;0,00;
0,00;0,00;310,84;0,09;0,00;0,00;
0,00;0,00;311,16;0,04;0,00;0,00;
0,00;0,00;311,48;0,09;0,00;0,00;
0,00;0,00;311,80;0,09;0,00;0,00;
0,00;0,00;312,12;0,04;0,00;0,00;
0,00;0,00;312,44;0,09;0,00;0,00;
0,00;0,00;312,76;0,09;0,00;0,00;
0,00;0,00;313,08;0,09;0,00;0,00;
0,00;0,00;313,40;0,04;0,00;0,00;
0,00;0,00;313,72;0,04;0,00;0,00;
0,00;0,00;314,04;0,09;0,00;0,00;
0,00;0,00;314,36;0,09;0,00;0,00;
0,00;0,00;314,68;0,09;0,00;0,00;
0,00;0,00;315,00;0,12;0,00;0,00;
0,00;0,00;315,32;0,17;0,00;0,00;
0,00;0,00;315,64;0,09;0,00;0,00;
0,00;0,00;315,96;0,09;0,00;0,00;
0,00;0,00;316,28;0,09;0,00;0,00;
0,00;0,00;316,60;0,09;0,00;0,00;
0,00;0,00;316,92;0,35;0,00;0,00;
0,00;0,00;317,23;1,31;0,00;0,00;
0,00;0,00;317,56;1,31;0,00;0,00;
0,00;0,00;317,88;1,39;0,00;0,00;
0,00;0,00;318,20;1,48;0,00;0,00;
0,00;0,00;318,52;1,48;0,00;0,00;
0,00;0,00;318,84;1,65;0,00;0,00;
0,00;0,00;319,16;1,69;0,00;0,00;
0,00;0,00;319,48;1,78;0,00;0,00;
0,00;0,00;319,80;1,91;0,00;0,00;
0,00;0,00;320,12;2,00;0,00;0,00;
0,00;0,00;320,44;2,17;0,00;0,00;
0,00;0,00;320,76;2,17;0,00;0,00;
0,00;0,00;321,08;2,35;0,00;0,00;
0,00;0,00;321,40;2,35;0,00;0,00;
0,00;0,00;321,72;2,44;0,00;0,00;
0,00;0,00;322,04;2,56;0,00;0,00;
0,00;0,00;322,36;2,65;0,00;0,00;
0,00;0,00;322,68;2,74;0,00;0,00;
0,00;0,00;323,00;2,70;0,00;0,00;
0,00;0,00;323,32;3,09;0,00;0,00;
0,00;0,00;323,64;3,34;0,00;0,00;
0,00;0,00;323,96;3,39;0,00;0,00;
0,00;0,00;324,28;3,43;0,00;0,00;
0,00;0,00;324,60;3,65;0,00;0,00;
0,00;0,00;324,92;3,78;0,00;0,00;
0,00;0,00;325,24;3,87;0,00;0,00;
0,00;0,00;325,55;3,91;0,00;0,00;
0,00;0,00;325,88;4,13;0,00;0,00;
0,00;0,00;326,20;4,22;0,00;0,00;
0,00;0,00;326,52;4,22;0,00;0,00;
0,00;0,00;326,84;4,17;0,00;0,00;
0,00;0,00;327,16;4,39;0,00;0,00;
0,00;0,00;327,48;4,44;0,00;0,00;
0,00;0,00;327,80;4,44;0,00;0,00;
0,00;0,00;328,12;4,56;0,00;0,00;
0,00;0,00;328,44;4,70;0,00;0,00;
0,00;0,00;328,76;4,91;0,00;0,00;
0,00;0,00;329,08;4,82;0,00;0,00;
0,00;0,00;329,40;5,12;0,00;0,00;
0,00;0,00;329,71;5,26;0,00;0,00;
