Nr;Date;ProgNr;ProgName;State;PartInfo;
79647;20.09.21 15:05:57;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210920104527A0217;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;179,32;14,58;0,00;0,00;
0,00;0,00;179,32;14,74;0,00;0,00;
0,00;0,00;179,33;14,92;0,00;0,00;
0,00;0,00;179,33;15,06;0,00;0,00;
0,00;0,00;179,33;15,15;0,00;0,00;
0,00;0,00;179,34;15,19;0,00;0,00;
0,00;0,00;179,34;15,28;0,00;0,00;
0,00;0,00;179,34;15,37;0,00;0,00;
0,00;0,00;179,34;15,46;0,00;0,00;
0,00;0,00;179,34;15,51;0,00;0,00;
0,00;0,00;179,12;7,64;0,00;0,00;
0,00;0,00;178,44;-0,21;0,00;0,00;
0,00;0,00;177,15;-0,14;0,00;0,00;
0,00;0,00;175,32;-0,14;0,00;0,00;
0,00;0,00;172,99;-0,16;0,00;0,00;
0,00;0,00;170,16;-0,18;0,00;0,00;
0,00;0,00;166,99;-0,12;0,00;0,00;
0,00;0,00;163,86;-0,12;0,00;0,00;
0,00;0,00;160,64;-0,12;0,00;0,00;
0,00;0,00;157,44;-0,12;0,00;0,00;
0,00;0,00;154,24;-0,12;0,00;0,00;
0,00;0,00;151,04;-0,09;0,00;0,00;
0,00;0,00;147,84;-0,09;0,00;0,00;
0,00;0,00;144,64;-0,09;0,00;0,00;
0,00;0,00;141,44;-0,09;0,00;0,00;
0,00;0,00;138,24;-0,09;0,00;0,00;
0,00;0,00;135,04;-0,09;0,00;0,00;
0,00;0,00;131,84;-0,14;0,00;0,00;
0,00;0,00;128,64;-0,07;0,00;0,00;
0,00;0,00;125,44;-0,16;0,00;0,00;
0,00;0,00;122,24;-0,12;0,00;0,00;
0,00;0,00;119,04;-0,12;0,00;0,00;
0,00;0,00;115,84;-0,14;0,00;0,00;
0,00;0,00;112,64;-0,12;0,00;0,00;
0,00;0,00;109,44;-0,16;0,00;0,00;
0,00;0,00;106,24;-0,12;0,00;0,00;
0,00;0,00;103,04;-0,09;0,00;0,00;
0,00;0,00;99,84;-0,14;0,00;0,00;
0,00;0,00;96,64;-0,09;0,00;0,00;
0,00;0,00;93,44;-0,14;0,00;0,00;
0,00;0,00;90,24;-0,14;0,00;0,00;
0,00;0,00;87,04;-0,12;0,00;0,00;
0,00;0,00;83,84;-0,16;0,00;0,00;
0,00;0,00;80,64;-0,09;0,00;0,00;
0,00;0,00;77,44;-0,12;0,00;0,00;
0,00;0,00;74,24;-0,14;0,00;0,00;
0,00;0,00;71,04;-0,12;0,00;0,00;
0,00;0,00;67,84;-0,07;0,00;0,00;
0,00;0,00;64,64;-0,09;0,00;0,00;
0,00;0,00;61,44;-0,18;0,00;0,00;
0,00;0,00;58,24;-0,12;0,00;0,00;
0,00;0,00;55,03;-0,09;0,00;0,00;
0,00;0,00;52,01;-0,02;0,00;0,00;
0,00;0,00;49,48;-0,07;0,00;0,00;
0,00;0,00;47,39;-0,05;0,00;0,00;
0,00;0,00;45,79;-0,05;0,00;0,00;
0,00;0,00;44,69;-0,02;0,00;0,00;
0,00;0,00;43,95;-0,05;0,00;0,00;
