7851;13.02.20 09:36:19;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;21,55;0,04;0,00;0,00;
0,00;0,00;22,09;0,05;0,00;0,00;
0,00;0,00;23,12;0,06;0,00;0,00;
0,00;0,00;24,68;0,07;0,00;0,00;
0,00;0,00;26,74;0,06;0,00;0,00;
0,00;0,00;29,32;0,05;0,00;0,00;
0,00;0,00;32,40;0,05;0,00;0,00;
0,00;0,00;35,88;0,04;0,00;0,00;
0,00;0,00;39,39;0,05;0,00;0,00;
0,00;0,00;42,91;0,03;0,00;0,00;
0,00;0,00;46,43;0,02;0,00;0,00;
0,00;0,00;49,95;0,03;0,00;0,00;
0,00;0,00;53,47;0,06;0,00;0,00;
0,00;0,00;56,99;0,04;0,00;0,00;
0,00;0,00;60,51;0,05;0,00;0,00;
0,00;0,00;64,03;0,04;0,00;0,00;
0,00;0,00;67,55;0,04;0,00;0,00;
0,00;0,00;71,07;0,05;0,00;0,00;
0,00;0,00;74,59;0,06;0,00;0,00;
0,00;0,00;78,11;0,03;0,00;0,00;
0,00;0,00;81,63;0,04;0,00;0,00;
0,00;0,00;85,15;0,04;0,00;0,00;
0,00;0,00;88,63;0,03;0,00;0,00;
0,00;0,00;91,68;0,02;0,00;0,00;
0,00;0,00;94,27;0,01;0,00;0,00;
0,00;0,00;97,95;0,01;0,00;0,00;
0,00;0,00;99,05;-0,02;0,00;0,00;
0,00;0,00;99,66;0,01;0,00;0,00;
0,00;0,00;99,81;0,01;0,00;0,00;
0,00;0,00;99,81;0,01;0,00;0,00;
0,00;0,00;99,92;0,03;0,00;0,00;
0,00;0,00;100,07;0,02;0,00;0,00;
0,00;0,00;100,21;0,03;0,00;0,00;
0,00;0,00;100,36;0,02;0,00;0,00;
0,00;0,00;100,50;0,17;0,00;0,00;
0,00;0,00;100,63;1,20;0,00;0,00;
0,00;0,00;100,76;3,07;0,00;0,00;
0,00;0,00;100,93;2,12;0,00;0,00;
0,00;0,00;101,08;1,96;0,00;0,00;
0,00;0,00;101,22;2,01;0,00;0,00;
0,00;0,00;101,36;2,09;0,00;0,00;
0,00;0,00;101,51;2,10;0,00;0,00;
0,00;0,00;101,65;2,01;0,00;0,00;
0,00;0,00;101,80;2,00;0,00;0,00;
0,00;0,00;101,81;1,93;0,00;0,00;
0,00;0,00;101,80;1,76;0,00;0,00;
0,00;0,00;101,42;-0,01;0,00;0,00;
0,00;0,00;99,21;0,04;0,00;0,00;
0,00;0,00;98,31;0,01;0,00;0,00;
0,00;0,00;97,85;0,01;0,00;0,00;
0,00;0,00;97,79;0,01;0,00;0,00;
0,00;0,00;97,79;0,01;0,00;0,00;
0,00;0,00;97,87;0,01;0,00;0,00;
0,00;0,00;98,02;0,03;0,00;0,00;
0,00;0,00;98,17;0,03;0,00;0,00;
0,00;0,00;98,32;0,03;0,00;0,00;
0,00;0,00;98,46;0,02;0,00;0,00;
