2499;17.12.19 14:07:39;21;Avvicinamento Pressata Finale;Alcun errore (0);20191216144746;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;244,04;0,13;0,00;0,00;
0,00;0,00;244,20;0,09;0,00;0,00;
0,00;0,00;244,36;0,09;0,00;0,00;
0,00;0,00;244,52;0,13;0,00;0,00;
0,00;0,00;244,68;0,09;0,00;0,00;
0,00;0,00;244,84;0,09;0,00;0,00;
0,00;0,00;245,00;0,13;0,00;0,00;
0,00;0,00;245,16;0,13;0,00;0,00;
0,00;0,00;245,32;0,13;0,00;0,00;
0,00;0,00;245,48;0,13;0,00;0,00;
0,00;0,00;245,64;0,13;0,00;0,00;
0,00;0,00;245,80;0,13;0,00;0,00;
0,00;0,00;245,96;0,09;0,00;0,00;
0,00;0,00;246,12;0,04;0,00;0,00;
0,00;0,00;246,28;0,13;0,00;0,00;
0,00;0,00;246,44;0,13;0,00;0,00;
0,00;0,00;246,60;0,13;0,00;0,00;
0,00;0,00;246,76;0,09;0,00;0,00;
0,00;0,00;246,92;0,13;0,00;0,00;
0,00;0,00;247,08;0,13;0,00;0,00;
0,00;0,00;247,24;0,13;0,00;0,00;
0,00;0,00;247,40;0,09;0,00;0,00;
0,00;0,00;247,56;0,13;0,00;0,00;
0,00;0,00;247,72;0,13;0,00;0,00;
0,00;0,00;247,88;0,09;0,00;0,00;
0,00;0,00;248,04;0,13;0,00;0,00;
0,00;0,00;248,20;0,09;0,00;0,00;
0,00;0,00;248,36;0,13;0,00;0,00;
0,00;0,00;248,52;0,13;0,00;0,00;
0,00;0,00;248,68;0,13;0,00;0,00;
0,00;0,00;248,84;0,13;0,00;0,00;
0,00;0,00;249,00;0,13;0,00;0,00;
0,00;0,00;249,16;0,13;0,00;0,00;
0,00;0,00;249,32;0,13;0,00;0,00;
0,00;0,00;249,48;0,13;0,00;0,00;
0,00;0,00;249,64;0,13;0,00;0,00;
0,00;0,00;249,80;0,09;0,00;0,00;
0,00;0,00;249,96;0,13;0,00;0,00;
0,00;0,00;250,12;0,13;0,00;0,00;
0,00;0,00;250,28;0,13;0,00;0,00;
0,00;0,00;250,44;0,13;0,00;0,00;
0,00;0,00;250,60;0,13;0,00;0,00;
0,00;0,00;250,76;0,13;0,00;0,00;
0,00;0,00;250,92;0,13;0,00;0,00;
0,00;0,00;251,08;0,13;0,00;0,00;
0,00;0,00;251,24;0,21;0,00;0,00;
0,00;0,00;251,40;0,30;0,00;0,00;
0,00;0,00;251,56;0,30;0,00;0,00;
0,00;0,00;251,72;0,30;0,00;0,00;
0,00;0,00;251,88;0,30;0,00;0,00;
0,00;0,00;252,04;0,35;0,00;0,00;
0,00;0,00;252,20;0,30;0,00;0,00;
0,00;0,00;252,36;0,30;0,00;0,00;
0,00;0,00;252,52;0,30;0,00;0,00;
0,00;0,00;252,68;0,30;0,00;0,00;
0,00;0,00;252,84;0,17;0,00;0,00;
0,00;0,00;253,00;0,26;0,00;0,00;
0,00;0,00;253,16;0,21;0,00;0,00;
0,00;0,00;253,32;0,30;0,00;0,00;
0,00;0,00;253,48;0,30;0,00;0,00;
0,00;0,00;253,64;0,30;0,00;0,00;
0,00;0,00;253,79;2,17;0,00;0,00;
0,00;0,00;253,94;3,78;0,00;0,00;
0,00;0,00;254,11;2,52;0,00;0,00;
0,00;0,00;254,28;2,26;0,00;0,00;
0,00;0,00;254,44;2,30;0,00;0,00;
0,00;0,00;254,60;2,13;0,00;0,00;
0,00;0,00;254,76;2,30;0,00;0,00;
0,00;0,00;254,92;2,48;0,00;0,00;
0,00;0,00;255,08;2,44;0,00;0,00;
0,00;0,00;255,24;2,26;0,00;0,00;
0,00;0,00;255,40;2,30;0,00;0,00;
0,00;0,00;255,56;2,56;0,00;0,00;
0,00;0,00;255,72;2,61;0,00;0,00;
0,00;0,00;255,88;2,53;0,00;0,00;
0,00;0,00;256,04;2,39;0,00;0,00;
0,00;0,00;256,20;2,61;0,00;0,00;
0,00;0,00;256,36;2,87;0,00;0,00;
0,00;0,00;256,52;2,74;0,00;0,00;
0,00;0,00;256,68;2,48;0,00;0,00;
0,00;0,00;256,84;2,61;0,00;0,00;
0,00;0,00;257,00;3,00;0,00;0,00;
0,00;0,00;257,16;3,00;0,00;0,00;
0,00;0,00;257,32;2,78;0,00;0,00;
0,00;0,00;257,48;2,61;0,00;0,00;
0,00;0,00;257,64;3,13;0,00;0,00;
0,00;0,00;257,80;3,30;0,00;0,00;
0,00;0,00;257,96;3,09;0,00;0,00;
0,00;0,00;258,11;2,95;0,00;0,00;
0,00;0,00;258,28;3,09;0,00;0,00;
0,00;0,00;258,44;3,43;0,00;0,00;
0,00;0,00;258,60;3,30;0,00;0,00;
0,00;0,00;258,76;3,09;0,00;0,00;
0,00;0,00;258,92;3,04;0,00;0,00;
0,00;0,00;259,08;3,48;0,00;0,00;
0,00;0,00;259,24;3,43;0,00;0,00;
0,00;0,00;259,40;3,22;0,00;0,00;
0,00;0,00;259,56;3,18;0,00;0,00;
0,00;0,00;259,72;3,43;0,00;0,00;
0,00;0,00;259,88;3,78;0,00;0,00;
0,00;0,00;260,04;3,61;0,00;0,00;
0,00;0,00;260,20;3,48;0,00;0,00;
0,00;0,00;260,36;3,43;0,00;0,00;
0,00;0,00;260,52;3,87;0,00;0,00;
0,00;0,00;260,68;3,78;0,00;0,00;
0,00;0,00;260,84;3,65;0,00;0,00;
0,00;0,00;261,00;3,52;0,00;0,00;
0,00;0,00;261,16;3,70;0,00;0,00;
0,00;0,00;261,32;4,00;0,00;0,00;
0,00;0,00;261,48;3,87;0,00;0,00;
0,00;0,00;261,64;3,70;0,00;0,00;
0,00;0,00;261,80;3,78;0,00;0,00;
0,00;0,00;261,96;4,00;0,00;0,00;
0,00;0,00;262,12;4,00;0,00;0,00;
0,00;0,00;262,28;3,82;0,00;0,00;
0,00;0,00;262,44;3,87;0,00;0,00;
0,00;0,00;262,60;4,09;0,00;0,00;
0,00;0,00;262,76;4,13;0,00;0,00;
0,00;0,00;262,92;4,17;0,00;0,00;
0,00;0,00;263,08;3,91;0,00;0,00;
0,00;0,00;263,24;4,05;0,00;0,00;
0,00;0,00;263,40;4,30;0,00;0,00;
0,00;0,00;263,56;4,26;0,00;0,00;
0,00;0,00;263,72;4,13;0,00;0,00;
0,00;0,00;263,88;4,08;0,00;0,00;
