23099;18.06.21 09:04:32;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);20210617123323P0037;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;0,01;0,00;0,00;
0,00;0,00;0,26;0,07;0,00;0,00;
0,00;0,00;1,05;0,04;0,00;0,00;
0,00;0,00;2,34;0,05;0,00;0,00;
0,00;0,00;4,15;0,05;0,00;0,00;
0,00;0,00;6,47;0,05;0,00;0,00;
0,00;0,00;9,30;0,05;0,00;0,00;
0,00;0,00;12,64;0,07;0,00;0,00;
0,00;0,00;16,12;0,04;0,00;0,00;
0,00;0,00;19,65;0,04;0,00;0,00;
0,00;0,00;23,17;0,04;0,00;0,00;
0,00;0,00;26,69;0,05;0,00;0,00;
0,00;0,00;30,21;0,04;0,00;0,00;
0,00;0,00;33,72;0,04;0,00;0,00;
0,00;0,00;37,25;0,04;0,00;0,00;
0,00;0,00;40,77;0,03;0,00;0,00;
0,00;0,00;44,29;0,04;0,00;0,00;
0,00;0,00;47,81;0,04;0,00;0,00;
0,00;0,00;51,33;0,03;0,00;0,00;
0,00;0,00;54,84;0,01;0,00;0,00;
0,00;0,00;58,37;0,04;0,00;0,00;
0,00;0,00;61,89;0,04;0,00;0,00;
0,00;0,00;65,41;0,04;0,00;0,00;
0,00;0,00;68,93;0,04;0,00;0,00;
0,00;0,00;72,45;0,02;0,00;0,00;
0,00;0,00;75,96;0,03;0,00;0,00;
0,00;0,00;79,49;0,03;0,00;0,00;
0,00;0,00;83,01;0,03;0,00;0,00;
0,00;0,00;86,53;0,02;0,00;0,00;
0,00;0,00;90,05;0,03;0,00;0,00;
0,00;0,00;93,57;0,04;0,00;0,00;
0,00;0,00;97,08;0,05;0,00;0,00;
0,00;0,00;100,61;0,05;0,00;0,00;
0,00;0,00;104,13;0,04;0,00;0,00;
0,00;0,00;107,53;0,01;0,00;0,00;
0,00;0,00;110,45;0,02;0,00;0,00;
0,00;0,00;112,88;0,02;0,00;0,00;
0,00;0,00;114,79;0,01;0,00;0,00;
0,00;0,00;116,20;0,02;0,00;0,00;
0,00;0,00;117,47;0,01;0,00;0,00;
0,00;0,00;117,51;0,01;0,00;0,00;
0,00;0,00;117,51;0,01;0,00;0,00;
0,00;0,00;117,54;0,01;0,00;0,00;
0,00;0,00;117,62;0,02;0,00;0,00;
0,00;0,00;117,70;0,02;0,00;0,00;
0,00;0,00;117,78;0,02;0,00;0,00;
0,00;0,00;117,86;0,02;0,00;0,00;
0,00;0,00;117,94;0,02;0,00;0,00;
0,00;0,00;118,02;0,02;0,00;0,00;
0,00;0,00;118,10;0,02;0,00;0,00;
0,00;0,00;118,18;0,02;0,00;0,00;
0,00;0,00;118,26;0,02;0,00;0,00;
0,00;0,00;118,34;0,02;0,00;0,00;
0,00;0,00;118,42;0,02;0,00;0,00;
0,00;0,00;118,51;0,02;0,00;0,00;
0,00;0,00;118,58;0,02;0,00;0,00;
0,00;0,00;118,66;0,02;0,00;0,00;
0,00;0,00;118,74;0,02;0,00;0,00;
0,00;0,00;118,82;0,02;0,00;0,00;
0,00;0,00;118,90;0,02;0,00;0,00;
0,00;0,00;118,98;0,02;0,00;0,00;
0,00;0,00;119,06;0,03;0,00;0,00;
0,00;0,00;119,15;0,02;0,00;0,00;
0,00;0,00;119,23;0,02;0,00;0,00;
0,00;0,00;119,30;0,02;0,00;0,00;
0,00;0,00;119,38;0,02;0,00;0,00;
0,00;0,00;119,46;0,02;0,00;0,00;
0,00;0,00;119,55;0,02;0,00;0,00;
0,00;0,00;119,62;0,02;0,00;0,00;
0,00;0,00;119,70;0,02;0,00;0,00;
0,00;0,00;119,78;0,02;0,00;0,00;
