4815;20.11.20 17:37:54;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20201120161609A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,90;-0,05;0,00;0,00;
0,00;0,00;39,96;0,11;0,00;0,00;
0,00;0,00;41,52;0,09;0,00;0,00;
0,00;0,00;43,05;0,16;0,00;0,00;
0,00;0,00;45,10;0,07;0,00;0,00;
0,00;0,00;47,66;0,09;0,00;0,00;
0,00;0,00;50,71;0,07;0,00;0,00;
0,00;0,00;53,84;0,05;0,00;0,00;
0,00;0,00;57,02;0,13;0,00;0,00;
0,00;0,00;60,25;0,06;0,00;0,00;
0,00;0,00;63,44;0,02;0,00;0,00;
0,00;0,00;66,65;0,09;0,00;0,00;
0,00;0,00;69,85;0,02;0,00;0,00;
0,00;0,00;73,05;0,07;0,00;0,00;
0,00;0,00;76,25;0,06;0,00;0,00;
0,00;0,00;82,65;0,07;0,00;0,00;
0,00;0,00;89,05;0,11;0,00;0,00;
0,00;0,00;92,25;0,02;0,00;0,00;
0,00;0,00;98,65;0,05;0,00;0,00;
0,00;0,00;101,85;0,02;0,00;0,00;
0,00;0,00;105,05;0,07;0,00;0,00;
0,00;0,00;108,25;0,07;0,00;0,00;
0,00;0,00;114,65;0,06;0,00;0,00;
0,00;0,00;121,05;0,11;0,00;0,00;
0,00;0,00;124,25;0,06;0,00;0,00;
0,00;0,00;127,45;0,02;0,00;0,00;
0,00;0,00;130,65;0,05;0,00;0,00;
0,00;0,00;133,85;0,05;0,00;0,00;
0,00;0,00;137,05;0,07;0,00;0,00;
0,00;0,00;140,25;0,06;0,00;0,00;
0,00;0,00;146,65;0,05;0,00;0,00;
0,00;0,00;149,82;-0,05;0,00;0,00;
0,00;0,00;152,50;0,02;0,00;0,00;
0,00;0,00;154,76;-0,02;0,00;0,00;
0,00;0,00;156,53;-0,07;0,00;0,00;
0,00;0,00;157,81;-0,09;0,00;0,00;
0,00;0,00;158,57;-0,07;0,00;0,00;
0,00;0,00;158,84;-0,06;0,00;0,00;
0,00;0,00;158,91;-0,05;0,00;0,00;
0,00;0,00;158,93;-0,07;0,00;0,00;
0,00;0,00;159,05;-0,05;0,00;0,00;
0,00;0,00;159,35;0,16;0,00;0,00;
0,00;0,00;159,51;0,18;0,00;0,00;
0,00;0,00;159,66;2,08;0,00;0,00;
0,00;0,00;159,80;4,74;0,00;0,00;
0,00;0,00;159,94;7,16;0,00;0,00;
0,00;0,00;160,09;9,11;0,00;0,00;
0,00;0,00;160,11;9,01;0,00;0,00;
0,00;0,00;160,12;9,08;0,00;0,00;
0,00;0,00;160,13;9,13;0,00;0,00;
0,00;0,00;160,14;9,08;0,00;0,00;
0,00;0,00;160,14;9,06;0,00;0,00;
0,00;0,00;160,15;9,06;0,00;0,00;
0,00;0,00;160,15;9,06;0,00;0,00;
0,00;0,00;160,15;9,08;0,00;0,00;
0,00;0,00;160,15;9,06;0,00;0,00;
0,00;0,00;160,16;9,06;0,00;0,00;
0,00;0,00;160,16;9,06;0,00;0,00;
0,00;0,00;160,16;9,06;0,00;0,00;
0,00;0,00;160,16;9,01;0,00;0,00;
