10727;03.02.21 16:35:36;21;Avvicinamento Pressata Finale;position > max position (10);20210203115624A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;62,90;-0,04;0,00;0,00;
0,00;0,00;64,02;-0,04;0,00;0,00;
0,00;0,00;86,12;-0,04;0,00;0,00;
0,00;0,00;90,92;-0,04;0,00;0,00;
0,00;0,00;95,72;-0,04;0,00;0,00;
0,00;0,00;110,12;-0,04;0,00;0,00;
0,00;0,00;114,92;0,04;0,00;0,00;
0,00;0,00;129,32;-0,04;0,00;0,00;
0,00;0,00;143,72;-0,04;0,00;0,00;
0,00;0,00;148,52;-0,04;0,00;0,00;
0,00;0,00;158,12;-0,04;0,00;0,00;
0,00;0,00;182,12;-0,04;0,00;0,00;
0,00;0,00;201,32;-0,09;0,00;0,00;
0,00;0,00;206,12;-0,04;0,00;0,00;
0,00;0,00;225,32;0,04;0,00;0,00;
0,00;0,00;239,72;-0,04;0,00;0,00;
0,00;0,00;249,32;-0,04;0,00;0,00;
0,00;0,00;253,94;-0,09;0,00;0,00;
0,00;0,00;256,88;-0,04;0,00;0,00;
0,00;0,00;257,83;-0,04;0,00;0,00;
0,00;0,00;257,90;-0,04;0,00;0,00;
0,00;0,00;259,34;-0,04;0,00;0,00;
0,00;0,00;260,30;-0,04;0,00;0,00;
0,00;0,00;260,62;-0,04;0,00;0,00;
0,00;0,00;260,94;-0,04;0,00;0,00;
0,00;0,00;261,26;-0,04;0,00;0,00;
0,00;0,00;261,58;-0,04;0,00;0,00;
0,00;0,00;261,90;0,04;0,00;0,00;
0,00;0,00;262,54;-0,04;0,00;0,00;
0,00;0,00;262,86;-0,04;0,00;0,00;
0,00;0,00;263,18;-0,04;0,00;0,00;
0,00;0,00;263,50;0,09;0,00;0,00;
0,00;0,00;264,14;-0,04;0,00;0,00;
0,00;0,00;264,78;0,09;0,00;0,00;
0,00;0,00;265,10;-0,04;0,00;0,00;
0,00;0,00;265,42;-0,04;0,00;0,00;
0,00;0,00;265,74;0,04;0,00;0,00;
0,00;0,00;266,06;0,04;0,00;0,00;
0,00;0,00;267,34;0,04;0,00;0,00;
0,00;0,00;267,66;0,04;0,00;0,00;
0,00;0,00;267,98;0,04;0,00;0,00;
0,00;0,00;268,62;-0,04;0,00;0,00;
0,00;0,00;269,58;-0,04;0,00;0,00;
0,00;0,00;269,90;-0,04;0,00;0,00;
0,00;0,00;270,54;-0,04;0,00;0,00;
0,00;0,00;270,86;-0,04;0,00;0,00;
0,00;0,00;272,14;-0,04;0,00;0,00;
0,00;0,00;272,78;0,04;0,00;0,00;
0,00;0,00;273,42;0,04;0,00;0,00;
0,00;0,00;273,74;0,04;0,00;0,00;
0,00;0,00;274,38;0,04;0,00;0,00;
0,00;0,00;274,70;0,04;0,00;0,00;
0,00;0,00;275,34;-0,04;0,00;0,00;
0,00;0,00;275,66;-0,04;0,00;0,00;
0,00;0,00;275,98;-0,04;0,00;0,00;
0,00;0,00;276,62;-0,04;0,00;0,00;
0,00;0,00;276,94;-0,04;0,00;0,00;
0,00;0,00;277,26;0,04;0,00;0,00;
0,00;0,00;277,58;0,04;0,00;0,00;
0,00;0,00;277,90;0,04;0,00;0,00;
0,00;0,00;278,22;-0,04;0,00;0,00;
0,00;0,00;278,54;-0,04;0,00;0,00;
0,00;0,00;278,85;2,05;0,00;0,00;
0,00;0,00;279,16;3,40;0,00;0,00;
0,00;0,00;279,49;3,48;0,00;0,00;
0,00;0,00;279,81;3,70;0,00;0,00;
0,00;0,00;280,14;3,70;0,00;0,00;
0,00;0,00;280,46;4,00;0,00;0,00;
0,00;0,00;280,78;4,09;0,00;0,00;
0,00;0,00;281,10;4,39;0,00;0,00;
0,00;0,00;281,41;4,65;0,00;0,00;
0,00;0,00;281,74;4,79;0,00;0,00;
0,00;0,00;282,06;5,09;0,00;0,00;
0,00;0,00;282,38;5,04;0,00;0,00;
0,00;0,00;282,70;5,35;0,00;0,00;
0,00;0,00;283,01;5,48;0,00;0,00;
0,00;0,00;283,34;5,69;0,00;0,00;
0,00;0,00;283,66;5,87;0,00;0,00;
0,00;0,00;283,98;5,87;0,00;0,00;
0,00;0,00;284,30;6,13;0,00;0,00;
0,00;0,00;284,62;6,00;0,00;0,00;
0,00;0,00;284,94;6,08;0,00;0,00;
0,00;0,00;285,26;6,35;0,00;0,00;
0,00;0,00;285,57;6,35;0,00;0,00;
0,00;0,00;285,90;6,56;0,00;0,00;
0,00;0,00;286,22;6,57;0,00;0,00;
0,00;0,00;286,54;6,74;0,00;0,00;
0,00;0,00;286,86;6,70;0,00;0,00;
0,00;0,00;287,18;6,91;0,00;0,00;
0,00;0,00;287,50;6,88;0,00;0,00;
0,00;0,00;287,82;6,79;0,00;0,00;
0,00;0,00;288,13;7,04;0,00;0,00;
0,00;0,00;288,46;7,13;0,00;0,00;
0,00;0,00;288,78;7,04;0,00;0,00;
0,00;0,00;289,10;7,09;0,00;0,00;
0,00;0,00;289,42;7,39;0,00;0,00;
0,00;0,00;289,74;7,22;0,00;0,00;
0,00;0,00;290,06;7,26;0,00;0,00;
0,00;0,00;290,38;7,57;0,00;0,00;
0,00;0,00;290,70;7,39;0,00;0,00;
0,00;0,00;291,02;7,52;0,00;0,00;
0,00;0,00;291,34;7,61;0,00;0,00;
0,00;0,00;291,66;7,60;0,00;0,00;
0,00;0,00;291,98;7,48;0,00;0,00;
0,00;0,00;292,30;7,74;0,00;0,00;
0,00;0,00;292,62;7,74;0,00;0,00;
0,00;0,00;292,94;7,65;0,00;0,00;
0,00;0,00;293,26;7,92;0,00;0,00;
0,00;0,00;293,58;7,92;0,00;0,00;
0,00;0,00;293,90;7,87;0,00;0,00;
0,00;0,00;294,22;8,01;0,00;0,00;
0,00;0,00;294,54;8,17;0,00;0,00;
0,00;0,00;294,86;8,17;0,00;0,00;
0,00;0,00;295,18;8,44;0,00;0,00;
0,00;0,00;295,50;8,61;0,00;0,00;
0,00;0,00;295,82;8,65;0,00;0,00;
0,00;0,00;296,14;8,91;0,00;0,00;
0,00;0,00;296,46;8,91;0,00;0,00;
0,00;0,00;296,78;9,13;0,00;0,00;
0,00;0,00;297,10;9,31;0,00;0,00;
0,00;0,00;297,42;9,44;0,00;0,00;
0,00;0,00;297,74;9,57;0,00;0,00;
0,00;0,00;298,05;9,87;0,00;0,00;
