Nr;Date;ProgNr;ProgName;State;
3675;03.02.20 10:46:22;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;174,57;-0,23;0,00;0,00;
0,00;0,00;173,32;-0,23;0,00;0,00;
0,00;0,00;171,68;-0,16;0,00;0,00;
0,00;0,00;169,66;-0,31;0,00;0,00;
0,00;0,00;167,31;-0,23;0,00;0,00;
0,00;0,00;165,29;-0,16;0,00;0,00;
0,00;0,00;163,53;-0,08;0,00;0,00;
0,00;0,00;162,12;-0,16;0,00;0,00;
0,00;0,00;160,19;0,08;0,00;0,00;
0,00;0,00;160,25;0,22;0,00;0,00;
0,00;0,00;160,41;0,22;0,00;0,00;
0,00;0,00;160,56;0,16;0,00;0,00;
0,00;0,00;160,72;0,16;0,00;0,00;
0,00;0,00;160,89;0,22;0,00;0,00;
0,00;0,00;161,05;0,16;0,00;0,00;
0,00;0,00;161,21;0,16;0,00;0,00;
0,00;0,00;161,37;0,22;0,00;0,00;
0,00;0,00;161,53;0,16;0,00;0,00;
0,00;0,00;161,69;0,22;0,00;0,00;
0,00;0,00;161,85;0,30;0,00;0,00;
0,00;0,00;162,01;0,22;0,00;0,00;
0,00;0,00;162,17;0,16;0,00;0,00;
0,00;0,00;162,33;0,16;0,00;0,00;
0,00;0,00;162,49;0,16;0,00;0,00;
0,00;0,00;162,65;0,22;0,00;0,00;
0,00;0,00;162,81;0,22;0,00;0,00;
0,00;0,00;162,97;0,22;0,00;0,00;
0,00;0,00;163,13;0,16;0,00;0,00;
0,00;0,00;163,29;0,22;0,00;0,00;
0,00;0,00;163,45;0,22;0,00;0,00;
0,00;0,00;163,61;0,16;0,00;0,00;
0,00;0,00;163,77;0,16;0,00;0,00;
0,00;0,00;163,93;0,16;0,00;0,00;
0,00;0,00;164,09;0,16;0,00;0,00;
0,00;0,00;164,25;0,22;0,00;0,00;
0,00;0,00;164,41;0,16;0,00;0,00;
0,00;0,00;164,57;0,16;0,00;0,00;
0,00;0,00;164,73;0,16;0,00;0,00;
0,00;0,00;164,89;0,16;0,00;0,00;
0,00;0,00;165,05;0,16;0,00;0,00;
0,00;0,00;165,21;0,16;0,00;0,00;
0,00;0,00;165,37;0,16;0,00;0,00;
0,00;0,00;165,53;0,16;0,00;0,00;
0,00;0,00;165,69;0,16;0,00;0,00;
0,00;0,00;165,85;0,16;0,00;0,00;
0,00;0,00;166,01;0,16;0,00;0,00;
0,00;0,00;166,17;0,16;0,00;0,00;
0,00;0,00;166,33;0,16;0,00;0,00;
0,00;0,00;166,49;0,22;0,00;0,00;
0,00;0,00;166,65;0,22;0,00;0,00;
0,00;0,00;166,81;0,16;0,00;0,00;
0,00;0,00;166,97;0,22;0,00;0,00;
0,00;0,00;167,13;0,16;0,00;0,00;
0,00;0,00;167,29;0,22;0,00;0,00;
0,00;0,00;167,45;0,22;0,00;0,00;
0,00;0,00;167,61;0,16;0,00;0,00;
0,00;0,00;167,77;0,22;0,00;0,00;
0,00;0,00;167,93;0,22;0,00;0,00;
0,00;0,00;168,09;0,22;0,00;0,00;
0,00;0,00;168,25;0,30;0,00;0,00;
0,00;0,00;168,41;0,16;0,00;0,00;
0,00;0,00;168,57;0,30;0,00;0,00;
0,00;0,00;168,73;0,22;0,00;0,00;
0,00;0,00;168,89;0,22;0,00;0,00;
0,00;0,00;169,05;0,22;0,00;0,00;
0,00;0,00;169,21;0,16;0,00;0,00;
0,00;0,00;169,37;0,16;0,00;0,00;
