49323;08.07.21 08:43:09;22;Avvicinamento pre-pressata pressata Fuori Ingombro;start interrupted (14);20210706142308P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;73,76;0,30;0,00;0,00;
0,00;0,00;74,21;0,37;0,00;0,00;
0,00;0,00;74,98;0,23;0,00;0,00;
0,00;0,00;76,13;0,45;0,00;0,00;
0,00;0,00;77,68;0,37;0,00;0,00;
0,00;0,00;79,60;0,45;0,00;0,00;
0,00;0,00;81,90;0,45;0,00;0,00;
0,00;0,00;84,24;0,37;0,00;0,00;
0,00;0,00;86,63;0,31;0,00;0,00;
0,00;0,00;89,04;0,31;0,00;0,00;
0,00;0,00;91,44;0,23;0,00;0,00;
0,00;0,00;93,84;0,31;0,00;0,00;
0,00;0,00;96,25;0,31;0,00;0,00;
