3581;30.01.20 15:05:20;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20200130145556;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;74,34;0,30;0,00;0,00;
0,00;0,00;74,95;0,30;0,00;0,00;
0,00;0,00;75,90;0,37;0,00;0,00;
0,00;0,00;77,25;0,30;0,00;0,00;
0,00;0,00;78,99;0,37;0,00;0,00;
0,00;0,00;81,10;0,37;0,00;0,00;
0,00;0,00;83,47;0,37;0,00;0,00;
0,00;0,00;85,82;0,37;0,00;0,00;
0,00;0,00;88,24;0,37;0,00;0,00;
0,00;0,00;90,64;0,30;0,00;0,00;
0,00;0,00;93,04;0,37;0,00;0,00;
0,00;0,00;95,44;0,37;0,00;0,00;
0,00;0,00;97,84;0,30;0,00;0,00;
0,00;0,00;100,25;0,30;0,00;0,00;
0,00;0,00;102,64;0,22;0,00;0,00;
0,00;0,00;105,05;0,06;0,00;0,00;
0,00;0,00;107,45;0,30;0,00;0,00;
0,00;0,00;109,85;0,30;0,00;0,00;
0,00;0,00;112,25;0,37;0,00;0,00;
0,00;0,00;114,64;0,30;0,00;0,00;
0,00;0,00;117,05;0,30;0,00;0,00;
0,00;0,00;119,45;0,37;0,00;0,00;
0,00;0,00;121,85;0,37;0,00;0,00;
0,00;0,00;124,25;0,45;0,00;0,00;
0,00;0,00;126,65;0,22;0,00;0,00;
0,00;0,00;129,05;0,30;0,00;0,00;
0,00;0,00;131,45;0,30;0,00;0,00;
0,00;0,00;133,85;0,37;0,00;0,00;
0,00;0,00;136,25;0,45;0,00;0,00;
0,00;0,00;138,64;0,22;0,00;0,00;
0,00;0,00;141,05;0,30;0,00;0,00;
0,00;0,00;143,45;0,37;0,00;0,00;
0,00;0,00;145,85;0,30;0,00;0,00;
0,00;0,00;148,25;0,37;0,00;0,00;
0,00;0,00;150,64;0,30;0,00;0,00;
0,00;0,00;153,05;0,22;0,00;0,00;
0,00;0,00;155,45;0,37;0,00;0,00;
0,00;0,00;157,85;0,30;0,00;0,00;
0,00;0,00;160,25;0,30;0,00;0,00;
0,00;0,00;162,65;0,30;0,00;0,00;
0,00;0,00;165,05;0,30;0,00;0,00;
