956;13.12.19 11:07:17;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20191213105841;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,96;0,18;0,00;0,00;
0,00;0,00;40,50;0,11;0,00;0,00;
0,00;0,00;41,52;0,18;0,00;0,00;
0,00;0,00;43,04;0,27;0,00;0,00;
0,00;0,00;45,08;0,13;0,00;0,00;
0,00;0,00;47,64;0,18;0,00;0,00;
0,00;0,00;50,66;0,29;0,00;0,00;
0,00;0,00;53,83;0,13;0,00;0,00;
0,00;0,00;57,00;0,23;0,00;0,00;
0,00;0,00;60,26;0,13;0,00;0,00;
0,00;0,00;63,44;0,11;0,00;0,00;
0,00;0,00;66,65;0,18;0,00;0,00;
0,00;0,00;69,85;0,11;0,00;0,00;
0,00;0,00;73,05;0,23;0,00;0,00;
0,00;0,00;76,26;0,13;0,00;0,00;
0,00;0,00;79,45;0,11;0,00;0,00;
0,00;0,00;82,65;0,18;0,00;0,00;
0,00;0,00;85,85;0,09;0,00;0,00;
0,00;0,00;89,05;0,20;0,00;0,00;
0,00;0,00;92,25;0,16;0,00;0,00;
0,00;0,00;95,45;0,13;0,00;0,00;
0,00;0,00;98,65;0,20;0,00;0,00;
0,00;0,00;101,85;0,09;0,00;0,00;
0,00;0,00;105,05;0,18;0,00;0,00;
0,00;0,00;108,26;0,18;0,00;0,00;
0,00;0,00;111,45;0,09;0,00;0,00;
0,00;0,00;114,65;0,18;0,00;0,00;
0,00;0,00;117,85;0,09;0,00;0,00;
0,00;0,00;121,05;0,23;0,00;0,00;
0,00;0,00;124,25;0,11;0,00;0,00;
0,00;0,00;127,45;0,09;0,00;0,00;
0,00;0,00;130,65;0,18;0,00;0,00;
0,00;0,00;133,85;0,11;0,00;0,00;
0,00;0,00;137,05;0,20;0,00;0,00;
0,00;0,00;140,25;0,18;0,00;0,00;
0,00;0,00;143,45;0,11;0,00;0,00;
0,00;0,00;146,65;0,16;0,00;0,00;
0,00;0,00;149,85;0,11;0,00;0,00;
0,00;0,00;153,05;0,23;0,00;0,00;
0,00;0,00;156,25;0,16;0,00;0,00;
0,00;0,00;159,42;0,16;0,00;0,00;
0,00;0,00;162,10;0,09;0,00;0,00;
0,00;0,00;164,35;0,09;0,00;0,00;
0,00;0,00;166,11;0,02;0,00;0,00;
0,00;0,00;168,11;0,16;0,00;0,00;
0,00;0,00;168,35;0,25;0,00;0,00;
0,00;0,00;168,42;0,40;0,00;0,00;
0,00;0,00;168,44;0,45;0,00;0,00;
0,00;0,00;168,58;0,68;0,00;0,00;
0,00;0,00;168,73;0,97;0,00;0,00;
0,00;0,00;168,89;1,08;0,00;0,00;
0,00;0,00;169,05;1,17;0,00;0,00;
0,00;0,00;169,21;1,20;0,00;0,00;
0,00;0,00;169,37;1,29;0,00;0,00;
0,00;0,00;169,53;1,33;0,00;0,00;
0,00;0,00;169,69;1,42;0,00;0,00;
0,00;0,00;169,85;1,44;0,00;0,00;
0,00;0,00;170,01;1,51;0,00;0,00;
0,00;0,00;170,17;1,51;0,00;0,00;
0,00;0,00;170,33;1,58;0,00;0,00;
0,00;0,00;170,49;1,60;0,00;0,00;
0,00;0,00;170,65;1,74;0,00;0,00;
0,00;0,00;170,81;1,76;0,00;0,00;
0,00;0,00;170,91;1,51;0,00;0,00;
0,00;0,00;170,91;1,31;0,00;0,00;
0,00;0,00;170,77;0,09;0,00;0,00;
0,00;0,00;170,11;-0,20;0,00;0,00;
0,00;0,00;169,32;0,06;0,00;0,00;
0,00;0,00;168,95;-0,07;0,00;0,00;
0,00;0,00;168,90;-0,05;0,00;0,00;
0,00;0,00;168,90;-0,02;0,00;0,00;
0,00;0,00;168,95;0,11;0,00;0,00;
0,00;0,00;169,09;0,07;0,00;0,00;
0,00;0,00;169,24;0,05;0,00;0,00;
0,00;0,00;169,41;0,07;0,00;0,00;
0,00;0,00;169,58;0,05;0,00;0,00;
0,00;0,00;169,74;0,07;0,00;0,00;
0,00;0,00;169,90;0,07;0,00;0,00;
0,00;0,00;170,06;0,07;0,00;0,00;
0,00;0,00;170,23;0,07;0,00;0,00;
0,00;0,00;170,39;0,07;0,00;0,00;
0,00;0,00;170,55;0,07;0,00;0,00;
0,00;0,00;170,71;0,25;0,00;0,00;
0,00;0,00;170,87;0,34;0,00;0,00;
0,00;0,00;171,02;1,88;0,00;0,00;
0,00;0,00;171,17;1,92;0,00;0,00;
0,00;0,00;171,34;1,96;0,00;0,00;
0,00;0,00;171,50;2,01;0,00;0,00;
