4923;30.04.20 13:47:25;21;Avvicinamento Pressata Fuori Ingombro;position < min position (11);20200429144209P0038;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;202,77;0,23;0,00;0,00;
0,00;0,00;202,93;0,31;0,00;0,00;
0,00;0,00;203,09;0,39;0,00;0,00;
0,00;0,00;203,25;0,31;0,00;0,00;
0,00;0,00;203,41;0,31;0,00;0,00;
0,00;0,00;203,57;0,39;0,00;0,00;
0,00;0,00;203,73;0,39;0,00;0,00;
0,00;0,00;203,89;0,47;0,00;0,00;
0,00;0,00;204,05;0,31;0,00;0,00;
0,00;0,00;204,21;0,31;0,00;0,00;
0,00;0,00;204,37;0,16;0,00;0,00;
0,00;0,00;204,53;0,47;0,00;0,00;
0,00;0,00;204,69;0,47;0,00;0,00;
0,00;0,00;204,85;0,47;0,00;0,00;
0,00;0,00;205,01;0,47;0,00;0,00;
0,00;0,00;205,17;0,39;0,00;0,00;
0,00;0,00;205,33;0,47;0,00;0,00;
0,00;0,00;205,49;0,47;0,00;0,00;
0,00;0,00;205,65;0,47;0,00;0,00;
0,00;0,00;205,81;0,47;0,00;0,00;
0,00;0,00;205,97;0,69;0,00;0,00;
0,00;0,00;206,13;0,92;0,00;0,00;
0,00;0,00;206,29;0,84;0,00;0,00;
0,00;0,00;206,45;0,92;0,00;0,00;
0,00;0,00;206,61;0,76;0,00;0,00;
0,00;0,00;206,77;0,84;0,00;0,00;
0,00;0,00;206,93;0,84;0,00;0,00;
0,00;0,00;207,09;0,92;0,00;0,00;
0,00;0,00;207,25;1,07;0,00;0,00;
0,00;0,00;207,30;0,31;0,00;0,00;
0,00;0,00;207,32;0,69;0,00;0,00;
0,00;0,00;207,33;0,76;0,00;0,00;
0,00;0,00;207,32;0,76;0,00;0,00;
0,00;0,00;207,32;0,76;0,00;0,00;
0,00;0,00;207,32;0,76;0,00;0,00;
0,00;0,00;207,32;0,76;0,00;0,00;
0,00;0,00;207,32;0,76;0,00;0,00;
0,00;0,00;207,32;0,76;0,00;0,00;
0,00;0,00;207,32;0,76;0,00;0,00;
0,00;0,00;207,32;0,69;0,00;0,00;
0,00;0,00;207,32;0,69;0,00;0,00;
0,00;0,00;207,32;0,61;0,00;0,00;
0,00;0,00;207,32;0,69;0,00;0,00;
0,00;0,00;207,32;0,69;0,00;0,00;
