1929;13.12.19 10:46:27;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);20191213103923;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;44,17;0,20;0,00;0,00;
0,00;0,00;44,95;0,13;0,00;0,00;
0,00;0,00;46,21;0,16;0,00;0,00;
0,00;0,00;48,00;0,18;0,00;0,00;
0,00;0,00;50,31;0,20;0,00;0,00;
0,00;0,00;53,12;0,20;0,00;0,00;
0,00;0,00;56,27;0,11;0,00;0,00;
0,00;0,00;59,40;0,18;0,00;0,00;
0,00;0,00;62,65;0,20;0,00;0,00;
0,00;0,00;65,84;0,18;0,00;0,00;
0,00;0,00;69,04;0,13;0,00;0,00;
0,00;0,00;72,24;0,16;0,00;0,00;
0,00;0,00;75,45;0,09;0,00;0,00;
0,00;0,00;78,65;0,16;0,00;0,00;
0,00;0,00;81,85;0,13;0,00;0,00;
0,00;0,00;85,05;0,13;0,00;0,00;
0,00;0,00;88,25;0,13;0,00;0,00;
0,00;0,00;91,45;0,13;0,00;0,00;
0,00;0,00;94,65;0,16;0,00;0,00;
0,00;0,00;97,85;0,16;0,00;0,00;
0,00;0,00;101,05;0,16;0,00;0,00;
0,00;0,00;104,25;0,16;0,00;0,00;
0,00;0,00;107,45;0,11;0,00;0,00;
0,00;0,00;110,65;0,18;0,00;0,00;
0,00;0,00;113,85;0,13;0,00;0,00;
0,00;0,00;117,05;0,16;0,00;0,00;
0,00;0,00;120,25;0,18;0,00;0,00;
0,00;0,00;123,45;0,13;0,00;0,00;
0,00;0,00;126,65;0,16;0,00;0,00;
0,00;0,00;129,85;0,13;0,00;0,00;
0,00;0,00;133,05;0,09;0,00;0,00;
0,00;0,00;136,25;0,16;0,00;0,00;
0,00;0,00;139,45;0,11;0,00;0,00;
0,00;0,00;142,65;0,13;0,00;0,00;
0,00;0,00;145,85;0,11;0,00;0,00;
0,00;0,00;149,05;0,13;0,00;0,00;
0,00;0,00;152,25;0,16;0,00;0,00;
0,00;0,00;155,45;0,11;0,00;0,00;
0,00;0,00;158,65;0,16;0,00;0,00;
0,00;0,00;161,85;0,11;0,00;0,00;
0,00;0,00;165,02;0,06;0,00;0,00;
0,00;0,00;167,70;0,11;0,00;0,00;
0,00;0,00;169,94;0,09;0,00;0,00;
0,00;0,00;171,70;0,02;0,00;0,00;
0,00;0,00;173,90;-0,02;0,00;0,00;
0,00;0,00;174,07;0,07;0,00;0,00;
0,00;0,00;174,20;0,09;0,00;0,00;
0,00;0,00;174,36;0,07;0,00;0,00;
0,00;0,00;174,52;0,02;0,00;0,00;
0,00;0,00;174,68;0,05;0,00;0,00;
0,00;0,00;174,84;0,18;0,00;0,00;
0,00;0,00;175,00;0,23;0,00;0,00;
0,00;0,00;175,16;2,01;0,00;0,00;
0,00;0,00;175,28;6,40;0,00;0,00;
0,00;0,00;175,40;10,63;0,00;0,00;
0,00;0,00;175,53;15,08;0,00;0,00;
0,00;0,00;175,67;18,74;0,00;0,00;
0,00;0,00;175,83;21,00;0,00;0,00;
0,00;0,00;175,88;20,84;0,00;0,00;
0,00;0,00;175,92;21,16;0,00;0,00;
0,00;0,00;175,93;21,12;0,00;0,00;
0,00;0,00;175,95;21,08;0,00;0,00;
0,00;0,00;175,96;21,12;0,00;0,00;
0,00;0,00;175,97;21,16;0,00;0,00;
0,00;0,00;175,97;21,16;0,00;0,00;
0,00;0,00;175,98;21,08;0,00;0,00;
0,00;0,00;175,98;20,98;0,00;0,00;
0,00;0,00;175,98;20,91;0,00;0,00;
0,00;0,00;175,98;20,84;0,00;0,00;
0,00;0,00;175,98;20,80;0,00;0,00;
0,00;0,00;175,99;20,73;0,00;0,00;
