22752;06.07.21 09:23:53;21;Avvicinamento Pressata Finale;position > max position (10);20210705093841P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;29,10;-0,04;0,00;0,00;
0,00;0,00;30,22;-0,01;0,00;0,00;
0,00;0,00;33,30;-0,01;0,00;0,00;
0,00;0,00;37,92;-0,01;0,00;0,00;
0,00;0,00;47,52;0,04;0,00;0,00;
0,00;0,00;52,32;-0,09;0,00;0,00;
0,00;0,00;57,12;-0,04;0,00;0,00;
0,00;0,00;61,92;-0,04;0,00;0,00;
0,00;0,00;66,72;-0,09;0,00;0,00;
0,00;0,00;71,52;-0,04;0,00;0,00;
0,00;0,00;76,32;-0,04;0,00;0,00;
0,00;0,00;85,92;-0,04;0,00;0,00;
0,00;0,00;95,52;-0,09;0,00;0,00;
0,00;0,00;100,32;-0,04;0,00;0,00;
0,00;0,00;109,92;-0,04;0,00;0,00;
0,00;0,00;124,32;-0,04;0,00;0,00;
0,00;0,00;133,92;-0,13;0,00;0,00;
0,00;0,00;138,72;-0,04;0,00;0,00;
0,00;0,00;143,52;-0,04;0,00;0,00;
0,00;0,00;148,32;-0,09;0,00;0,00;
0,00;0,00;153,12;-0,04;0,00;0,00;
0,00;0,00;157,92;-0,09;0,00;0,00;
0,00;0,00;162,72;-0,01;0,00;0,00;
0,00;0,00;167,52;-0,04;0,00;0,00;
0,00;0,00;172,32;-0,04;0,00;0,00;
0,00;0,00;177,12;-0,09;0,00;0,00;
0,00;0,00;181,92;-0,04;0,00;0,00;
0,00;0,00;186,72;-0,09;0,00;0,00;
0,00;0,00;191,52;-0,09;0,00;0,00;
0,00;0,00;196,32;-0,09;0,00;0,00;
0,00;0,00;201,12;-0,04;0,00;0,00;
0,00;0,00;205,92;-0,09;0,00;0,00;
0,00;0,00;215,52;-0,09;0,00;0,00;
0,00;0,00;253,92;-0,04;0,00;0,00;
0,00;0,00;268,32;0,04;0,00;0,00;
0,00;0,00;273,12;-0,04;0,00;0,00;
0,00;0,00;277,92;-0,04;0,00;0,00;
0,00;0,00;282,72;-0,04;0,00;0,00;
0,00;0,00;289,81;-0,09;0,00;0,00;
0,00;0,00;290,60;-0,04;0,00;0,00;
0,00;0,00;290,80;-0,04;0,00;0,00;
0,00;0,00;297,84;0,08;0,00;0,00;
0,00;0,00;298,16;0,17;0,00;0,00;
0,00;0,00;298,48;0,17;0,00;0,00;
0,00;0,00;298,80;0,17;0,00;0,00;
0,00;0,00;299,12;0,17;0,00;0,00;
0,00;0,00;299,44;0,17;0,00;0,00;
0,00;0,00;299,76;0,17;0,00;0,00;
0,00;0,00;300,07;1,73;0,00;0,00;
0,00;0,00;300,39;2,26;0,00;0,00;
0,00;0,00;300,72;2,26;0,00;0,00;
0,00;0,00;301,04;2,44;0,00;0,00;
0,00;0,00;301,36;2,61;0,00;0,00;
0,00;0,00;301,68;2,74;0,00;0,00;
0,00;0,00;302,00;2,95;0,00;0,00;
0,00;0,00;302,31;3,09;0,00;0,00;
0,00;0,00;302,64;3,17;0,00;0,00;
0,00;0,00;302,96;3,39;0,00;0,00;
0,00;0,00;303,28;3,65;0,00;0,00;
0,00;0,00;303,60;3,65;0,00;0,00;
0,00;0,00;303,92;3,82;0,00;0,00;
0,00;0,00;304,24;4,13;0,00;0,00;
0,00;0,00;304,55;4,35;0,00;0,00;
0,00;0,00;304,87;4,65;0,00;0,00;
0,00;0,00;305,20;4,82;0,00;0,00;
0,00;0,00;305,52;4,91;0,00;0,00;
0,00;0,00;305,84;5,17;0,00;0,00;
0,00;0,00;306,16;5,35;0,00;0,00;
0,00;0,00;306,47;5,60;0,00;0,00;
0,00;0,00;306,80;5,74;0,00;0,00;
0,00;0,00;307,12;5,91;0,00;0,00;
0,00;0,00;307,44;6,04;0,00;0,00;
0,00;0,00;307,76;6,22;0,00;0,00;
0,00;0,00;308,07;6,34;0,00;0,00;
0,00;0,00;308,40;6,56;0,00;0,00;
0,00;0,00;308,72;6,64;0,00;0,00;
0,00;0,00;309,04;6,78;0,00;0,00;
0,00;0,00;309,36;6,91;0,00;0,00;
0,00;0,00;309,67;7,21;0,00;0,00;
0,00;0,00;310,00;7,30;0,00;0,00;
0,00;0,00;310,32;7,39;0,00;0,00;
0,00;0,00;310,64;7,43;0,00;0,00;
0,00;0,00;310,96;7,47;0,00;0,00;
0,00;0,00;311,28;7,69;0,00;0,00;
0,00;0,00;311,60;7,78;0,00;0,00;
0,00;0,00;311,92;8,12;0,00;0,00;
0,00;0,00;312,23;8,25;0,00;0,00;
0,00;0,00;312,56;8,34;0,00;0,00;
0,00;0,00;312,88;8,48;0,00;0,00;
0,00;0,00;313,19;8,69;0,00;0,00;
0,00;0,00;313,52;8,91;0,00;0,00;
0,00;0,00;313,84;10,04;0,00;0,00;
0,00;0,00;314,09;24,52;0,00;0,00;
0,00;0,00;314,18;30,13;0,00;0,00;
0,00;0,00;314,20;31,18;0,00;0,00;
0,00;0,00;314,21;31,66;0,00;0,00;
0,00;0,00;314,22;32,00;0,00;0,00;
0,00;0,00;314,23;32,44;0,00;0,00;
0,00;0,00;314,23;32,74;0,00;0,00;
0,00;0,00;314,23;32,87;0,00;0,00;
