16498;07.01.21 15:39:04;21;Avvicinamento Pressata Fuori Ingombro;force < min. force (9);20210105142539P0038;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;47,30;-0,16;0,00;0,00;
0,00;0,00;47,54;0,08;0,00;0,00;
0,00;0,00;48,15;0,08;0,00;0,00;
0,00;0,00;49,10;0,08;0,00;0,00;
0,00;0,00;50,45;0,08;0,00;0,00;
0,00;0,00;52,19;0,08;0,00;0,00;
0,00;0,00;54,30;0,16;0,00;0,00;
0,00;0,00;56,67;0,08;0,00;0,00;
0,00;0,00;59,03;0,08;0,00;0,00;
0,00;0,00;61,44;0,08;0,00;0,00;
0,00;0,00;66,25;0,08;0,00;0,00;
0,00;0,00;68,64;0,08;0,00;0,00;
0,00;0,00;71,05;0,08;0,00;0,00;
0,00;0,00;80,64;0,08;0,00;0,00;
0,00;0,00;83,05;0,08;0,00;0,00;
0,00;0,00;85,45;0,08;0,00;0,00;
0,00;0,00;95,05;0,08;0,00;0,00;
0,00;0,00;99,85;0,16;0,00;0,00;
0,00;0,00;102,25;0,08;0,00;0,00;
0,00;0,00;109,45;0,08;0,00;0,00;
0,00;0,00;114,25;0,08;0,00;0,00;
0,00;0,00;116,64;0,08;0,00;0,00;
0,00;0,00;123,85;0,08;0,00;0,00;
0,00;0,00;126,25;0,08;0,00;0,00;
0,00;0,00;128,64;0,08;0,00;0,00;
0,00;0,00;152,64;0,08;0,00;0,00;
0,00;0,00;155,05;-0,08;0,00;0,00;
0,00;0,00;162,25;0,08;0,00;0,00;
0,00;0,00;164,64;0,08;0,00;0,00;
0,00;0,00;167,05;0,08;0,00;0,00;
0,00;0,00;169,45;0,08;0,00;0,00;
0,00;0,00;174,25;0,16;0,00;0,00;
0,00;0,00;176,64;0,08;0,00;0,00;
0,00;0,00;179,05;0,08;0,00;0,00;
0,00;0,00;181,45;0,08;0,00;0,00;
0,00;0,00;183,85;0,08;0,00;0,00;
0,00;0,00;186,25;0,16;0,00;0,00;
0,00;0,00;188,64;0,08;0,00;0,00;
0,00;0,00;191,05;0,08;0,00;0,00;
0,00;0,00;193,30;-0,08;0,00;0,00;
0,00;0,00;195,19;0,16;0,00;0,00;
0,00;0,00;196,76;0,08;0,00;0,00;
0,00;0,00;198,76;-0,08;0,00;0,00;
0,00;0,00;199,21;-0,08;0,00;0,00;
0,00;0,00;206,04;0,08;0,00;0,00;
0,00;0,00;206,20;0,23;0,00;0,00;
0,00;0,00;206,36;0,08;0,00;0,00;
0,00;0,00;207,16;0,16;0,00;0,00;
