Nr;Date;ProgNr;ProgName;State;PartInfo;
79447;20.09.21 11:51:18;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210916103907A0217;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;177,27;2,80;0,00;0,00;
0,00;0,00;177,43;2,87;0,00;0,00;
0,00;0,00;177,59;2,89;0,00;0,00;
0,00;0,00;177,75;2,94;0,00;0,00;
0,00;0,00;177,91;2,98;0,00;0,00;
0,00;0,00;178,07;3,05;0,00;0,00;
0,00;0,00;178,23;3,07;0,00;0,00;
0,00;0,00;178,39;3,14;0,00;0,00;
0,00;0,00;178,55;3,18;0,00;0,00;
0,00;0,00;178,71;3,23;0,00;0,00;
0,00;0,00;178,87;3,32;0,00;0,00;
0,00;0,00;179,03;3,35;0,00;0,00;
0,00;0,00;179,19;3,43;0,00;0,00;
0,00;0,00;179,34;3,36;0,00;0,00;
0,00;0,00;179,35;3,17;0,00;0,00;
0,00;0,00;179,36;3,17;0,00;0,00;
0,00;0,00;179,21;0,79;0,00;0,00;
0,00;0,00;178,56;-0,14;0,00;0,00;
0,00;0,00;177,41;-0,21;0,00;0,00;
0,00;0,00;175,74;-0,18;0,00;0,00;
0,00;0,00;173,57;-0,16;0,00;0,00;
0,00;0,00;170,87;-0,16;0,00;0,00;
0,00;0,00;167,74;-0,07;0,00;0,00;
0,00;0,00;164,63;-0,16;0,00;0,00;
0,00;0,00;161,42;-0,14;0,00;0,00;
0,00;0,00;158,21;-0,14;0,00;0,00;
0,00;0,00;155,01;-0,07;0,00;0,00;
0,00;0,00;151,81;-0,12;0,00;0,00;
0,00;0,00;148,61;-0,09;0,00;0,00;
0,00;0,00;145,41;-0,09;0,00;0,00;
0,00;0,00;142,20;-0,12;0,00;0,00;
0,00;0,00;139,00;-0,12;0,00;0,00;
0,00;0,00;135,81;-0,12;0,00;0,00;
0,00;0,00;132,61;-0,12;0,00;0,00;
0,00;0,00;129,41;-0,09;0,00;0,00;
0,00;0,00;126,20;-0,09;0,00;0,00;
0,00;0,00;123,00;-0,07;0,00;0,00;
0,00;0,00;119,80;-0,12;0,00;0,00;
0,00;0,00;116,60;-0,12;0,00;0,00;
0,00;0,00;113,41;-0,12;0,00;0,00;
0,00;0,00;110,20;-0,12;0,00;0,00;
0,00;0,00;107,00;-0,07;0,00;0,00;
0,00;0,00;103,80;-0,12;0,00;0,00;
0,00;0,00;100,61;-0,09;0,00;0,00;
0,00;0,00;97,40;-0,14;0,00;0,00;
0,00;0,00;94,20;-0,12;0,00;0,00;
0,00;0,00;91,00;-0,09;0,00;0,00;
0,00;0,00;87,80;-0,12;0,00;0,00;
0,00;0,00;84,60;-0,12;0,00;0,00;
0,00;0,00;81,41;-0,12;0,00;0,00;
0,00;0,00;78,20;-0,09;0,00;0,00;
0,00;0,00;75,00;-0,09;0,00;0,00;
0,00;0,00;71,80;-0,12;0,00;0,00;
0,00;0,00;68,60;-0,09;0,00;0,00;
0,00;0,00;65,40;-0,12;0,00;0,00;
0,00;0,00;62,20;-0,14;0,00;0,00;
0,00;0,00;59,00;-0,09;0,00;0,00;
0,00;0,00;55,80;-0,12;0,00;0,00;
0,00;0,00;52,67;-0,03;0,00;0,00;
0,00;0,00;50,04;-0,07;0,00;0,00;
0,00;0,00;47,84;-0,05;0,00;0,00;
0,00;0,00;46,12;-0,02;0,00;0,00;
0,00;0,00;43,97;-0,00;0,00;0,00;
