25591;06.08.21 15:30:18;21;Avvicinamento Pressata Finale;force > max. force (8);20210802091038P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;237,30;0,08;0,00;0,00;
0,00;0,00;237,62;0,04;0,00;0,00;
0,00;0,00;237,94;0,08;0,00;0,00;
0,00;0,00;238,26;0,04;0,00;0,00;
0,00;0,00;238,58;0,04;0,00;0,00;
0,00;0,00;238,90;0,12;0,00;0,00;
0,00;0,00;239,22;0,04;0,00;0,00;
0,00;0,00;239,54;0,04;0,00;0,00;
0,00;0,00;239,86;0,12;0,00;0,00;
0,00;0,00;240,18;0,04;0,00;0,00;
0,00;0,00;240,50;0,08;0,00;0,00;
0,00;0,00;240,82;0,08;0,00;0,00;
0,00;0,00;241,14;0,04;0,00;0,00;
0,00;0,00;241,46;0,08;0,00;0,00;
0,00;0,00;241,78;0,04;0,00;0,00;
0,00;0,00;242,10;0,08;0,00;0,00;
0,00;0,00;242,42;0,04;0,00;0,00;
0,00;0,00;242,74;0,12;0,00;0,00;
0,00;0,00;243,06;0,08;0,00;0,00;
0,00;0,00;243,38;0,04;0,00;0,00;
0,00;0,00;243,70;0,08;0,00;0,00;
0,00;0,00;244,02;0,08;0,00;0,00;
0,00;0,00;244,34;0,12;0,00;0,00;
0,00;0,00;244,66;0,04;0,00;0,00;
0,00;0,00;244,98;0,12;0,00;0,00;
0,00;0,00;245,30;0,17;0,00;0,00;
0,00;0,00;245,62;0,17;0,00;0,00;
0,00;0,00;245,94;0,17;0,00;0,00;
0,00;0,00;246,26;0,17;0,00;0,00;
0,00;0,00;246,58;0,12;0,00;0,00;
0,00;0,00;246,90;0,17;0,00;0,00;
0,00;0,00;247,22;0,17;0,00;0,00;
0,00;0,00;247,54;0,17;0,00;0,00;
0,00;0,00;247,86;0,17;0,00;0,00;
0,00;0,00;248,18;0,17;0,00;0,00;
0,00;0,00;248,50;0,17;0,00;0,00;
0,00;0,00;248,82;0,17;0,00;0,00;
0,00;0,00;249,14;0,17;0,00;0,00;
0,00;0,00;249,46;0,17;0,00;0,00;
0,00;0,00;249,78;0,17;0,00;0,00;
0,00;0,00;250,10;0,17;0,00;0,00;
0,00;0,00;250,42;0,30;0,00;0,00;
0,00;0,00;250,74;0,35;0,00;0,00;
0,00;0,00;251,06;0,38;0,00;0,00;
0,00;0,00;251,38;0,43;0,00;0,00;
0,00;0,00;251,70;0,52;0,00;0,00;
0,00;0,00;252,02;0,56;0,00;0,00;
0,00;0,00;252,34;0,60;0,00;0,00;
0,00;0,00;252,66;0,69;0,00;0,00;
0,00;0,00;252,98;0,69;0,00;0,00;
0,00;0,00;253,30;1,13;0,00;0,00;
0,00;0,00;253,61;1,57;0,00;0,00;
0,00;0,00;253,93;1,91;0,00;0,00;
0,00;0,00;254,26;2,26;0,00;0,00;
0,00;0,00;254,57;2,44;0,00;0,00;
0,00;0,00;254,90;2,61;0,00;0,00;
0,00;0,00;255,22;2,78;0,00;0,00;
0,00;0,00;255,54;2,91;0,00;0,00;
0,00;0,00;255,86;3,13;0,00;0,00;
0,00;0,00;256,18;3,26;0,00;0,00;
0,00;0,00;256,50;3,48;0,00;0,00;
0,00;0,00;256,82;3,51;0,00;0,00;
0,00;0,00;257,14;3,69;0,00;0,00;
0,00;0,00;257,46;3,82;0,00;0,00;
0,00;0,00;257,78;3,96;0,00;0,00;
0,00;0,00;258,10;4,00;0,00;0,00;
0,00;0,00;258,42;4,17;0,00;0,00;
0,00;0,00;258,74;4,35;0,00;0,00;
0,00;0,00;259,06;4,38;0,00;0,00;
0,00;0,00;259,38;4,52;0,00;0,00;
0,00;0,00;259,70;4,52;0,00;0,00;
0,00;0,00;260,02;5,26;0,00;0,00;
0,00;0,00;260,33;6,04;0,00;0,00;
0,00;0,00;260,65;6,52;0,00;0,00;
0,00;0,00;260,97;6,82;0,00;0,00;
0,00;0,00;261,29;7,08;0,00;0,00;
0,00;0,00;261,62;7,30;0,00;0,00;
0,00;0,00;261,94;7,69;0,00;0,00;
0,00;0,00;262,25;7,74;0,00;0,00;
0,00;0,00;262,58;7,78;0,00;0,00;
0,00;0,00;262,90;7,86;0,00;0,00;
0,00;0,00;263,22;7,74;0,00;0,00;
0,00;0,00;263,54;7,83;0,00;0,00;
0,00;0,00;263,86;7,74;0,00;0,00;
0,00;0,00;264,18;7,78;0,00;0,00;
0,00;0,00;264,50;7,74;0,00;0,00;
0,00;0,00;264,82;7,83;0,00;0,00;
0,00;0,00;265,14;7,83;0,00;0,00;
0,00;0,00;265,46;7,83;0,00;0,00;
0,00;0,00;265,78;7,83;0,00;0,00;
0,00;0,00;266,10;7,74;0,00;0,00;
0,00;0,00;266,42;7,74;0,00;0,00;
0,00;0,00;266,74;7,69;0,00;0,00;
0,00;0,00;267,06;7,77;0,00;0,00;
0,00;0,00;267,38;7,65;0,00;0,00;
0,00;0,00;267,70;7,56;0,00;0,00;
0,00;0,00;268,02;7,69;0,00;0,00;
0,00;0,00;268,34;7,48;0,00;0,00;
0,00;0,00;268,66;7,26;0,00;0,00;
0,00;0,00;268,98;7,00;0,00;0,00;
0,00;0,00;269,30;6,91;0,00;0,00;
0,00;0,00;269,62;6,91;0,00;0,00;
0,00;0,00;269,94;6,69;0,00;0,00;
0,00;0,00;270,26;6,64;0,00;0,00;
0,00;0,00;270,58;6,61;0,00;0,00;
0,00;0,00;270,90;6,52;0,00;0,00;
0,00;0,00;271,22;6,43;0,00;0,00;
0,00;0,00;271,54;5,95;0,00;0,00;
0,00;0,00;271,86;5,91;0,00;0,00;
0,00;0,00;272,18;5,65;0,00;0,00;
0,00;0,00;272,50;5,56;0,00;0,00;
0,00;0,00;272,82;5,17;0,00;0,00;
0,00;0,00;273,14;4,65;0,00;0,00;
0,00;0,00;273,46;4,43;0,00;0,00;
0,00;0,00;273,78;4,43;0,00;0,00;
0,00;0,00;274,10;4,38;0,00;0,00;
0,00;0,00;274,42;4,22;0,00;0,00;
0,00;0,00;274,74;4,34;0,00;0,00;
0,00;0,00;275,06;4,13;0,00;0,00;
0,00;0,00;275,38;3,99;0,00;0,00;
0,00;0,00;275,70;4,13;0,00;0,00;
0,00;0,00;276,02;3,95;0,00;0,00;
0,00;0,00;276,34;3,99;0,00;0,00;
0,00;0,00;276,66;3,90;0,00;0,00;
0,00;0,00;276,98;4,17;0,00;0,00;
0,00;0,00;277,30;3,82;0,00;0,00;
0,00;0,00;277,62;4,69;0,00;0,00;
0,00;0,00;277,94;4,17;0,00;0,00;
0,00;0,00;278,26;4,04;0,00;0,00;
0,00;0,00;278,58;3,87;0,00;0,00;
0,00;0,00;278,90;4,04;0,00;0,00;
0,00;0,00;279,22;4,04;0,00;0,00;
0,00;0,00;279,54;3,90;0,00;0,00;
0,00;0,00;279,86;3,82;0,00;0,00;
0,00;0,00;280,18;3,69;0,00;0,00;
0,00;0,00;280,50;3,65;0,00;0,00;
0,00;0,00;280,82;3,65;0,00;0,00;
0,00;0,00;281,14;3,78;0,00;0,00;
0,00;0,00;281,46;3,69;0,00;0,00;
0,00;0,00;281,78;3,69;0,00;0,00;
0,00;0,00;282,10;3,56;0,00;0,00;
0,00;0,00;282,42;3,51;0,00;0,00;
0,00;0,00;282,74;3,34;0,00;0,00;
0,00;0,00;283,06;3,34;0,00;0,00;
0,00;0,00;283,38;3,12;0,00;0,00;
0,00;0,00;283,70;3,21;0,00;0,00;
0,00;0,00;284,02;3,21;0,00;0,00;
0,00;0,00;284,34;3,21;0,00;0,00;
0,00;0,00;284,66;3,26;0,00;0,00;
0,00;0,00;284,97;3,65;0,00;0,00;
0,00;0,00;285,30;3,43;0,00;0,00;
0,00;0,00;285,62;3,39;0,00;0,00;
0,00;0,00;285,94;3,34;0,00;0,00;
