25612;06.08.21 17:41:24;21;Avvicinamento Pressata Finale;force > max. force (8);20210802091038P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;1,12;0,08;0,00;0,00;
0,00;0,00;4,20;-0,01;0,00;0,00;
0,00;0,00;8,82;0,04;0,00;0,00;
0,00;0,00;13,62;0,04;0,00;0,00;
0,00;0,00;18,42;0,04;0,00;0,00;
0,00;0,00;28,02;-0,01;0,00;0,00;
0,00;0,00;32,82;0,04;0,00;0,00;
0,00;0,00;42,42;0,04;0,00;0,00;
0,00;0,00;47,22;0,04;0,00;0,00;
0,00;0,00;52,02;0,08;0,00;0,00;
0,00;0,00;56,82;0,04;0,00;0,00;
0,00;0,00;61,62;0,04;0,00;0,00;
0,00;0,00;71,22;0,08;0,00;0,00;
0,00;0,00;76,02;0,04;0,00;0,00;
0,00;0,00;80,82;0,04;0,00;0,00;
0,00;0,00;90,42;0,04;0,00;0,00;
0,00;0,00;95,22;-0,01;0,00;0,00;
0,00;0,00;109,62;-0,01;0,00;0,00;
0,00;0,00;114,42;0,04;0,00;0,00;
0,00;0,00;132,64;-0,09;0,00;0,00;
0,00;0,00;134,60;-0,09;0,00;0,00;
0,00;0,00;134,91;0,04;0,00;0,00;
0,00;0,00;135,56;0,04;0,00;0,00;
0,00;0,00;136,52;0,04;0,00;0,00;
0,00;0,00;136,84;0,04;0,00;0,00;
0,00;0,00;137,48;0,04;0,00;0,00;
0,00;0,00;138,12;0,04;0,00;0,00;
0,00;0,00;138,44;0,04;0,00;0,00;
0,00;0,00;139,08;0,04;0,00;0,00;
0,00;0,00;139,40;0,04;0,00;0,00;
0,00;0,00;139,72;0,08;0,00;0,00;
0,00;0,00;140,04;0,04;0,00;0,00;
0,00;0,00;141,32;0,04;0,00;0,00;
0,00;0,00;141,64;0,04;0,00;0,00;
0,00;0,00;142,28;0,04;0,00;0,00;
0,00;0,00;142,60;0,04;0,00;0,00;
0,00;0,00;142,92;0,04;0,00;0,00;
0,00;0,00;143,24;0,08;0,00;0,00;
0,00;0,00;143,56;0,12;0,00;0,00;
0,00;0,00;143,88;0,04;0,00;0,00;
0,00;0,00;144,20;0,04;0,00;0,00;
0,00;0,00;144,52;0,04;0,00;0,00;
0,00;0,00;144,84;0,04;0,00;0,00;
0,00;0,00;145,16;0,12;0,00;0,00;
0,00;0,00;145,48;0,12;0,00;0,00;
0,00;0,00;145,80;0,04;0,00;0,00;
0,00;0,00;146,12;0,08;0,00;0,00;
0,00;0,00;146,44;0,04;0,00;0,00;
0,00;0,00;146,76;0,08;0,00;0,00;
0,00;0,00;147,08;0,04;0,00;0,00;
0,00;0,00;147,40;0,04;0,00;0,00;
0,00;0,00;147,72;0,04;0,00;0,00;
0,00;0,00;148,36;0,04;0,00;0,00;
0,00;0,00;148,68;0,08;0,00;0,00;
0,00;0,00;149,00;0,04;0,00;0,00;
0,00;0,00;149,32;0,08;0,00;0,00;
0,00;0,00;149,64;0,08;0,00;0,00;
0,00;0,00;149,96;0,08;0,00;0,00;
0,00;0,00;150,28;0,08;0,00;0,00;
0,00;0,00;150,60;0,08;0,00;0,00;
0,00;0,00;150,92;0,12;0,00;0,00;
0,00;0,00;151,24;0,08;0,00;0,00;
0,00;0,00;151,56;0,17;0,00;0,00;
0,00;0,00;151,88;0,12;0,00;0,00;
0,00;0,00;152,20;0,04;0,00;0,00;
0,00;0,00;152,52;0,08;0,00;0,00;
0,00;0,00;152,84;0,04;0,00;0,00;
0,00;0,00;153,16;0,08;0,00;0,00;
0,00;0,00;153,48;0,08;0,00;0,00;
0,00;0,00;153,80;0,04;0,00;0,00;
0,00;0,00;154,12;0,04;0,00;0,00;
