69948;03.08.21 10:58:15;22;Avvicinamento pre-pressata pressata Fuori Ingombro;wrong softlimit spindle data (74);20210802091038P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;14,46;0,20;0,00;0,00;
0,00;0,00;15,01;0,16;0,00;0,00;
0,00;0,00;16,03;0,16;0,00;0,00;
0,00;0,00;17,56;0,16;0,00;0,00;
0,00;0,00;19,61;0,18;0,00;0,00;
0,00;0,00;22,17;0,18;0,00;0,00;
0,00;0,00;25,23;0,18;0,00;0,00;
0,00;0,00;28,35;0,15;0,00;0,00;
0,00;0,00;31,52;0,11;0,00;0,00;
0,00;0,00;34,74;0,11;0,00;0,00;
0,00;0,00;37,95;0,09;0,00;0,00;
0,00;0,00;41,15;0,09;0,00;0,00;
0,00;0,00;44,35;0,09;0,00;0,00;
0,00;0,00;47,55;0,13;0,00;0,00;
0,00;0,00;50,75;0,11;0,00;0,00;
0,00;0,00;53,95;0,09;0,00;0,00;
0,00;0,00;57,15;0,09;0,00;0,00;
0,00;0,00;60,35;0,06;0,00;0,00;
0,00;0,00;63,55;0,13;0,00;0,00;
0,00;0,00;66,75;0,11;0,00;0,00;
0,00;0,00;69,95;0,11;0,00;0,00;
0,00;0,00;73,15;0,11;0,00;0,00;
0,00;0,00;76,35;0,11;0,00;0,00;
0,00;0,00;79,55;0,13;0,00;0,00;
0,00;0,00;82,75;0,13;0,00;0,00;
0,00;0,00;85,95;0,11;0,00;0,00;
0,00;0,00;89,15;0,13;0,00;0,00;
0,00;0,00;92,35;0,06;0,00;0,00;
0,00;0,00;95,55;0,11;0,00;0,00;
0,00;0,00;98,75;0,11;0,00;0,00;
0,00;0,00;101,95;0,09;0,00;0,00;
0,00;0,00;105,15;0,09;0,00;0,00;
0,00;0,00;108,35;0,09;0,00;0,00;
0,00;0,00;111,55;0,09;0,00;0,00;
0,00;0,00;114,75;0,11;0,00;0,00;
