25602;06.08.21 17:08:55;21;Avvicinamento Pressata Finale;wrong softlimit spindle data (74);20210802091038P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;1,12;0,04;0,00;0,00;
0,00;0,00;4,20;0,08;0,00;0,00;
0,00;0,00;8,82;0,04;0,00;0,00;
0,00;0,00;13,62;0,08;0,00;0,00;
0,00;0,00;28,02;0,04;0,00;0,00;
0,00;0,00;42,42;0,04;0,00;0,00;
0,00;0,00;47,22;-0,04;0,00;0,00;
0,00;0,00;52,02;0,04;0,00;0,00;
0,00;0,00;56,82;0,04;0,00;0,00;
0,00;0,00;76,02;0,04;0,00;0,00;
0,00;0,00;95,22;0,04;0,00;0,00;
0,00;0,00;100,02;0,04;0,00;0,00;
0,00;0,00;114,42;0,04;0,00;0,00;
0,00;0,00;119,22;0,04;0,00;0,00;
0,00;0,00;133,62;0,08;0,00;0,00;
0,00;0,00;143,22;0,04;0,00;0,00;
0,00;0,00;148,02;0,08;0,00;0,00;
0,00;0,00;152,82;0,08;0,00;0,00;
0,00;0,00;157,62;0,04;0,00;0,00;
0,00;0,00;162,42;0,08;0,00;0,00;
0,00;0,00;167,22;0,08;0,00;0,00;
0,00;0,00;171,62;0,04;0,00;0,00;
0,00;0,00;174,22;-0,01;0,00;0,00;
0,00;0,00;174,86;0,08;0,00;0,00;
0,00;0,00;175,16;0,04;0,00;0,00;
0,00;0,00;175,80;0,04;0,00;0,00;
0,00;0,00;176,12;0,04;0,00;0,00;
0,00;0,00;176,44;0,04;0,00;0,00;
0,00;0,00;176,76;0,04;0,00;0,00;
0,00;0,00;177,08;0,04;0,00;0,00;
0,00;0,00;177,40;0,04;0,00;0,00;
0,00;0,00;178,04;0,12;0,00;0,00;
0,00;0,00;178,68;0,04;0,00;0,00;
0,00;0,00;179,00;0,08;0,00;0,00;
0,00;0,00;179,64;0,08;0,00;0,00;
0,00;0,00;179,96;0,04;0,00;0,00;
0,00;0,00;180,28;0,04;0,00;0,00;
0,00;0,00;180,60;0,04;0,00;0,00;
0,00;0,00;181,24;0,08;0,00;0,00;
0,00;0,00;181,88;0,08;0,00;0,00;
0,00;0,00;182,20;0,04;0,00;0,00;
0,00;0,00;182,52;0,08;0,00;0,00;
0,00;0,00;182,84;0,04;0,00;0,00;
0,00;0,00;183,16;0,08;0,00;0,00;
0,00;0,00;183,48;0,04;0,00;0,00;
0,00;0,00;183,80;0,04;0,00;0,00;
0,00;0,00;184,12;0,12;0,00;0,00;
0,00;0,00;184,44;0,08;0,00;0,00;
0,00;0,00;184,76;0,04;0,00;0,00;
0,00;0,00;185,08;0,08;0,00;0,00;
0,00;0,00;185,40;0,08;0,00;0,00;
0,00;0,00;185,72;0,04;0,00;0,00;
0,00;0,00;186,04;0,12;0,00;0,00;
0,00;0,00;186,68;0,04;0,00;0,00;
0,00;0,00;187,00;0,08;0,00;0,00;
0,00;0,00;187,64;0,04;0,00;0,00;
0,00;0,00;187,96;0,08;0,00;0,00;
0,00;0,00;188,28;0,12;0,00;0,00;
0,00;0,00;188,60;0,08;0,00;0,00;
0,00;0,00;188,92;0,08;0,00;0,00;
0,00;0,00;189,24;0,04;0,00;0,00;
0,00;0,00;189,56;0,08;0,00;0,00;
0,00;0,00;189,88;0,08;0,00;0,00;
0,00;0,00;190,20;0,04;0,00;0,00;
0,00;0,00;190,52;0,04;0,00;0,00;
0,00;0,00;191,16;0,04;0,00;0,00;
0,00;0,00;191,48;0,17;0,00;0,00;
0,00;0,00;191,80;0,04;0,00;0,00;
0,00;0,00;192,12;0,04;0,00;0,00;
0,00;0,00;192,44;0,08;0,00;0,00;
0,00;0,00;192,76;0,04;0,00;0,00;
0,00;0,00;193,08;0,04;0,00;0,00;
0,00;0,00;193,72;0,04;0,00;0,00;
0,00;0,00;194,04;0,04;0,00;0,00;
0,00;0,00;195,00;0,04;0,00;0,00;
0,00;0,00;195,64;0,04;0,00;0,00;
0,00;0,00;195,96;0,08;0,00;0,00;
0,00;0,00;196,28;0,04;0,00;0,00;
0,00;0,00;196,92;0,08;0,00;0,00;
0,00;0,00;197,24;0,04;0,00;0,00;
0,00;0,00;197,56;0,08;0,00;0,00;
0,00;0,00;197,88;0,08;0,00;0,00;
0,00;0,00;198,52;0,04;0,00;0,00;
0,00;0,00;198,84;0,08;0,00;0,00;
0,00;0,00;199,16;0,04;0,00;0,00;
0,00;0,00;199,48;0,12;0,00;0,00;
0,00;0,00;199,80;0,04;0,00;0,00;
0,00;0,00;200,12;0,04;0,00;0,00;
0,00;0,00;200,44;0,08;0,00;0,00;
0,00;0,00;200,76;0,08;0,00;0,00;
0,00;0,00;201,40;0,04;0,00;0,00;
0,00;0,00;201,72;0,04;0,00;0,00;
0,00;0,00;202,04;0,04;0,00;0,00;
0,00;0,00;202,68;0,08;0,00;0,00;
0,00;0,00;203,00;0,04;0,00;0,00;
0,00;0,00;203,32;0,04;0,00;0,00;
0,00;0,00;203,96;0,08;0,00;0,00;
0,00;0,00;204,28;0,08;0,00;0,00;
0,00;0,00;204,60;0,04;0,00;0,00;
0,00;0,00;204,92;0,17;0,00;0,00;
0,00;0,00;205,24;0,04;0,00;0,00;
0,00;0,00;205,56;0,12;0,00;0,00;
0,00;0,00;205,88;0,08;0,00;0,00;
0,00;0,00;206,20;0,04;0,00;0,00;
0,00;0,00;206,52;0,04;0,00;0,00;
0,00;0,00;207,48;0,04;0,00;0,00;
0,00;0,00;207,80;0,86;0,00;0,00;
0,00;0,00;208,10;3,56;0,00;0,00;
0,00;0,00;208,43;5,21;0,00;0,00;
0,00;0,00;208,49;5,74;0,00;0,00;
