69978;03.08.21 12:09:33;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210802091038P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;4,46;0,29;0,00;0,00;
0,00;0,00;5,01;0,23;0,00;0,00;
0,00;0,00;6,04;0,27;0,00;0,00;
0,00;0,00;7,56;0,27;0,00;0,00;
0,00;0,00;9,61;0,24;0,00;0,00;
0,00;0,00;12,18;0,23;0,00;0,00;
0,00;0,00;15,24;0,25;0,00;0,00;
0,00;0,00;18,35;0,20;0,00;0,00;
0,00;0,00;21,53;0,23;0,00;0,00;
0,00;0,00;24,75;0,18;0,00;0,00;
0,00;0,00;27,95;0,13;0,00;0,00;
0,00;0,00;31,15;0,16;0,00;0,00;
0,00;0,00;34,35;0,18;0,00;0,00;
0,00;0,00;37,55;0,20;0,00;0,00;
0,00;0,00;40,75;0,18;0,00;0,00;
0,00;0,00;43,95;0,18;0,00;0,00;
0,00;0,00;47,15;0,20;0,00;0,00;
0,00;0,00;50,35;0,16;0,00;0,00;
0,00;0,00;53,55;0,20;0,00;0,00;
0,00;0,00;56,75;0,18;0,00;0,00;
0,00;0,00;59,95;0,20;0,00;0,00;
0,00;0,00;63,15;0,18;0,00;0,00;
0,00;0,00;66,35;0,23;0,00;0,00;
0,00;0,00;69,55;0,23;0,00;0,00;
0,00;0,00;72,75;0,24;0,00;0,00;
0,00;0,00;75,95;0,20;0,00;0,00;
0,00;0,00;79,15;0,23;0,00;0,00;
0,00;0,00;82,35;0,20;0,00;0,00;
0,00;0,00;85,55;0,25;0,00;0,00;
0,00;0,00;88,75;0,23;0,00;0,00;
0,00;0,00;91,95;0,20;0,00;0,00;
0,00;0,00;95,15;0,18;0,00;0,00;
0,00;0,00;98,35;0,18;0,00;0,00;
0,00;0,00;101,55;0,23;0,00;0,00;
0,00;0,00;104,75;0,20;0,00;0,00;
0,00;0,00;107,95;0,18;0,00;0,00;
0,00;0,00;111,15;0,18;0,00;0,00;
0,00;0,00;114,35;0,16;0,00;0,00;
0,00;0,00;117,55;0,20;0,00;0,00;
0,00;0,00;120,75;0,20;0,00;0,00;
0,00;0,00;123,95;0,16;0,00;0,00;
0,00;0,00;127,15;0,20;0,00;0,00;
0,00;0,00;130,35;0,20;0,00;0,00;
0,00;0,00;133,55;0,20;0,00;0,00;
0,00;0,00;136,75;0,20;0,00;0,00;
0,00;0,00;139,95;0,20;0,00;0,00;
0,00;0,00;143,15;0,16;0,00;0,00;
0,00;0,00;146,12;0,09;0,00;0,00;
0,00;0,00;148,59;0,11;0,00;0,00;
0,00;0,00;150,63;0,07;0,00;0,00;
0,00;0,00;152,16;0,09;0,00;0,00;
0,00;0,00;153,20;0,07;0,00;0,00;
0,00;0,00;153,74;0,07;0,00;0,00;
0,00;0,00;153,87;0,13;0,00;0,00;
0,00;0,00;153,91;0,13;0,00;0,00;
0,00;0,00;153,92;0,18;0,00;0,00;
0,00;0,00;154,05;0,09;0,00;0,00;
0,00;0,00;154,16;0,11;0,00;0,00;
0,00;0,00;154,29;0,11;0,00;0,00;
0,00;0,00;154,42;0,13;0,00;0,00;
0,00;0,00;154,55;0,13;0,00;0,00;
0,00;0,00;154,68;0,11;0,00;0,00;
0,00;0,00;154,81;0,09;0,00;0,00;
0,00;0,00;154,94;0,11;0,00;0,00;
0,00;0,00;155,07;0,13;0,00;0,00;
0,00;0,00;155,19;0,16;0,00;0,00;
0,00;0,00;155,32;0,11;0,00;0,00;
0,00;0,00;155,45;0,16;0,00;0,00;
0,00;0,00;155,58;0,18;0,00;0,00;
0,00;0,00;155,71;0,11;0,00;0,00;
0,00;0,00;155,83;0,09;0,00;0,00;
0,00;0,00;155,96;0,11;0,00;0,00;
0,00;0,00;156,09;0,11;0,00;0,00;
0,00;0,00;156,22;0,16;0,00;0,00;
0,00;0,00;156,35;0,13;0,00;0,00;
0,00;0,00;156,47;0,13;0,00;0,00;
0,00;0,00;156,60;0,13;0,00;0,00;
0,00;0,00;156,73;0,16;0,00;0,00;
0,00;0,00;156,86;0,11;0,00;0,00;
0,00;0,00;156,99;0,13;0,00;0,00;
0,00;0,00;157,11;0,13;0,00;0,00;
0,00;0,00;157,24;0,09;0,00;0,00;
0,00;0,00;157,37;0,11;0,00;0,00;
0,00;0,00;157,50;0,13;0,00;0,00;
0,00;0,00;157,63;0,13;0,00;0,00;
0,00;0,00;157,75;0,18;0,00;0,00;
0,00;0,00;157,88;0,16;0,00;0,00;
0,00;0,00;158,01;0,11;0,00;0,00;
0,00;0,00;158,14;0,13;0,00;0,00;
0,00;0,00;158,27;0,16;0,00;0,00;
0,00;0,00;158,39;0,16;0,00;0,00;
0,00;0,00;158,52;0,11;0,00;0,00;
0,00;0,00;158,65;0,16;0,00;0,00;
0,00;0,00;158,78;0,13;0,00;0,00;
0,00;0,00;158,91;0,18;0,00;0,00;
0,00;0,00;159,03;0,13;0,00;0,00;
0,00;0,00;159,16;0,13;0,00;0,00;
0,00;0,00;159,29;0,13;0,00;0,00;
0,00;0,00;159,42;0,13;0,00;0,00;
0,00;0,00;159,55;0,18;0,00;0,00;
0,00;0,00;159,67;0,11;0,00;0,00;
0,00;0,00;159,80;0,16;0,00;0,00;
0,00;0,00;159,93;0,13;0,00;0,00;
0,00;0,00;160,06;0,11;0,00;0,00;
0,00;0,00;160,19;0,13;0,00;0,00;
0,00;0,00;160,31;0,11;0,00;0,00;
0,00;0,00;160,44;0,11;0,00;0,00;
0,00;0,00;160,57;0,16;0,00;0,00;
0,00;0,00;160,70;0,16;0,00;0,00;
0,00;0,00;160,83;0,11;0,00;0,00;
0,00;0,00;160,95;0,16;0,00;0,00;
0,00;0,00;161,08;0,16;0,00;0,00;
0,00;0,00;161,21;0,13;0,00;0,00;
0,00;0,00;161,34;0,20;0,00;0,00;
0,00;0,00;161,47;0,34;0,00;0,00;
0,00;0,00;161,59;0,34;0,00;0,00;
0,00;0,00;161,72;0,41;0,00;0,00;
0,00;0,00;161,85;0,56;0,00;0,00;
0,00;0,00;161,97;0,72;0,00;0,00;
0,00;0,00;162,10;0,86;0,00;0,00;
0,00;0,00;162,23;0,93;0,00;0,00;
0,00;0,00;162,36;1,00;0,00;0,00;
0,00;0,00;162,49;1,08;0,00;0,00;
0,00;0,00;162,61;1,13;0,00;0,00;
0,00;0,00;162,74;1,18;0,00;0,00;
0,00;0,00;162,87;1,31;0,00;0,00;
0,00;0,00;162,90;1,18;0,00;0,00;
0,00;0,00;162,90;1,18;0,00;0,00;
0,00;0,00;162,64;0,27;0,00;0,00;
0,00;0,00;161,85;0,02;0,00;0,00;
0,00;0,00;161,20;0,11;0,00;0,00;
0,00;0,00;161,01;0,07;0,00;0,00;
0,00;0,00;160,93;0,09;0,00;0,00;
0,00;0,00;160,90;0,07;0,00;0,00;
0,00;0,00;160,90;0,07;0,00;0,00;
0,00;0,00;160,99;0,09;0,00;0,00;
0,00;0,00;161,09;0,18;0,00;0,00;
0,00;0,00;161,21;0,13;0,00;0,00;
0,00;0,00;161,35;0,16;0,00;0,00;
0,00;0,00;161,48;0,11;0,00;0,00;
0,00;0,00;161,61;0,09;0,00;0,00;
0,00;0,00;161,74;0,09;0,00;0,00;
0,00;0,00;161,87;0,16;0,00;0,00;
0,00;0,00;162,00;0,13;0,00;0,00;
0,00;0,00;162,13;0,11;0,00;0,00;
0,00;0,00;162,26;0,11;0,00;0,00;
0,00;0,00;162,38;0,13;0,00;0,00;
0,00;0,00;162,51;0,18;0,00;0,00;
0,00;0,00;162,64;0,34;0,00;0,00;
0,00;0,00;162,77;0,36;0,00;0,00;
0,00;0,00;162,89;0,74;0,00;0,00;
0,00;0,00;163,02;1,45;0,00;0,00;
0,00;0,00;163,14;1,51;0,00;0,00;
0,00;0,00;163,27;1,54;0,00;0,00;
0,00;0,00;163,40;1,54;0,00;0,00;
0,00;0,00;163,53;1,63;0,00;0,00;
0,00;0,00;163,66;1,63;0,00;0,00;
0,00;0,00;163,79;1,67;0,00;0,00;
0,00;0,00;163,92;1,72;0,00;0,00;
0,00;0,00;164,05;1,72;0,00;0,00;
0,00;0,00;164,18;1,76;0,00;0,00;
0,00;0,00;164,30;1,81;0,00;0,00;
0,00;0,00;164,43;1,81;0,00;0,00;
0,00;0,00;164,56;1,81;0,00;0,00;
