25584;06.08.21 10:05:08;21;Avvicinamento Pressata Finale;force < min. force (9);20210802091038P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;0,04;0,00;0,00;
0,00;0,00;1,12;0,12;0,00;0,00;
0,00;0,00;4,20;0,08;0,00;0,00;
0,00;0,00;8,82;0,12;0,00;0,00;
0,00;0,00;13,62;0,08;0,00;0,00;
0,00;0,00;18,42;0,04;0,00;0,00;
0,00;0,00;23,22;0,08;0,00;0,00;
0,00;0,00;28,02;0,08;0,00;0,00;
0,00;0,00;32,82;0,12;0,00;0,00;
0,00;0,00;37,62;0,04;0,00;0,00;
0,00;0,00;42,42;0,08;0,00;0,00;
0,00;0,00;47,22;0,08;0,00;0,00;
0,00;0,00;56,82;0,04;0,00;0,00;
0,00;0,00;61,62;0,04;0,00;0,00;
0,00;0,00;71,22;0,08;0,00;0,00;
0,00;0,00;76,02;0,08;0,00;0,00;
0,00;0,00;85,62;0,04;0,00;0,00;
0,00;0,00;90,42;0,04;0,00;0,00;
0,00;0,00;95,22;0,04;0,00;0,00;
0,00;0,00;100,02;0,04;0,00;0,00;
0,00;0,00;104,82;0,04;0,00;0,00;
0,00;0,00;109,62;0,04;0,00;0,00;
0,00;0,00;114,42;0,04;0,00;0,00;
0,00;0,00;119,22;0,04;0,00;0,00;
0,00;0,00;124,02;0,12;0,00;0,00;
0,00;0,00;128,82;0,08;0,00;0,00;
0,00;0,00;133,62;0,04;0,00;0,00;
0,00;0,00;138,42;0,04;0,00;0,00;
0,00;0,00;143,22;0,04;0,00;0,00;
0,00;0,00;148,02;0,04;0,00;0,00;
0,00;0,00;152,82;0,08;0,00;0,00;
0,00;0,00;157,62;0,04;0,00;0,00;
0,00;0,00;162,42;0,04;0,00;0,00;
0,00;0,00;167,22;0,08;0,00;0,00;
0,00;0,00;172,02;0,08;0,00;0,00;
0,00;0,00;176,05;0,04;0,00;0,00;
0,00;0,00;178,21;0,04;0,00;0,00;
0,00;0,00;178,59;0,08;0,00;0,00;
0,00;0,00;178,60;0,04;0,00;0,00;
0,00;0,00;178,90;0,04;0,00;0,00;
0,00;0,00;179,22;0,04;0,00;0,00;
0,00;0,00;179,54;0,04;0,00;0,00;
0,00;0,00;179,86;0,04;0,00;0,00;
0,00;0,00;180,18;0,04;0,00;0,00;
0,00;0,00;180,50;0,04;0,00;0,00;
0,00;0,00;180,82;0,04;0,00;0,00;
0,00;0,00;181,14;0,04;0,00;0,00;
0,00;0,00;181,46;0,08;0,00;0,00;
0,00;0,00;181,78;0,04;0,00;0,00;
0,00;0,00;182,10;0,04;0,00;0,00;
0,00;0,00;182,42;0,04;0,00;0,00;
0,00;0,00;182,74;0,04;0,00;0,00;
0,00;0,00;183,06;0,04;0,00;0,00;
0,00;0,00;183,38;0,08;0,00;0,00;
0,00;0,00;183,70;0,04;0,00;0,00;
0,00;0,00;184,02;0,04;0,00;0,00;
0,00;0,00;184,34;0,08;0,00;0,00;
0,00;0,00;184,66;0,08;0,00;0,00;
0,00;0,00;184,98;0,12;0,00;0,00;
0,00;0,00;185,30;0,04;0,00;0,00;
0,00;0,00;185,62;0,12;0,00;0,00;
