25599;06.08.21 17:03:51;21;Avvicinamento Pressata Finale;wrong softlimit spindle data (74);20210802091038P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;177,16;0,04;0,00;0,00;
0,00;0,00;177,48;0,04;0,00;0,00;
0,00;0,00;178,12;0,08;0,00;0,00;
0,00;0,00;178,44;0,04;0,00;0,00;
0,00;0,00;178,76;0,08;0,00;0,00;
0,00;0,00;179,08;0,04;0,00;0,00;
0,00;0,00;180,04;0,04;0,00;0,00;
0,00;0,00;180,36;0,04;0,00;0,00;
0,00;0,00;180,68;0,08;0,00;0,00;
0,00;0,00;181,00;0,04;0,00;0,00;
0,00;0,00;181,32;0,04;0,00;0,00;
0,00;0,00;181,64;0,12;0,00;0,00;
0,00;0,00;181,96;0,04;0,00;0,00;
0,00;0,00;182,28;0,04;0,00;0,00;
0,00;0,00;182,60;0,08;0,00;0,00;
0,00;0,00;182,92;0,04;0,00;0,00;
0,00;0,00;183,56;0,04;0,00;0,00;
0,00;0,00;184,52;0,08;0,00;0,00;
0,00;0,00;184,84;0,08;0,00;0,00;
0,00;0,00;185,16;0,04;0,00;0,00;
0,00;0,00;185,48;0,08;0,00;0,00;
0,00;0,00;185,80;0,08;0,00;0,00;
0,00;0,00;186,12;0,08;0,00;0,00;
0,00;0,00;186,44;0,04;0,00;0,00;
0,00;0,00;186,76;0,04;0,00;0,00;
0,00;0,00;187,08;0,04;0,00;0,00;
0,00;0,00;187,40;0,04;0,00;0,00;
0,00;0,00;187,72;0,04;0,00;0,00;
0,00;0,00;189,00;0,08;0,00;0,00;
0,00;0,00;189,32;0,04;0,00;0,00;
0,00;0,00;189,96;0,04;0,00;0,00;
0,00;0,00;190,28;0,04;0,00;0,00;
0,00;0,00;190,92;0,04;0,00;0,00;
0,00;0,00;191,24;0,12;0,00;0,00;
0,00;0,00;191,56;0,08;0,00;0,00;
0,00;0,00;191,88;0,04;0,00;0,00;
0,00;0,00;192,20;0,08;0,00;0,00;
0,00;0,00;192,84;0,08;0,00;0,00;
0,00;0,00;193,16;0,04;0,00;0,00;
0,00;0,00;193,48;0,04;0,00;0,00;
0,00;0,00;193,80;0,04;0,00;0,00;
0,00;0,00;194,12;0,04;0,00;0,00;
0,00;0,00;194,44;0,08;0,00;0,00;
0,00;0,00;194,76;0,04;0,00;0,00;
0,00;0,00;195,08;0,08;0,00;0,00;
0,00;0,00;195,40;0,08;0,00;0,00;
0,00;0,00;195,72;0,04;0,00;0,00;
0,00;0,00;196,04;0,04;0,00;0,00;
0,00;0,00;196,36;0,04;0,00;0,00;
0,00;0,00;196,68;0,04;0,00;0,00;
0,00;0,00;197,00;0,04;0,00;0,00;
0,00;0,00;197,64;0,04;0,00;0,00;
0,00;0,00;197,96;0,04;0,00;0,00;
0,00;0,00;198,28;0,08;0,00;0,00;
0,00;0,00;198,60;0,04;0,00;0,00;
0,00;0,00;198,92;0,04;0,00;0,00;
0,00;0,00;199,24;0,04;0,00;0,00;
0,00;0,00;199,56;0,08;0,00;0,00;
0,00;0,00;200,20;0,08;0,00;0,00;
0,00;0,00;200,52;0,04;0,00;0,00;
0,00;0,00;200,84;0,08;0,00;0,00;
0,00;0,00;201,16;0,04;0,00;0,00;
0,00;0,00;201,48;0,04;0,00;0,00;
0,00;0,00;201,80;0,08;0,00;0,00;
0,00;0,00;202,12;0,12;0,00;0,00;
0,00;0,00;203,08;0,12;0,00;0,00;
0,00;0,00;204,04;0,08;0,00;0,00;
0,00;0,00;204,36;0,08;0,00;0,00;
0,00;0,00;204,68;0,04;0,00;0,00;
0,00;0,00;205,64;0,04;0,00;0,00;
0,00;0,00;206,28;0,04;0,00;0,00;
0,00;0,00;206,60;0,12;0,00;0,00;
0,00;0,00;206,92;0,04;0,00;0,00;
0,00;0,00;207,24;0,08;0,00;0,00;
0,00;0,00;207,56;0,04;0,00;0,00;
0,00;0,00;207,88;0,04;0,00;0,00;
0,00;0,00;208,20;0,04;0,00;0,00;
0,00;0,00;208,52;0,08;0,00;0,00;
0,00;0,00;209,16;0,04;0,00;0,00;
0,00;0,00;209,48;0,04;0,00;0,00;
0,00;0,00;209,80;0,04;0,00;0,00;
0,00;0,00;210,12;0,08;0,00;0,00;
0,00;0,00;210,44;0,04;0,00;0,00;
0,00;0,00;210,76;0,04;0,00;0,00;
0,00;0,00;211,08;0,08;0,00;0,00;
0,00;0,00;211,40;0,04;0,00;0,00;
0,00;0,00;211,72;0,08;0,00;0,00;
0,00;0,00;212,04;0,08;0,00;0,00;
0,00;0,00;212,36;0,04;0,00;0,00;
0,00;0,00;212,68;0,04;0,00;0,00;
0,00;0,00;213,00;0,04;0,00;0,00;
0,00;0,00;213,64;0,08;0,00;0,00;
0,00;0,00;213,96;0,08;0,00;0,00;
0,00;0,00;214,60;0,08;0,00;0,00;
0,00;0,00;215,24;0,08;0,00;0,00;
0,00;0,00;215,56;0,04;0,00;0,00;
0,00;0,00;215,88;0,04;0,00;0,00;
0,00;0,00;216,20;0,04;0,00;0,00;
0,00;0,00;216,84;0,08;0,00;0,00;
0,00;0,00;217,16;0,04;0,00;0,00;
0,00;0,00;217,48;0,08;0,00;0,00;
0,00;0,00;217,80;0,08;0,00;0,00;
0,00;0,00;218,12;0,08;0,00;0,00;
0,00;0,00;218,44;0,08;0,00;0,00;
0,00;0,00;218,76;0,08;0,00;0,00;
0,00;0,00;219,08;0,08;0,00;0,00;
0,00;0,00;219,40;0,04;0,00;0,00;
0,00;0,00;219,72;0,04;0,00;0,00;
0,00;0,00;220,04;0,12;0,00;0,00;
0,00;0,00;220,36;0,08;0,00;0,00;
0,00;0,00;220,68;0,04;0,00;0,00;
0,00;0,00;221,00;0,08;0,00;0,00;
0,00;0,00;221,32;0,04;0,00;0,00;
0,00;0,00;221,64;0,04;0,00;0,00;
0,00;0,00;221,96;0,08;0,00;0,00;
0,00;0,00;222,28;0,04;0,00;0,00;
0,00;0,00;223,24;0,08;0,00;0,00;
0,00;0,00;223,56;0,04;0,00;0,00;
0,00;0,00;223,88;0,04;0,00;0,00;
0,00;0,00;224,20;0,12;0,00;0,00;
0,00;0,00;224,52;0,04;0,00;0,00;
0,00;0,00;225,16;0,04;0,00;0,00;
0,00;0,00;225,48;0,12;0,00;0,00;
0,00;0,00;225,80;0,04;0,00;0,00;
0,00;0,00;226,12;0,08;0,00;0,00;
0,00;0,00;226,44;0,04;0,00;0,00;
0,00;0,00;226,76;0,17;0,00;0,00;
0,00;0,00;227,08;0,21;0,00;0,00;
0,00;0,00;227,40;0,38;0,00;0,00;
0,00;0,00;227,72;0,60;0,00;0,00;
0,00;0,00;228,03;1,52;0,00;0,00;
0,00;0,00;228,33;5,47;0,00;0,00;
0,00;0,00;228,49;6,87;0,00;0,00;
