25609;06.08.21 17:27:21;21;Avvicinamento Pressata Finale;wrong softlimit spindle data (74);20210802091038P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;1,12;0,04;0,00;0,00;
0,00;0,00;4,20;-0,05;0,00;0,00;
0,00;0,00;8,82;-0,01;0,00;0,00;
0,00;0,00;13,62;0,04;0,00;0,00;
0,00;0,00;28,02;0,04;0,00;0,00;
0,00;0,00;32,82;0,04;0,00;0,00;
0,00;0,00;37,62;0,04;0,00;0,00;
0,00;0,00;42,42;0,04;0,00;0,00;
0,00;0,00;47,22;-0,01;0,00;0,00;
0,00;0,00;56,82;0,04;0,00;0,00;
0,00;0,00;61,62;0,04;0,00;0,00;
0,00;0,00;90,42;0,04;0,00;0,00;
0,00;0,00;95,22;0,04;0,00;0,00;
0,00;0,00;104,82;-0,04;0,00;0,00;
0,00;0,00;109,62;0,04;0,00;0,00;
0,00;0,00;114,42;0,04;0,00;0,00;
0,00;0,00;133,62;0,04;0,00;0,00;
0,00;0,00;138,42;0,04;0,00;0,00;
0,00;0,00;143,22;0,04;0,00;0,00;
0,00;0,00;148,02;0,04;0,00;0,00;
0,00;0,00;152,82;0,08;0,00;0,00;
0,00;0,00;157,62;0,12;0,00;0,00;
0,00;0,00;162,42;0,04;0,00;0,00;
0,00;0,00;167,22;0,08;0,00;0,00;
0,00;0,00;171,62;-0,01;0,00;0,00;
0,00;0,00;174,22;-0,01;0,00;0,00;
0,00;0,00;174,86;0,08;0,00;0,00;
0,00;0,00;175,16;0,04;0,00;0,00;
0,00;0,00;175,48;0,04;0,00;0,00;
0,00;0,00;176,76;0,04;0,00;0,00;
0,00;0,00;177,08;0,04;0,00;0,00;
0,00;0,00;177,72;0,08;0,00;0,00;
0,00;0,00;178,36;0,04;0,00;0,00;
0,00;0,00;178,68;0,08;0,00;0,00;
0,00;0,00;179,00;0,04;0,00;0,00;
0,00;0,00;179,32;0,08;0,00;0,00;
0,00;0,00;179,96;0,04;0,00;0,00;
0,00;0,00;180,28;0,08;0,00;0,00;
0,00;0,00;180,60;0,08;0,00;0,00;
0,00;0,00;181,56;0,04;0,00;0,00;
0,00;0,00;181,88;0,04;0,00;0,00;
0,00;0,00;182,20;0,08;0,00;0,00;
0,00;0,00;182,52;0,04;0,00;0,00;
0,00;0,00;182,84;0,04;0,00;0,00;
0,00;0,00;183,16;0,08;0,00;0,00;
0,00;0,00;183,48;0,04;0,00;0,00;
0,00;0,00;184,12;0,08;0,00;0,00;
0,00;0,00;184,76;0,08;0,00;0,00;
0,00;0,00;185,08;0,04;0,00;0,00;
0,00;0,00;185,40;0,08;0,00;0,00;
0,00;0,00;185,72;0,04;0,00;0,00;
0,00;0,00;186,04;0,08;0,00;0,00;
0,00;0,00;186,68;0,04;0,00;0,00;
0,00;0,00;187,00;0,04;0,00;0,00;
0,00;0,00;187,32;0,08;0,00;0,00;
0,00;0,00;187,64;0,08;0,00;0,00;
0,00;0,00;188,28;0,04;0,00;0,00;
0,00;0,00;188,60;0,04;0,00;0,00;
0,00;0,00;188,92;0,12;0,00;0,00;
0,00;0,00;189,24;0,04;0,00;0,00;
0,00;0,00;189,56;0,04;0,00;0,00;
0,00;0,00;189,88;0,04;0,00;0,00;
0,00;0,00;190,20;0,08;0,00;0,00;
0,00;0,00;190,52;0,08;0,00;0,00;
0,00;0,00;190,84;0,30;0,00;0,00;
0,00;0,00;191,15;0,95;0,00;0,00;
0,00;0,00;191,47;1,17;0,00;0,00;
0,00;0,00;191,80;1,22;0,00;0,00;
0,00;0,00;192,12;1,22;0,00;0,00;
0,00;0,00;192,44;1,30;0,00;0,00;
0,00;0,00;192,76;1,39;0,00;0,00;
0,00;0,00;193,08;1,34;0,00;0,00;
0,00;0,00;193,40;1,43;0,00;0,00;
0,00;0,00;193,72;1,52;0,00;0,00;
0,00;0,00;194,04;1,57;0,00;0,00;
0,00;0,00;194,36;1,57;0,00;0,00;
0,00;0,00;194,68;1,65;0,00;0,00;
0,00;0,00;195,00;1,65;0,00;0,00;
0,00;0,00;195,32;1,73;0,00;0,00;
0,00;0,00;195,64;1,69;0,00;0,00;
0,00;0,00;195,96;1,73;0,00;0,00;
0,00;0,00;196,28;1,82;0,00;0,00;
0,00;0,00;196,60;1,87;0,00;0,00;
0,00;0,00;196,92;1,91;0,00;0,00;
0,00;0,00;197,24;1,91;0,00;0,00;
0,00;0,00;197,56;1,99;0,00;0,00;
0,00;0,00;197,88;2,08;0,00;0,00;
0,00;0,00;198,20;2,13;0,00;0,00;
0,00;0,00;198,52;2,21;0,00;0,00;
0,00;0,00;198,84;2,17;0,00;0,00;
0,00;0,00;199,16;2,21;0,00;0,00;
0,00;0,00;199,48;2,17;0,00;0,00;
0,00;0,00;199,80;2,26;0,00;0,00;
0,00;0,00;200,12;2,35;0,00;0,00;
0,00;0,00;200,44;2,38;0,00;0,00;
0,00;0,00;200,76;2,38;0,00;0,00;
0,00;0,00;201,08;2,47;0,00;0,00;
0,00;0,00;201,40;2,47;0,00;0,00;
0,00;0,00;201,72;2,52;0,00;0,00;
0,00;0,00;202,04;2,52;0,00;0,00;
0,00;0,00;202,36;2,52;0,00;0,00;
0,00;0,00;202,68;2,52;0,00;0,00;
0,00;0,00;203,00;2,52;0,00;0,00;
0,00;0,00;203,32;2,43;0,00;0,00;
0,00;0,00;203,64;2,44;0,00;0,00;
0,00;0,00;203,96;2,52;0,00;0,00;
0,00;0,00;204,28;2,47;0,00;0,00;
0,00;0,00;204,60;2,61;0,00;0,00;
0,00;0,00;204,92;2,61;0,00;0,00;
0,00;0,00;205,24;2,61;0,00;0,00;
0,00;0,00;205,56;2,70;0,00;0,00;
0,00;0,00;205,88;2,70;0,00;0,00;
0,00;0,00;206,20;2,61;0,00;0,00;
0,00;0,00;206,52;2,70;0,00;0,00;
0,00;0,00;206,84;2,65;0,00;0,00;
0,00;0,00;207,16;2,56;0,00;0,00;
0,00;0,00;207,48;2,44;0,00;0,00;
0,00;0,00;207,71;2,52;0,00;0,00;
