11006;24.05.21 15:16:16;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20210524112924A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,90;-0,02;0,00;0,00;
0,00;0,00;39,96;0,14;0,00;0,00;
0,00;0,00;40,50;0,07;0,00;0,00;
0,00;0,00;41,52;0,14;0,00;0,00;
0,00;0,00;43,05;0,18;0,00;0,00;
0,00;0,00;45,10;0,09;0,00;0,00;
0,00;0,00;47,66;0,09;0,00;0,00;
0,00;0,00;50,70;0,18;0,00;0,00;
0,00;0,00;53,85;0,11;0,00;0,00;
0,00;0,00;57,01;0,11;0,00;0,00;
0,00;0,00;60,26;0,05;0,00;0,00;
0,00;0,00;63,43;0,05;0,00;0,00;
0,00;0,00;66,65;0,14;0,00;0,00;
0,00;0,00;69,84;0,07;0,00;0,00;
0,00;0,00;73,05;0,14;0,00;0,00;
0,00;0,00;76,25;0,09;0,00;0,00;
0,00;0,00;79,45;0,07;0,00;0,00;
0,00;0,00;82,65;0,09;0,00;0,00;
0,00;0,00;85,85;0,05;0,00;0,00;
0,00;0,00;89,05;0,11;0,00;0,00;
0,00;0,00;92,25;0,09;0,00;0,00;
0,00;0,00;95,45;0,07;0,00;0,00;
0,00;0,00;98,65;0,09;0,00;0,00;
0,00;0,00;101,85;0,11;0,00;0,00;
0,00;0,00;105,05;0,09;0,00;0,00;
0,00;0,00;108,25;0,11;0,00;0,00;
0,00;0,00;114,65;0,11;0,00;0,00;
0,00;0,00;117,85;0,05;0,00;0,00;
0,00;0,00;121,05;0,14;0,00;0,00;
0,00;0,00;124,25;0,14;0,00;0,00;
0,00;0,00;127,45;0,07;0,00;0,00;
0,00;0,00;130,65;0,09;0,00;0,00;
0,00;0,00;133,85;0,07;0,00;0,00;
0,00;0,00;137,05;0,14;0,00;0,00;
0,00;0,00;140,25;0,11;0,00;0,00;
0,00;0,00;143,45;0,02;0,00;0,00;
0,00;0,00;146,65;0,11;0,00;0,00;
0,00;0,00;149,85;0,07;0,00;0,00;
0,00;0,00;153,05;0,11;0,00;0,00;
0,00;0,00;156,25;0,11;0,00;0,00;
0,00;0,00;159,42;0,02;0,00;0,00;
0,00;0,00;162,10;0,05;0,00;0,00;
0,00;0,00;166,11;-0,05;0,00;0,00;
0,00;0,00;167,36;-0,05;0,00;0,00;
0,00;0,00;168,10;-0,09;0,00;0,00;
0,00;0,00;168,42;-0,02;0,00;0,00;
0,00;0,00;168,43;0,05;0,00;0,00;
0,00;0,00;168,58;0,02;0,00;0,00;
0,00;0,00;168,73;0,02;0,00;0,00;
0,00;0,00;168,89;0,05;0,00;0,00;
0,00;0,00;169,05;0,05;0,00;0,00;
0,00;0,00;169,21;0,02;0,00;0,00;
0,00;0,00;169,37;0,23;0,00;0,00;
0,00;0,00;169,53;0,23;0,00;0,00;
0,00;0,00;169,69;1,47;0,00;0,00;
0,00;0,00;169,82;4,23;0,00;0,00;
0,00;0,00;169,89;5,29;0,00;0,00;
0,00;0,00;169,91;5,69;0,00;0,00;
0,00;0,00;169,92;5,74;0,00;0,00;
0,00;0,00;169,92;5,81;0,00;0,00;
0,00;0,00;169,92;5,83;0,00;0,00;
0,00;0,00;169,93;5,83;0,00;0,00;
0,00;0,00;169,93;5,88;0,00;0,00;
0,00;0,00;169,93;5,92;0,00;0,00;
0,00;0,00;169,93;5,92;0,00;0,00;
0,00;0,00;169,93;5,92;0,00;0,00;
0,00;0,00;169,94;5,92;0,00;0,00;
0,00;0,00;169,94;5,92;0,00;0,00;
0,00;0,00;169,94;5,92;0,00;0,00;
