69324;29.07.21 09:38:46;22;Avvicinamento pre-pressata pressata Fuori Ingombro;start interrupted (14);20210728090120P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;2,70;-0,02;0,00;0,00;
0,00;0,00;2,76;0,18;0,00;0,00;
0,00;0,00;3,31;0,07;0,00;0,00;
0,00;0,00;4,34;0,09;0,00;0,00;
0,00;0,00;5,87;0,09;0,00;0,00;
0,00;0,00;7,91;0,13;0,00;0,00;
0,00;0,00;10,47;0,13;0,00;0,00;
0,00;0,00;13,53;0,13;0,00;0,00;
0,00;0,00;16,65;0,06;0,00;0,00;
0,00;0,00;19,83;0,06;0,00;0,00;
0,00;0,00;23,05;0,05;0,00;0,00;
0,00;0,00;26,25;0,07;0,00;0,00;
0,00;0,00;29,45;0,05;0,00;0,00;
0,00;0,00;32,65;0,07;0,00;0,00;
