76846;09.09.21 10:00:07;21;Avvicinamento Pressata Fuori Ingombro;start interrupted (14);20210908141303P0050;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;2,18;0,20;0,00;0,00;
0,00;0,00;2,97;0,16;0,00;0,00;
