41118;19.05.21 14:02:09;22;Avvicinamento pre-pressata pressata Fuori Ingombro;start interrupted (14);20210519083206P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,05;0,16;0,00;0,00;
0,00;0,00;0,51;0,08;0,00;0,00;
0,00;0,00;1,28;0,16;0,00;0,00;
0,00;0,00;2,43;0,08;0,00;0,00;
0,00;0,00;3,98;0,16;0,00;0,00;
0,00;0,00;5,90;0,23;0,00;0,00;
0,00;0,00;8,20;0,23;0,00;0,00;
0,00;0,00;10,54;0,16;0,00;0,00;
0,00;0,00;12,93;0,31;0,00;0,00;
0,00;0,00;15,34;0,31;0,00;0,00;
0,00;0,00;17,74;0,16;0,00;0,00;
0,00;0,00;20,15;0,23;0,00;0,00;
0,00;0,00;22,54;0,16;0,00;0,00;
