16494;07.01.21 14:18:52;21;Avvicinamento Pressata Fuori Ingombro;force < min. force (9);20210105141911P0038;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;47,54;0,08;0,00;0,00;
0,00;0,00;48,15;0,23;0,00;0,00;
0,00;0,00;49,10;0,22;0,00;0,00;
0,00;0,00;50,45;0,22;0,00;0,00;
0,00;0,00;52,19;0,16;0,00;0,00;
0,00;0,00;54,30;0,30;0,00;0,00;
0,00;0,00;56,67;0,16;0,00;0,00;
0,00;0,00;59,03;0,14;0,00;0,00;
0,00;0,00;61,44;0,16;0,00;0,00;
0,00;0,00;63,84;0,08;0,00;0,00;
0,00;0,00;66,25;0,16;0,00;0,00;
0,00;0,00;68,64;0,08;0,00;0,00;
0,00;0,00;71,05;0,08;0,00;0,00;
0,00;0,00;73,44;0,16;0,00;0,00;
0,00;0,00;75,85;0,16;0,00;0,00;
0,00;0,00;78,25;0,16;0,00;0,00;
0,00;0,00;80,64;0,08;0,00;0,00;
0,00;0,00;83,05;0,08;0,00;0,00;
0,00;0,00;85,45;0,08;0,00;0,00;
0,00;0,00;87,85;0,16;0,00;0,00;
0,00;0,00;90,25;0,16;0,00;0,00;
0,00;0,00;92,64;0,16;0,00;0,00;
0,00;0,00;95,05;0,08;0,00;0,00;
0,00;0,00;97,45;0,16;0,00;0,00;
0,00;0,00;99,85;0,08;0,00;0,00;
0,00;0,00;102,25;0,16;0,00;0,00;
0,00;0,00;104,64;0,16;0,00;0,00;
0,00;0,00;107,05;0,16;0,00;0,00;
0,00;0,00;109,45;0,16;0,00;0,00;
0,00;0,00;111,85;0,08;0,00;0,00;
0,00;0,00;114,25;0,08;0,00;0,00;
0,00;0,00;116,64;0,08;0,00;0,00;
0,00;0,00;119,05;0,08;0,00;0,00;
0,00;0,00;121,45;0,16;0,00;0,00;
0,00;0,00;123,85;0,08;0,00;0,00;
0,00;0,00;126,25;0,08;0,00;0,00;
0,00;0,00;128,64;0,08;0,00;0,00;
0,00;0,00;131,05;0,08;0,00;0,00;
0,00;0,00;133,45;0,08;0,00;0,00;
0,00;0,00;140,64;0,08;0,00;0,00;
0,00;0,00;143,05;0,08;0,00;0,00;
0,00;0,00;145,45;0,16;0,00;0,00;
0,00;0,00;155,05;0,08;0,00;0,00;
0,00;0,00;157,45;0,08;0,00;0,00;
0,00;0,00;159,85;0,08;0,00;0,00;
0,00;0,00;162,25;0,16;0,00;0,00;
0,00;0,00;164,64;0,08;0,00;0,00;
0,00;0,00;167,05;0,08;0,00;0,00;
0,00;0,00;169,45;0,16;0,00;0,00;
0,00;0,00;171,85;0,23;0,00;0,00;
0,00;0,00;174,25;0,16;0,00;0,00;
0,00;0,00;176,64;0,08;0,00;0,00;
0,00;0,00;179,05;0,16;0,00;0,00;
0,00;0,00;181,45;0,16;0,00;0,00;
0,00;0,00;183,85;0,08;0,00;0,00;
0,00;0,00;186,25;0,16;0,00;0,00;
0,00;0,00;188,64;0,16;0,00;0,00;
0,00;0,00;191,05;0,16;0,00;0,00;
0,00;0,00;193,30;0,08;0,00;0,00;
0,00;0,00;195,19;0,16;0,00;0,00;
0,00;0,00;196,76;0,08;0,00;0,00;
0,00;0,00;197,95;0,08;0,00;0,00;
0,00;0,00;199,51;-0,08;0,00;0,00;
0,00;0,00;201,56;0,08;0,00;0,00;
0,00;0,00;204,28;0,08;0,00;0,00;
0,00;0,00;205,08;0,08;0,00;0,00;
0,00;0,00;205,56;0,16;0,00;0,00;
0,00;0,00;205,72;0,16;0,00;0,00;
0,00;0,00;205,88;0,16;0,00;0,00;
0,00;0,00;206,04;0,16;0,00;0,00;
0,00;0,00;206,20;0,16;0,00;0,00;
0,00;0,00;206,36;0,16;0,00;0,00;
0,00;0,00;206,52;0,16;0,00;0,00;
0,00;0,00;206,68;0,16;0,00;0,00;
0,00;0,00;206,84;0,08;0,00;0,00;
0,00;0,00;207,00;0,23;0,00;0,00;
0,00;0,00;207,16;0,16;0,00;0,00;
0,00;0,00;207,20;0,16;0,00;0,00;
0,00;0,00;207,20;0,23;0,00;0,00;
0,00;0,00;207,20;0,16;0,00;0,00;
0,00;0,00;207,20;0,08;0,00;0,00;
0,00;0,00;207,20;0,08;0,00;0,00;
0,00;0,00;207,20;0,16;0,00;0,00;
