22982;07.07.21 14:48:09;21;Avvicinamento Pressata Finale;position < min position (11);20210707112113P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;30,22;0,08;0,00;0,00;
0,00;0,00;33,30;-0,01;0,00;0,00;
0,00;0,00;37,92;0,04;0,00;0,00;
0,00;0,00;47,52;-0,04;0,00;0,00;
0,00;0,00;52,32;-0,04;0,00;0,00;
0,00;0,00;57,12;0,04;0,00;0,00;
0,00;0,00;71,52;-0,04;0,00;0,00;
0,00;0,00;81,12;0,04;0,00;0,00;
0,00;0,00;85,92;-0,04;0,00;0,00;
0,00;0,00;90,72;-0,04;0,00;0,00;
0,00;0,00;95,52;-0,01;0,00;0,00;
0,00;0,00;114,72;-0,04;0,00;0,00;
0,00;0,00;133,92;-0,09;0,00;0,00;
0,00;0,00;143,52;-0,01;0,00;0,00;
0,00;0,00;153,12;-0,04;0,00;0,00;
0,00;0,00;157,92;-0,04;0,00;0,00;
0,00;0,00;162,72;-0,04;0,00;0,00;
0,00;0,00;172,32;-0,04;0,00;0,00;
0,00;0,00;186,72;-0,04;0,00;0,00;
0,00;0,00;215,52;0,04;0,00;0,00;
0,00;0,00;220,32;0,04;0,00;0,00;
0,00;0,00;225,12;0,04;0,00;0,00;
0,00;0,00;234,72;0,04;0,00;0,00;
0,00;0,00;249,12;0,04;0,00;0,00;
0,00;0,00;253,92;0,04;0,00;0,00;
0,00;0,00;258,72;0,04;0,00;0,00;
0,00;0,00;268,32;0,04;0,00;0,00;
0,00;0,00;273,12;0,04;0,00;0,00;
0,00;0,00;282,72;0,04;0,00;0,00;
0,00;0,00;292,32;-0,04;0,00;0,00;
0,00;0,00;306,41;-0,04;0,00;0,00;
0,00;0,00;309,15;-0,09;0,00;0,00;
0,00;0,00;309,94;-0,04;0,00;0,00;
0,00;0,00;310,21;-0,01;0,00;0,00;
0,00;0,00;311,16;0,04;0,00;0,00;
0,00;0,00;314,04;0,08;0,00;0,00;
0,00;0,00;314,68;0,04;0,00;0,00;
0,00;0,00;315,00;0,17;0,00;0,00;
0,00;0,00;315,32;0,17;0,00;0,00;
0,00;0,00;315,64;0,17;0,00;0,00;
0,00;0,00;315,96;0,17;0,00;0,00;
0,00;0,00;316,28;0,08;0,00;0,00;
0,00;0,00;316,60;0,17;0,00;0,00;
0,00;0,00;316,91;1,34;0,00;0,00;
0,00;0,00;317,23;2,56;0,00;0,00;
0,00;0,00;317,56;2,04;0,00;0,00;
0,00;0,00;317,88;2,26;0,00;0,00;
0,00;0,00;318,20;2,34;0,00;0,00;
0,00;0,00;318,52;2,52;0,00;0,00;
0,00;0,00;318,84;2,70;0,00;0,00;
0,00;0,00;319,16;2,91;0,00;0,00;
0,00;0,00;319,48;3,00;0,00;0,00;
0,00;0,00;319,79;3,04;0,00;0,00;
0,00;0,00;320,12;3,21;0,00;0,00;
0,00;0,00;320,44;3,43;0,00;0,00;
0,00;0,00;320,76;3,43;0,00;0,00;
0,00;0,00;321,08;3,65;0,00;0,00;
0,00;0,00;321,39;3,74;0,00;0,00;
0,00;0,00;321,72;3,95;0,00;0,00;
0,00;0,00;322,04;4,04;0,00;0,00;
0,00;0,00;322,36;4,17;0,00;0,00;
0,00;0,00;322,68;4,17;0,00;0,00;
0,00;0,00;323,00;4,38;0,00;0,00;
0,00;0,00;323,32;4,47;0,00;0,00;
0,00;0,00;323,64;4,56;0,00;0,00;
0,00;0,00;323,96;4,61;0,00;0,00;
0,00;0,00;324,28;4,78;0,00;0,00;
0,00;0,00;324,60;5,00;0,00;0,00;
0,00;0,00;324,92;5,04;0,00;0,00;
0,00;0,00;325,24;5,26;0,00;0,00;
0,00;0,00;325,56;5,38;0,00;0,00;
0,00;0,00;325,88;5,51;0,00;0,00;
0,00;0,00;326,20;5,60;0,00;0,00;
0,00;0,00;326,52;5,74;0,00;0,00;
0,00;0,00;326,84;5,99;0,00;0,00;
0,00;0,00;327,16;6,21;0,00;0,00;
0,00;0,00;327,48;6,39;0,00;0,00;
0,00;0,00;327,80;6,60;0,00;0,00;
0,00;0,00;328,11;6,73;0,00;0,00;
0,00;0,00;328,44;6,73;0,00;0,00;
0,00;0,00;328,76;6,82;0,00;0,00;
0,00;0,00;329,07;8,00;0,00;0,00;
0,00;0,00;329,30;9,56;0,00;0,00;
0,00;0,00;329,31;9,56;0,00;0,00;
0,00;0,00;329,32;9,56;0,00;0,00;
0,00;0,00;329,32;9,56;0,00;0,00;
0,00;0,00;329,32;9,56;0,00;0,00;
0,00;0,00;329,32;9,56;0,00;0,00;
0,00;0,00;329,32;9,56;0,00;0,00;
