7634;18.12.19 12:04:30;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20191218115413;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;135,19;0,74;0,00;0,00;
0,00;0,00;135,30;0,75;0,00;0,00;
0,00;0,00;135,41;0,75;0,00;0,00;
0,00;0,00;135,53;0,76;0,00;0,00;
0,00;0,00;135,64;0,77;0,00;0,00;
0,00;0,00;135,75;0,78;0,00;0,00;
0,00;0,00;135,86;0,78;0,00;0,00;
0,00;0,00;135,97;0,79;0,00;0,00;
0,00;0,00;136,08;0,81;0,00;0,00;
0,00;0,00;136,20;0,81;0,00;0,00;
0,00;0,00;136,31;0,82;0,00;0,00;
0,00;0,00;136,42;0,81;0,00;0,00;
0,00;0,00;136,53;0,82;0,00;0,00;
0,00;0,00;136,64;0,84;0,00;0,00;
0,00;0,00;136,76;0,83;0,00;0,00;
0,00;0,00;136,87;0,85;0,00;0,00;
0,00;0,00;136,98;0,86;0,00;0,00;
0,00;0,00;137,09;0,87;0,00;0,00;
0,00;0,00;137,21;0,87;0,00;0,00;
0,00;0,00;137,32;0,87;0,00;0,00;
0,00;0,00;137,43;0,88;0,00;0,00;
0,00;0,00;137,54;0,87;0,00;0,00;
0,00;0,00;137,65;0,88;0,00;0,00;
0,00;0,00;137,76;0,90;0,00;0,00;
0,00;0,00;137,88;0,90;0,00;0,00;
0,00;0,00;137,99;0,90;0,00;0,00;
0,00;0,00;138,10;0,90;0,00;0,00;
0,00;0,00;138,21;0,90;0,00;0,00;
0,00;0,00;138,33;0,90;0,00;0,00;
0,00;0,00;138,44;0,90;0,00;0,00;
0,00;0,00;138,55;0,91;0,00;0,00;
0,00;0,00;138,66;0,91;0,00;0,00;
0,00;0,00;138,77;0,91;0,00;0,00;
0,00;0,00;138,89;0,91;0,00;0,00;
0,00;0,00;139,00;0,91;0,00;0,00;
0,00;0,00;139,11;0,90;0,00;0,00;
0,00;0,00;139,22;0,93;0,00;0,00;
0,00;0,00;139,33;0,92;0,00;0,00;
0,00;0,00;139,44;0,92;0,00;0,00;
0,00;0,00;139,56;0,93;0,00;0,00;
0,00;0,00;139,67;0,92;0,00;0,00;
0,00;0,00;139,78;0,92;0,00;0,00;
0,00;0,00;139,89;0,93;0,00;0,00;
0,00;0,00;140,00;0,94;0,00;0,00;
0,00;0,00;140,12;0,96;0,00;0,00;
0,00;0,00;140,23;0,95;0,00;0,00;
0,00;0,00;140,34;0,93;0,00;0,00;
0,00;0,00;140,45;0,93;0,00;0,00;
0,00;0,00;140,56;0,93;0,00;0,00;
0,00;0,00;140,68;0,93;0,00;0,00;
0,00;0,00;140,79;0,92;0,00;0,00;
0,00;0,00;140,90;0,93;0,00;0,00;
0,00;0,00;141,01;0,92;0,00;0,00;
0,00;0,00;141,13;0,93;0,00;0,00;
0,00;0,00;141,24;0,92;0,00;0,00;
0,00;0,00;141,35;0,91;0,00;0,00;
0,00;0,00;141,46;0,92;0,00;0,00;
0,00;0,00;141,57;0,91;0,00;0,00;
0,00;0,00;141,69;0,90;0,00;0,00;
0,00;0,00;141,80;0,90;0,00;0,00;
0,00;0,00;141,91;0,90;0,00;0,00;
0,00;0,00;142,02;0,90;0,00;0,00;
0,00;0,00;142,13;0,90;0,00;0,00;
0,00;0,00;142,25;0,90;0,00;0,00;
0,00;0,00;142,36;0,89;0,00;0,00;
0,00;0,00;142,47;0,89;0,00;0,00;
0,00;0,00;142,58;0,88;0,00;0,00;
0,00;0,00;142,69;0,88;0,00;0,00;
0,00;0,00;142,80;0,89;0,00;0,00;
0,00;0,00;142,92;0,88;0,00;0,00;
0,00;0,00;143,03;0,88;0,00;0,00;
0,00;0,00;143,14;0,87;0,00;0,00;
0,00;0,00;143,25;0,87;0,00;0,00;
0,00;0,00;143,36;0,87;0,00;0,00;
0,00;0,00;143,48;0,87;0,00;0,00;
0,00;0,00;143,59;0,87;0,00;0,00;
0,00;0,00;143,70;0,87;0,00;0,00;
0,00;0,00;143,81;0,87;0,00;0,00;
0,00;0,00;143,93;0,87;0,00;0,00;
0,00;0,00;144,04;0,87;0,00;0,00;
0,00;0,00;144,15;0,87;0,00;0,00;
0,00;0,00;144,26;0,87;0,00;0,00;
0,00;0,00;144,37;0,86;0,00;0,00;
0,00;0,00;144,49;0,86;0,00;0,00;
0,00;0,00;144,60;0,85;0,00;0,00;
0,00;0,00;144,71;0,86;0,00;0,00;
0,00;0,00;144,82;0,85;0,00;0,00;
0,00;0,00;144,93;0,85;0,00;0,00;
0,00;0,00;145,04;0,85;0,00;0,00;
0,00;0,00;145,16;0,84;0,00;0,00;
0,00;0,00;145,27;0,84;0,00;0,00;
0,00;0,00;145,38;0,84;0,00;0,00;
0,00;0,00;145,49;0,84;0,00;0,00;
0,00;0,00;145,61;0,82;0,00;0,00;
0,00;0,00;145,72;0,82;0,00;0,00;
0,00;0,00;145,83;0,82;0,00;0,00;
0,00;0,00;145,94;0,83;0,00;0,00;
0,00;0,00;146,05;0,83;0,00;0,00;
0,00;0,00;146,16;0,82;0,00;0,00;
0,00;0,00;146,28;0,82;0,00;0,00;
0,00;0,00;146,39;0,82;0,00;0,00;
0,00;0,00;146,50;0,82;0,00;0,00;
0,00;0,00;146,61;0,81;0,00;0,00;
0,00;0,00;146,73;0,82;0,00;0,00;
0,00;0,00;146,84;0,81;0,00;0,00;
0,00;0,00;146,95;0,82;0,00;0,00;
0,00;0,00;147,06;0,81;0,00;0,00;
0,00;0,00;147,17;0,81;0,00;0,00;
0,00;0,00;147,29;0,82;0,00;0,00;
0,00;0,00;147,40;0,82;0,00;0,00;
0,00;0,00;147,51;0,82;0,00;0,00;
0,00;0,00;147,62;0,81;0,00;0,00;
0,00;0,00;147,73;0,82;0,00;0,00;
0,00;0,00;147,85;0,82;0,00;0,00;
0,00;0,00;147,96;0,82;0,00;0,00;
0,00;0,00;148,07;0,82;0,00;0,00;
0,00;0,00;148,18;0,82;0,00;0,00;
0,00;0,00;148,29;0,81;0,00;0,00;
0,00;0,00;148,41;0,82;0,00;0,00;
0,00;0,00;148,52;0,81;0,00;0,00;
0,00;0,00;148,63;0,81;0,00;0,00;
0,00;0,00;148,74;0,81;0,00;0,00;
0,00;0,00;148,85;0,82;0,00;0,00;
0,00;0,00;148,97;0,81;0,00;0,00;
0,00;0,00;149,08;0,82;0,00;0,00;
0,00;0,00;149,19;0,82;0,00;0,00;
0,00;0,00;149,30;0,82;0,00;0,00;
0,00;0,00;149,41;0,82;0,00;0,00;
0,00;0,00;149,53;0,83;0,00;0,00;
0,00;0,00;149,64;0,84;0,00;0,00;
0,00;0,00;149,75;0,84;0,00;0,00;
0,00;0,00;149,86;0,84;0,00;0,00;
0,00;0,00;149,97;0,84;0,00;0,00;
0,00;0,00;150,08;0,84;0,00;0,00;
0,00;0,00;150,20;0,84;0,00;0,00;
0,00;0,00;150,31;0,84;0,00;0,00;
0,00;0,00;150,42;0,86;0,00;0,00;
0,00;0,00;150,53;0,85;0,00;0,00;
0,00;0,00;150,64;0,86;0,00;0,00;
0,00;0,00;150,76;0,86;0,00;0,00;
0,00;0,00;150,87;0,85;0,00;0,00;
0,00;0,00;150,98;0,87;0,00;0,00;
0,00;0,00;151,09;0,85;0,00;0,00;
0,00;0,00;151,21;0,86;0,00;0,00;
0,00;0,00;151,32;0,86;0,00;0,00;
0,00;0,00;151,43;0,86;0,00;0,00;
0,00;0,00;151,54;0,86;0,00;0,00;
0,00;0,00;151,65;0,86;0,00;0,00;
0,00;0,00;151,77;0,87;0,00;0,00;
0,00;0,00;151,88;0,86;0,00;0,00;
0,00;0,00;151,99;0,87;0,00;0,00;
0,00;0,00;152,10;0,87;0,00;0,00;
0,00;0,00;152,21;0,87;0,00;0,00;
0,00;0,00;152,33;0,87;0,00;0,00;
0,00;0,00;152,44;0,87;0,00;0,00;
0,00;0,00;152,55;0,87;0,00;0,00;
0,00;0,00;152,66;0,87;0,00;0,00;
0,00;0,00;152,77;0,87;0,00;0,00;
0,00;0,00;152,89;0,87;0,00;0,00;
0,00;0,00;153,00;0,87;0,00;0,00;
