10801;26.10.20 15:20:55;22;Avvicinamento pre-pressata pressata Fuori Ingombro;max force window > max spindle force (39);20201026133852P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,06;0,04;0,00;0,00;
0,00;0,00;0,59;0,06;0,00;0,00;
0,00;0,00;1,63;0,05;0,00;0,00;
0,00;0,00;3,18;0,06;0,00;0,00;
0,00;0,00;5,24;0,05;0,00;0,00;
0,00;0,00;7,82;0,07;0,00;0,00;
0,00;0,00;10,90;0,07;0,00;0,00;
0,00;0,00;14,38;0,02;0,00;0,00;
0,00;0,00;17,89;0,04;0,00;0,00;
0,00;0,00;21,41;0,05;0,00;0,00;
0,00;0,00;24,93;0,04;0,00;0,00;
0,00;0,00;28,45;0,03;0,00;0,00;
0,00;0,00;31,97;0,03;0,00;0,00;
0,00;0,00;35,49;0,04;0,00;0,00;
0,00;0,00;39,01;0,04;0,00;0,00;
0,00;0,00;42,53;0,03;0,00;0,00;
0,00;0,00;46,04;0,03;0,00;0,00;
0,00;0,00;49,57;0,04;0,00;0,00;
0,00;0,00;53,09;0,03;0,00;0,00;
0,00;0,00;56,61;0,04;0,00;0,00;
0,00;0,00;60,13;0,03;0,00;0,00;
0,00;0,00;63,65;0,03;0,00;0,00;
0,00;0,00;67,16;0,03;0,00;0,00;
0,00;0,00;70,69;0,04;0,00;0,00;
0,00;0,00;74,21;0,04;0,00;0,00;
0,00;0,00;77,73;0,03;0,00;0,00;
0,00;0,00;81,08;0,01;0,00;0,00;
0,00;0,00;83,96;0,01;0,00;0,00;
0,00;0,00;88,19;0,01;0,00;0,00;
0,00;0,00;90,78;-0,01;0,00;0,00;
0,00;0,00;90,84;0,02;0,00;0,00;
0,00;0,00;90,95;0,01;0,00;0,00;
0,00;0,00;91,07;0,01;0,00;0,00;
0,00;0,00;91,18;0,02;0,00;0,00;
0,00;0,00;91,29;0,01;0,00;0,00;
0,00;0,00;91,40;0,02;0,00;0,00;
0,00;0,00;91,52;0,02;0,00;0,00;
0,00;0,00;91,63;0,01;0,00;0,00;
0,00;0,00;91,74;0,01;0,00;0,00;
0,00;0,00;91,85;0,01;0,00;0,00;
0,00;0,00;91,96;0,02;0,00;0,00;
0,00;0,00;92,08;0,03;0,00;0,00;
0,00;0,00;92,19;0,02;0,00;0,00;
0,00;0,00;92,30;0,02;0,00;0,00;
0,00;0,00;92,41;0,01;0,00;0,00;
0,00;0,00;92,53;0,03;0,00;0,00;
0,00;0,00;92,64;0,02;0,00;0,00;
0,00;0,00;92,75;0,01;0,00;0,00;
0,00;0,00;92,86;0,02;0,00;0,00;
0,00;0,00;92,97;0,02;0,00;0,00;
0,00;0,00;93,09;0,03;0,00;0,00;
0,00;0,00;93,20;0,03;0,00;0,00;
0,00;0,00;93,31;0,03;0,00;0,00;
0,00;0,00;93,42;0,03;0,00;0,00;
0,00;0,00;93,53;0,03;0,00;0,00;
0,00;0,00;93,65;0,01;0,00;0,00;
0,00;0,00;93,76;0,03;0,00;0,00;
0,00;0,00;93,87;0,03;0,00;0,00;
0,00;0,00;93,98;0,03;0,00;0,00;
0,00;0,00;94,09;0,02;0,00;0,00;
0,00;0,00;94,20;0,02;0,00;0,00;
0,00;0,00;94,32;0,03;0,00;0,00;
0,00;0,00;94,43;0,03;0,00;0,00;
0,00;0,00;94,54;0,02;0,00;0,00;
0,00;0,00;94,65;0,02;0,00;0,00;
0,00;0,00;94,77;0,02;0,00;0,00;
0,00;0,00;94,88;0,03;0,00;0,00;
0,00;0,00;94,99;0,02;0,00;0,00;
0,00;0,00;95,10;0,03;0,00;0,00;
0,00;0,00;95,21;0,03;0,00;0,00;
0,00;0,00;95,32;0,02;0,00;0,00;
0,00;0,00;95,44;0,02;0,00;0,00;
0,00;0,00;95,55;0,03;0,00;0,00;
0,00;0,00;95,66;0,03;0,00;0,00;
0,00;0,00;95,77;0,03;0,00;0,00;
0,00;0,00;95,88;0,02;0,00;0,00;
0,00;0,00;96,00;0,03;0,00;0,00;
0,00;0,00;96,11;0,03;0,00;0,00;
0,00;0,00;96,22;0,03;0,00;0,00;
0,00;0,00;96,33;0,03;0,00;0,00;
0,00;0,00;96,45;0,01;0,00;0,00;
0,00;0,00;96,56;0,03;0,00;0,00;
0,00;0,00;96,67;0,03;0,00;0,00;
0,00;0,00;96,78;0,01;0,00;0,00;
0,00;0,00;96,89;0,02;0,00;0,00;
0,00;0,00;97,00;0,03;0,00;0,00;
0,00;0,00;97,12;0,02;0,00;0,00;
0,00;0,00;97,23;0,02;0,00;0,00;
0,00;0,00;97,34;0,01;0,00;0,00;
0,00;0,00;97,45;0,02;0,00;0,00;
0,00;0,00;97,57;0,02;0,00;0,00;
0,00;0,00;97,68;0,01;0,00;0,00;
0,00;0,00;97,79;0,02;0,00;0,00;
0,00;0,00;97,90;0,02;0,00;0,00;
0,00;0,00;98,01;0,02;0,00;0,00;
0,00;0,00;98,12;0,02;0,00;0,00;
0,00;0,00;98,24;0,01;0,00;0,00;
0,00;0,00;98,35;0,03;0,00;0,00;
0,00;0,00;98,46;0,03;0,00;0,00;
0,00;0,00;98,57;0,02;0,00;0,00;
0,00;0,00;98,68;0,03;0,00;0,00;
0,00;0,00;98,80;0,03;0,00;0,00;
0,00;0,00;98,91;0,02;0,00;0,00;
0,00;0,00;99,02;0,03;0,00;0,00;
0,00;0,00;99,13;0,02;0,00;0,00;
0,00;0,00;99,25;0,14;0,00;0,00;
0,00;0,00;99,30;0,82;0,00;0,00;
0,00;0,00;99,30;0,80;0,00;0,00;
0,00;0,00;99,17;0,01;0,00;0,00;
0,00;0,00;98,50;-0,02;0,00;0,00;
0,00;0,00;97,51;0,05;0,00;0,00;
0,00;0,00;96,96;0,01;0,00;0,00;
0,00;0,00;96,80;0,01;0,00;0,00;
