22187;22.06.21 14:00:56;21;Avvicinamento Pressata Finale;position < min position (11);20210622113751A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;20,00;0,04;0,00;0,00;
0,00;0,00;21,12;0,13;0,00;0,00;
0,00;0,00;24,20;0,04;0,00;0,00;
0,00;0,00;28,82;0,09;0,00;0,00;
0,00;0,00;33,62;0,09;0,00;0,00;
0,00;0,00;38,42;0,09;0,00;0,00;
0,00;0,00;43,22;0,13;0,00;0,00;
0,00;0,00;48,02;0,13;0,00;0,00;
0,00;0,00;52,82;0,09;0,00;0,00;
0,00;0,00;57,62;0,13;0,00;0,00;
0,00;0,00;62,42;0,09;0,00;0,00;
0,00;0,00;67,22;0,04;0,00;0,00;
0,00;0,00;72,02;0,04;0,00;0,00;
0,00;0,00;76,82;0,09;0,00;0,00;
0,00;0,00;81,62;0,04;0,00;0,00;
0,00;0,00;86,42;0,04;0,00;0,00;
0,00;0,00;91,22;0,09;0,00;0,00;
0,00;0,00;96,02;0,09;0,00;0,00;
0,00;0,00;100,82;0,13;0,00;0,00;
0,00;0,00;105,62;0,04;0,00;0,00;
0,00;0,00;110,42;0,09;0,00;0,00;
0,00;0,00;115,22;0,09;0,00;0,00;
0,00;0,00;120,02;0,09;0,00;0,00;
0,00;0,00;124,82;0,04;0,00;0,00;
0,00;0,00;129,62;0,04;0,00;0,00;
0,00;0,00;134,42;0,13;0,00;0,00;
0,00;0,00;139,22;0,13;0,00;0,00;
0,00;0,00;144,02;0,09;0,00;0,00;
0,00;0,00;148,82;0,13;0,00;0,00;
0,00;0,00;153,62;0,09;0,00;0,00;
0,00;0,00;158,42;0,04;0,00;0,00;
0,00;0,00;163,22;0,09;0,00;0,00;
0,00;0,00;168,02;0,04;0,00;0,00;
0,00;0,00;172,82;0,09;0,00;0,00;
0,00;0,00;177,62;0,13;0,00;0,00;
0,00;0,00;181,75;0,09;0,00;0,00;
0,00;0,00;184,04;0,09;0,00;0,00;
0,00;0,00;184,48;0,04;0,00;0,00;
0,00;0,00;184,50;0,13;0,00;0,00;
0,00;0,00;184,67;0,13;0,00;0,00;
0,00;0,00;184,86;0,13;0,00;0,00;
0,00;0,00;185,06;0,13;0,00;0,00;
0,00;0,00;185,25;0,13;0,00;0,00;
0,00;0,00;185,44;0,13;0,00;0,00;
0,00;0,00;185,63;0,13;0,00;0,00;
0,00;0,00;185,82;0,13;0,00;0,00;
0,00;0,00;186,02;0,13;0,00;0,00;
0,00;0,00;186,21;0,13;0,00;0,00;
0,00;0,00;186,40;0,13;0,00;0,00;
0,00;0,00;186,59;0,13;0,00;0,00;
0,00;0,00;186,78;0,13;0,00;0,00;
0,00;0,00;186,98;0,13;0,00;0,00;
0,00;0,00;187,17;0,13;0,00;0,00;
0,00;0,00;187,36;0,13;0,00;0,00;
0,00;0,00;187,55;0,13;0,00;0,00;
0,00;0,00;187,74;0,13;0,00;0,00;
0,00;0,00;187,93;0,13;0,00;0,00;
0,00;0,00;188,13;0,13;0,00;0,00;
0,00;0,00;188,32;0,13;0,00;0,00;
0,00;0,00;188,51;0,13;0,00;0,00;
0,00;0,00;188,70;0,13;0,00;0,00;
0,00;0,00;188,90;0,13;0,00;0,00;
0,00;0,00;189,09;0,13;0,00;0,00;
0,00;0,00;189,28;0,13;0,00;0,00;
0,00;0,00;189,47;0,13;0,00;0,00;
0,00;0,00;189,66;0,13;0,00;0,00;
0,00;0,00;189,86;0,13;0,00;0,00;
0,00;0,00;190,05;0,13;0,00;0,00;
0,00;0,00;190,24;0,13;0,00;0,00;
0,00;0,00;190,43;0,13;0,00;0,00;
0,00;0,00;190,62;0,13;0,00;0,00;
0,00;0,00;190,82;0,13;0,00;0,00;
0,00;0,00;191,01;0,13;0,00;0,00;
0,00;0,00;191,20;0,13;0,00;0,00;
0,00;0,00;191,39;0,13;0,00;0,00;
0,00;0,00;191,58;0,13;0,00;0,00;
0,00;0,00;191,78;0,13;0,00;0,00;
0,00;0,00;191,97;0,13;0,00;0,00;
0,00;0,00;192,16;0,13;0,00;0,00;
0,00;0,00;192,35;0,13;0,00;0,00;
0,00;0,00;192,54;0,13;0,00;0,00;
0,00;0,00;192,74;0,13;0,00;0,00;
0,00;0,00;192,93;0,13;0,00;0,00;
0,00;0,00;193,12;0,13;0,00;0,00;
0,00;0,00;193,31;0,18;0,00;0,00;
0,00;0,00;193,50;0,13;0,00;0,00;
0,00;0,00;193,70;0,13;0,00;0,00;
0,00;0,00;193,89;0,13;0,00;0,00;
0,00;0,00;194,08;0,13;0,00;0,00;
0,00;0,00;194,27;0,13;0,00;0,00;
0,00;0,00;194,46;0,13;0,00;0,00;
0,00;0,00;194,66;0,13;0,00;0,00;
0,00;0,00;194,85;0,13;0,00;0,00;
0,00;0,00;195,04;0,13;0,00;0,00;
0,00;0,00;195,23;0,13;0,00;0,00;
0,00;0,00;195,42;0,13;0,00;0,00;
0,00;0,00;195,62;0,13;0,00;0,00;
0,00;0,00;195,81;0,13;0,00;0,00;
0,00;0,00;196,00;0,13;0,00;0,00;
0,00;0,00;196,19;0,13;0,00;0,00;
0,00;0,00;196,38;0,13;0,00;0,00;
0,00;0,00;196,58;0,13;0,00;0,00;
0,00;0,00;196,77;0,13;0,00;0,00;
0,00;0,00;196,96;0,13;0,00;0,00;
0,00;0,00;197,15;0,13;0,00;0,00;
0,00;0,00;197,34;0,13;0,00;0,00;
0,00;0,00;197,54;0,13;0,00;0,00;
0,00;0,00;197,73;0,13;0,00;0,00;
0,00;0,00;197,92;0,13;0,00;0,00;
0,00;0,00;198,11;0,13;0,00;0,00;
0,00;0,00;198,30;0,13;0,00;0,00;
0,00;0,00;198,50;0,13;0,00;0,00;
0,00;0,00;198,69;0,13;0,00;0,00;
0,00;0,00;198,88;0,13;0,00;0,00;
0,00;0,00;199,07;0,13;0,00;0,00;
0,00;0,00;199,26;0,13;0,00;0,00;
0,00;0,00;199,46;0,13;0,00;0,00;
0,00;0,00;199,65;0,13;0,00;0,00;
0,00;0,00;199,84;0,13;0,00;0,00;
0,00;0,00;200,03;0,13;0,00;0,00;
0,00;0,00;200,22;0,13;0,00;0,00;
0,00;0,00;200,42;0,13;0,00;0,00;
0,00;0,00;200,61;0,13;0,00;0,00;
0,00;0,00;200,80;0,13;0,00;0,00;
0,00;0,00;200,99;0,13;0,00;0,00;
0,00;0,00;201,18;0,27;0,00;0,00;
0,00;0,00;201,38;0,31;0,00;0,00;
0,00;0,00;201,57;0,31;0,00;0,00;
0,00;0,00;201,76;0,39;0,00;0,00;
0,00;0,00;201,95;0,44;0,00;0,00;
0,00;0,00;202,14;0,44;0,00;0,00;
0,00;0,00;202,34;0,31;0,00;0,00;
0,00;0,00;202,53;0,31;0,00;0,00;
