12073;14.06.21 08:45:00;21;Avvicinamento Pressata Fuori Ingombro;start interrupted (14);20210611160302P0028;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,90;-0,06;0,00;0,00;
0,00;0,00;40,16;0,18;0,00;0,00;
0,00;0,00;40,95;0,14;0,00;0,00;
0,00;0,00;42,22;0,07;0,00;0,00;
0,00;0,00;44,01;0,11;0,00;0,00;
0,00;0,00;46,32;0,18;0,00;0,00;
0,00;0,00;49,13;0,16;0,00;0,00;
0,00;0,00;55,41;0,02;0,00;0,00;
0,00;0,00;58,66;0,09;0,00;0,00;
0,00;0,00;61,84;0,07;0,00;0,00;
0,00;0,00;65,04;0,11;0,00;0,00;
0,00;0,00;68,25;0,09;0,00;0,00;
