4838;13.10.20 16:47:43;21;Avvicinamento Pressata Finale;position < min position (11);20201012153935A0202;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;302,08;0,78;0,00;0,00;
0,00;0,00;302,24;0,78;0,00;0,00;
0,00;0,00;302,40;0,78;0,00;0,00;
0,00;0,00;302,56;0,78;0,00;0,00;
0,00;0,00;302,72;0,92;0,00;0,00;
0,00;0,00;302,88;0,87;0,00;0,00;
0,00;0,00;303,04;0,87;0,00;0,00;
0,00;0,00;303,20;0,83;0,00;0,00;
0,00;0,00;303,36;0,83;0,00;0,00;
0,00;0,00;303,52;0,92;0,00;0,00;
0,00;0,00;303,68;0,83;0,00;0,00;
0,00;0,00;303,84;0,87;0,00;0,00;
0,00;0,00;304,00;0,83;0,00;0,00;
0,00;0,00;304,16;0,87;0,00;0,00;
0,00;0,00;304,32;0,87;0,00;0,00;
0,00;0,00;304,48;0,83;0,00;0,00;
0,00;0,00;304,64;0,96;0,00;0,00;
0,00;0,00;304,80;0,96;0,00;0,00;
0,00;0,00;304,96;0,96;0,00;0,00;
0,00;0,00;305,12;0,96;0,00;0,00;
0,00;0,00;305,28;0,96;0,00;0,00;
0,00;0,00;305,44;0,96;0,00;0,00;
0,00;0,00;305,60;0,96;0,00;0,00;
0,00;0,00;305,76;1,00;0,00;0,00;
0,00;0,00;305,92;1,00;0,00;0,00;
0,00;0,00;306,08;1,04;0,00;0,00;
0,00;0,00;306,24;1,09;0,00;0,00;
0,00;0,00;306,40;1,13;0,00;0,00;
0,00;0,00;306,56;1,13;0,00;0,00;
0,00;0,00;306,72;1,22;0,00;0,00;
0,00;0,00;306,88;1,22;0,00;0,00;
0,00;0,00;307,04;1,26;0,00;0,00;
0,00;0,00;307,20;1,26;0,00;0,00;
0,00;0,00;307,36;1,31;0,00;0,00;
0,00;0,00;307,52;1,31;0,00;0,00;
0,00;0,00;307,68;1,31;0,00;0,00;
0,00;0,00;307,84;1,31;0,00;0,00;
0,00;0,00;308,00;1,31;0,00;0,00;
0,00;0,00;308,16;1,31;0,00;0,00;
0,00;0,00;308,32;1,34;0,00;0,00;
0,00;0,00;308,48;1,39;0,00;0,00;
0,00;0,00;308,64;1,39;0,00;0,00;
0,00;0,00;308,80;1,48;0,00;0,00;
0,00;0,00;308,96;1,48;0,00;0,00;
0,00;0,00;309,12;1,48;0,00;0,00;
0,00;0,00;309,28;1,48;0,00;0,00;
0,00;0,00;309,44;1,57;0,00;0,00;
0,00;0,00;309,60;1,61;0,00;0,00;
0,00;0,00;309,76;1,61;0,00;0,00;
0,00;0,00;309,92;1,65;0,00;0,00;
0,00;0,00;310,08;1,65;0,00;0,00;
0,00;0,00;310,24;1,73;0,00;0,00;
0,00;0,00;310,40;1,78;0,00;0,00;
0,00;0,00;310,56;2,13;0,00;0,00;
0,00;0,00;310,71;4,26;0,00;0,00;
0,00;0,00;310,85;8,00;0,00;0,00;
0,00;0,00;310,99;12,22;0,00;0,00;
0,00;0,00;310,99;12,43;0,00;0,00;
0,00;0,00;310,99;12,70;0,00;0,00;
0,00;0,00;311,00;12,91;0,00;0,00;
0,00;0,00;311,00;13,05;0,00;0,00;
0,00;0,00;311,00;13,14;0,00;0,00;
0,00;0,00;311,01;13,31;0,00;0,00;
0,00;0,00;311,01;13,48;0,00;0,00;
0,00;0,00;311,01;13,52;0,00;0,00;
0,00;0,00;311,02;13,65;0,00;0,00;
0,00;0,00;311,02;13,65;0,00;0,00;
0,00;0,00;311,02;13,65;0,00;0,00;
0,00;0,00;311,02;13,65;0,00;0,00;
0,00;0,00;311,02;13,65;0,00;0,00;
0,00;0,00;311,02;13,70;0,00;0,00;
0,00;0,00;311,02;13,65;0,00;0,00;
0,00;0,00;311,02;13,65;0,00;0,00;
0,00;0,00;311,02;13,65;0,00;0,00;
0,00;0,00;311,02;13,65;0,00;0,00;
0,00;0,00;311,02;13,65;0,00;0,00;
