30674;09.02.21 15:24:23;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20210209093058A0217;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;1,96;0,16;0,00;0,00;
0,00;0,00;2,53;0,11;0,00;0,00;
0,00;0,00;3,55;0,13;0,00;0,00;
0,00;0,00;5,07;0,16;0,00;0,00;
0,00;0,00;7,11;0,13;0,00;0,00;
0,00;0,00;9,68;0,11;0,00;0,00;
0,00;0,00;12,74;0,13;0,00;0,00;
0,00;0,00;15,85;0,13;0,00;0,00;
0,00;0,00;19,03;0,06;0,00;0,00;
0,00;0,00;22,25;0,06;0,00;0,00;
0,00;0,00;25,45;0,06;0,00;0,00;
0,00;0,00;28,65;0,11;0,00;0,00;
0,00;0,00;31,85;0,07;0,00;0,00;
0,00;0,00;35,05;0,06;0,00;0,00;
0,00;0,00;38,25;0,07;0,00;0,00;
0,00;0,00;41,45;0,07;0,00;0,00;
0,00;0,00;44,65;0,11;0,00;0,00;
0,00;0,00;47,85;0,07;0,00;0,00;
0,00;0,00;51,05;0,07;0,00;0,00;
0,00;0,00;54,25;0,09;0,00;0,00;
0,00;0,00;57,45;0,05;0,00;0,00;
0,00;0,00;60,65;0,11;0,00;0,00;
0,00;0,00;63,85;0,09;0,00;0,00;
0,00;0,00;67,05;0,09;0,00;0,00;
0,00;0,00;70,25;0,07;0,00;0,00;
0,00;0,00;73,45;0,09;0,00;0,00;
0,00;0,00;76,65;0,09;0,00;0,00;
0,00;0,00;79,85;0,09;0,00;0,00;
0,00;0,00;83,05;0,07;0,00;0,00;
0,00;0,00;86,25;0,11;0,00;0,00;
0,00;0,00;89,45;0,07;0,00;0,00;
0,00;0,00;92,65;0,09;0,00;0,00;
0,00;0,00;95,85;0,05;0,00;0,00;
0,00;0,00;99,05;0,07;0,00;0,00;
0,00;0,00;102,25;0,07;0,00;0,00;
0,00;0,00;105,45;0,05;0,00;0,00;
0,00;0,00;108,65;0,05;0,00;0,00;
0,00;0,00;111,85;0,07;0,00;0,00;
0,00;0,00;115,05;0,04;0,00;0,00;
0,00;0,00;118,25;0,09;0,00;0,00;
0,00;0,00;121,45;0,05;0,00;0,00;
0,00;0,00;124,65;0,09;0,00;0,00;
0,00;0,00;127,85;0,07;0,00;0,00;
0,00;0,00;131,05;0,05;0,00;0,00;
0,00;0,00;134,25;0,05;0,00;0,00;
0,00;0,00;137,45;0,06;0,00;0,00;
0,00;0,00;140,65;0,13;0,00;0,00;
0,00;0,00;145,95;-0,05;0,00;0,00;
0,00;0,00;147,88;-0,05;0,00;0,00;
0,00;0,00;149,30;-0,05;0,00;0,00;
0,00;0,00;150,21;-0,07;0,00;0,00;
0,00;0,00;150,61;-0,07;0,00;0,00;
0,00;0,00;150,80;0,02;0,00;0,00;
0,00;0,00;151,11;0,02;0,00;0,00;
0,00;0,00;152,23;0,18;0,00;0,00;
0,00;0,00;152,39;0,18;0,00;0,00;
0,00;0,00;152,55;1,29;0,00;0,00;
0,00;0,00;152,70;-0,16;0,00;0,00;
0,00;0,00;152,88;0,16;0,00;0,00;
0,00;0,00;153,04;0,06;0,00;0,00;
0,00;0,00;153,35;0,16;0,00;0,00;
0,00;0,00;153,51;0,16;0,00;0,00;
0,00;0,00;153,67;0,59;0,00;0,00;
0,00;0,00;153,82;1,06;0,00;0,00;
0,00;0,00;153,98;1,43;0,00;0,00;
0,00;0,00;154,14;1,94;0,00;0,00;
0,00;0,00;154,30;2,58;0,00;0,00;
0,00;0,00;154,45;3,37;0,00;0,00;
0,00;0,00;154,61;4,41;0,00;0,00;
0,00;0,00;154,76;5,70;0,00;0,00;
0,00;0,00;154,91;7,05;0,00;0,00;
0,00;0,00;155,07;8,75;0,00;0,00;
0,00;0,00;155,10;8,84;0,00;0,00;
0,00;0,00;155,11;9,07;0,00;0,00;
0,00;0,00;155,12;9,07;0,00;0,00;
0,00;0,00;155,12;9,07;0,00;0,00;
0,00;0,00;155,12;9,13;0,00;0,00;
0,00;0,00;155,13;9,13;0,00;0,00;
0,00;0,00;155,13;9,13;0,00;0,00;
0,00;0,00;155,13;9,13;0,00;0,00;
0,00;0,00;155,13;9,13;0,00;0,00;
0,00;0,00;155,13;9,13;0,00;0,00;
0,00;0,00;155,14;9,13;0,00;0,00;
0,00;0,00;155,14;9,13;0,00;0,00;
0,00;0,00;155,14;9,11;0,00;0,00;
