23814;06.07.21 11:02:54;21;Avvicinamento Pressata Fuori Ingombro;position < min position (11);20210705081019P0037;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;0,01;0,00;0,00;
0,00;0,00;0,26;0,07;0,00;0,00;
0,00;0,00;1,05;0,06;0,00;0,00;
0,00;0,00;2,34;0,06;0,00;0,00;
0,00;0,00;4,15;0,06;0,00;0,00;
0,00;0,00;6,47;0,06;0,00;0,00;
0,00;0,00;9,30;0,05;0,00;0,00;
0,00;0,00;12,63;0,07;0,00;0,00;
0,00;0,00;16,12;0,05;0,00;0,00;
0,00;0,00;19,65;0,04;0,00;0,00;
0,00;0,00;23,17;0,04;0,00;0,00;
0,00;0,00;26,69;0,05;0,00;0,00;
0,00;0,00;30,21;0,05;0,00;0,00;
0,00;0,00;33,72;0,05;0,00;0,00;
0,00;0,00;37,25;0,04;0,00;0,00;
0,00;0,00;40,77;0,04;0,00;0,00;
0,00;0,00;44,29;0,04;0,00;0,00;
0,00;0,00;47,81;0,05;0,00;0,00;
0,00;0,00;51,33;0,04;0,00;0,00;
0,00;0,00;54,84;0,03;0,00;0,00;
0,00;0,00;58,37;0,04;0,00;0,00;
0,00;0,00;61,89;0,04;0,00;0,00;
0,00;0,00;65,41;0,05;0,00;0,00;
0,00;0,00;68,93;0,04;0,00;0,00;
0,00;0,00;72,45;0,04;0,00;0,00;
0,00;0,00;75,96;0,04;0,00;0,00;
0,00;0,00;79,49;0,04;0,00;0,00;
0,00;0,00;83,01;0,04;0,00;0,00;
0,00;0,00;86,53;0,04;0,00;0,00;
0,00;0,00;90,05;0,03;0,00;0,00;
0,00;0,00;93,57;0,03;0,00;0,00;
0,00;0,00;97,09;0,04;0,00;0,00;
0,00;0,00;100,61;0,05;0,00;0,00;
0,00;0,00;104,13;0,05;0,00;0,00;
0,00;0,00;107,65;0,04;0,00;0,00;
0,00;0,00;111,17;0,05;0,00;0,00;
0,00;0,00;114,69;0,04;0,00;0,00;
0,00;0,00;118,21;0,05;0,00;0,00;
0,00;0,00;121,66;0,01;0,00;0,00;
0,00;0,00;124,65;0,02;0,00;0,00;
0,00;0,00;127,17;0,03;0,00;0,00;
0,00;0,00;129,19;0,02;0,00;0,00;
0,00;0,00;130,72;0,01;0,00;0,00;
0,00;0,00;131,76;0,01;0,00;0,00;
0,00;0,00;132,30;0,01;0,00;0,00;
0,00;0,00;132,41;0,01;0,00;0,00;
0,00;0,00;132,41;0,02;0,00;0,00;
0,00;0,00;132,43;0,02;0,00;0,00;
0,00;0,00;132,49;0,02;0,00;0,00;
0,00;0,00;132,58;0,01;0,00;0,00;
0,00;0,00;132,66;0,03;0,00;0,00;
0,00;0,00;132,74;0,03;0,00;0,00;
0,00;0,00;132,82;0,03;0,00;0,00;
0,00;0,00;132,90;0,03;0,00;0,00;
0,00;0,00;132,99;0,02;0,00;0,00;
0,00;0,00;133,06;0,03;0,00;0,00;
0,00;0,00;133,14;0,03;0,00;0,00;
0,00;0,00;133,22;0,03;0,00;0,00;
0,00;0,00;133,30;0,03;0,00;0,00;
0,00;0,00;133,38;0,03;0,00;0,00;
0,00;0,00;133,46;0,03;0,00;0,00;
0,00;0,00;133,54;0,03;0,00;0,00;
0,00;0,00;133,62;0,03;0,00;0,00;
0,00;0,00;133,70;0,03;0,00;0,00;
0,00;0,00;133,78;0,03;0,00;0,00;
0,00;0,00;133,86;0,03;0,00;0,00;
0,00;0,00;133,94;0,03;0,00;0,00;
0,00;0,00;134,02;0,03;0,00;0,00;
0,00;0,00;134,10;0,03;0,00;0,00;
0,00;0,00;134,18;0,03;0,00;0,00;
0,00;0,00;134,26;0,03;0,00;0,00;
