13254;05.03.21 15:23:57;21;Avvicinamento Pressata Finale;Alcun errore (0);20210304160613A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;21,12;0,04;0,00;0,00;
0,00;0,00;24,20;-0,04;0,00;0,00;
0,00;0,00;33,62;-0,04;0,00;0,00;
0,00;0,00;38,42;-0,04;0,00;0,00;
0,00;0,00;43,22;0,04;0,00;0,00;
0,00;0,00;52,82;0,04;0,00;0,00;
0,00;0,00;57,62;-0,04;0,00;0,00;
0,00;0,00;62,42;0,04;0,00;0,00;
0,00;0,00;72,02;-0,04;0,00;0,00;
0,00;0,00;76,82;0,04;0,00;0,00;
0,00;0,00;86,42;-0,04;0,00;0,00;
0,00;0,00;105,62;0,04;0,00;0,00;
0,00;0,00;110,42;-0,04;0,00;0,00;
0,00;0,00;115,22;0,04;0,00;0,00;
0,00;0,00;124,82;-0,04;0,00;0,00;
0,00;0,00;129,62;0,04;0,00;0,00;
0,00;0,00;134,42;0,04;0,00;0,00;
0,00;0,00;139,22;0,04;0,00;0,00;
0,00;0,00;158,42;-0,04;0,00;0,00;
0,00;0,00;163,22;-0,04;0,00;0,00;
0,00;0,00;182,42;-0,04;0,00;0,00;
0,00;0,00;192,02;0,04;0,00;0,00;
0,00;0,00;211,22;-0,09;0,00;0,00;
0,00;0,00;216,02;-0,04;0,00;0,00;
0,00;0,00;220,82;0,04;0,00;0,00;
0,00;0,00;225,62;-0,04;0,00;0,00;
0,00;0,00;244,82;-0,04;0,00;0,00;
0,00;0,00;254,17;-0,13;0,00;0,00;
0,00;0,00;257,00;-0,04;0,00;0,00;
0,00;0,00;257,84;-0,04;0,00;0,00;
0,00;0,00;259,87;0,04;0,00;0,00;
0,00;0,00;261,66;0,04;0,00;0,00;
0,00;0,00;261,92;0,04;0,00;0,00;
0,00;0,00;263,20;0,04;0,00;0,00;
0,00;0,00;264,22;0,04;0,00;0,00;
0,00;0,00;264,48;0,04;0,00;0,00;
0,00;0,00;265,50;0,04;0,00;0,00;
0,00;0,00;265,76;0,04;0,00;0,00;
0,00;0,00;266,27;0,13;0,00;0,00;
0,00;0,00;266,53;0,04;0,00;0,00;
0,00;0,00;266,78;0,04;0,00;0,00;
0,00;0,00;267,55;0,04;0,00;0,00;
0,00;0,00;268,06;0,04;0,00;0,00;
0,00;0,00;268,32;0,04;0,00;0,00;
0,00;0,00;268,83;0,04;0,00;0,00;
0,00;0,00;269,60;0,04;0,00;0,00;
0,00;0,00;270,37;0,04;0,00;0,00;
0,00;0,00;270,62;0,04;0,00;0,00;
0,00;0,00;270,88;0,04;0,00;0,00;
0,00;0,00;271,39;0,04;0,00;0,00;
0,00;0,00;271,65;0,04;0,00;0,00;
0,00;0,00;271,90;0,04;0,00;0,00;
0,00;0,00;272,42;0,04;0,00;0,00;
0,00;0,00;273,44;0,04;0,00;0,00;
0,00;0,00;273,95;0,04;0,00;0,00;
0,00;0,00;274,72;0,04;0,00;0,00;
0,00;0,00;275,23;0,13;0,00;0,00;
0,00;0,00;275,49;0,18;0,00;0,00;
0,00;0,00;275,74;0,22;0,00;0,00;
0,00;0,00;276,00;0,31;0,00;0,00;
0,00;0,00;276,25;0,36;0,00;0,00;
0,00;0,00;276,51;0,36;0,00;0,00;
0,00;0,00;276,77;0,36;0,00;0,00;
0,00;0,00;277,02;0,22;0,00;0,00;
0,00;0,00;277,28;0,22;0,00;0,00;
0,00;0,00;277,53;0,18;0,00;0,00;
0,00;0,00;277,79;0,18;0,00;0,00;
0,00;0,00;278,05;0,18;0,00;0,00;
0,00;0,00;278,30;0,48;0,00;0,00;
0,00;0,00;278,55;2,95;0,00;0,00;
0,00;0,00;278,81;2,61;0,00;0,00;
0,00;0,00;278,90;2,27;0,00;0,00;
0,00;0,00;278,60;-0,18;0,00;0,00;
0,00;0,00;276,50;-0,13;0,00;0,00;
0,00;0,00;267,69;-0,13;0,00;0,00;
0,00;0,00;258,08;-0,04;0,00;0,00;
0,00;0,00;253,28;-0,04;0,00;0,00;
0,00;0,00;248,48;-0,09;0,00;0,00;
0,00;0,00;238,88;-0,09;0,00;0,00;
0,00;0,00;229,28;-0,04;0,00;0,00;
0,00;0,00;219,68;-0,04;0,00;0,00;
0,00;0,00;214,88;-0,04;0,00;0,00;
0,00;0,00;205,28;-0,04;0,00;0,00;
0,00;0,00;190,88;-0,04;0,00;0,00;
0,00;0,00;186,08;-0,04;0,00;0,00;
0,00;0,00;181,28;-0,04;0,00;0,00;
0,00;0,00;176,48;0,04;0,00;0,00;
0,00;0,00;166,88;0,04;0,00;0,00;
0,00;0,00;162,08;-0,04;0,00;0,00;
0,00;0,00;152,48;-0,04;0,00;0,00;
0,00;0,00;147,68;-0,09;0,00;0,00;
0,00;0,00;142,88;0,04;0,00;0,00;
0,00;0,00;133,28;0,04;0,00;0,00;
0,00;0,00;128,48;-0,09;0,00;0,00;
0,00;0,00;123,68;-0,04;0,00;0,00;
0,00;0,00;118,88;-0,04;0,00;0,00;
0,00;0,00;114,08;0,09;0,00;0,00;
0,00;0,00;109,28;-0,04;0,00;0,00;
0,00;0,00;104,48;0,04;0,00;0,00;
0,00;0,00;99,68;-0,04;0,00;0,00;
0,00;0,00;85,28;-0,04;0,00;0,00;
0,00;0,00;80,48;0,04;0,00;0,00;
0,00;0,00;75,68;-0,04;0,00;0,00;
0,00;0,00;70,88;0,04;0,00;0,00;
0,00;0,00;63,69;0,04;0,00;0,00;
