7651;13.01.20 10:08:35;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20200113100127;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;70,25;0,05;0,00;0,00;
0,00;0,00;71,04;0,04;0,00;0,00;
0,00;0,00;72,33;0,04;0,00;0,00;
0,00;0,00;74,14;0,04;0,00;0,00;
0,00;0,00;76,46;0,04;0,00;0,00;
0,00;0,00;79,29;0,04;0,00;0,00;
0,00;0,00;82,62;0,05;0,00;0,00;
0,00;0,00;86,12;0,03;0,00;0,00;
0,00;0,00;89,65;0,02;0,00;0,00;
0,00;0,00;93,17;0,01;0,00;0,00;
0,00;0,00;96,69;0,03;0,00;0,00;
0,00;0,00;100,21;0,02;0,00;0,00;
0,00;0,00;103,73;0,03;0,00;0,00;
0,00;0,00;107,25;0,02;0,00;0,00;
0,00;0,00;110,77;0,02;0,00;0,00;
0,00;0,00;114,12;0,01;0,00;0,00;
0,00;0,00;117,01;-0,01;0,00;0,00;
0,00;0,00;121,29;0,00;0,00;0,00;
0,00;0,00;122,68;-0,01;0,00;0,00;
0,00;0,00;123,58;-0,01;0,00;0,00;
0,00;0,00;123,98;-0,02;0,00;0,00;
0,00;0,00;124,02;-0,01;0,00;0,00;
0,00;0,00;124,03;0,01;0,00;0,00;
0,00;0,00;124,69;-0,01;0,00;0,00;
0,00;0,00;126,48;0,15;0,00;0,00;
0,00;0,00;126,58;0,59;0,00;0,00;
0,00;0,00;126,70;0,62;0,00;0,00;
0,00;0,00;126,81;0,67;0,00;0,00;
0,00;0,00;126,93;0,72;0,00;0,00;
0,00;0,00;127,04;0,74;0,00;0,00;
0,00;0,00;127,15;0,77;0,00;0,00;
0,00;0,00;127,27;0,81;0,00;0,00;
0,00;0,00;127,38;0,84;0,00;0,00;
0,00;0,00;127,49;0,88;0,00;0,00;
0,00;0,00;127,60;0,90;0,00;0,00;
0,00;0,00;127,71;0,93;0,00;0,00;
0,00;0,00;127,82;0,96;0,00;0,00;
0,00;0,00;127,94;0,99;0,00;0,00;
0,00;0,00;128,05;1,00;0,00;0,00;
0,00;0,00;128,16;1,03;0,00;0,00;
0,00;0,00;128,27;1,04;0,00;0,00;
0,00;0,00;128,39;1,05;0,00;0,00;
0,00;0,00;128,50;1,06;0,00;0,00;
0,00;0,00;128,61;1,08;0,00;0,00;
0,00;0,00;128,72;1,10;0,00;0,00;
0,00;0,00;128,83;1,11;0,00;0,00;
0,00;0,00;128,94;1,13;0,00;0,00;
0,00;0,00;129,06;1,14;0,00;0,00;
0,00;0,00;129,17;1,15;0,00;0,00;
0,00;0,00;129,28;1,19;0,00;0,00;
0,00;0,00;129,39;1,23;0,00;0,00;
0,00;0,00;129,50;1,26;0,00;0,00;
0,00;0,00;129,62;1,26;0,00;0,00;
0,00;0,00;129,73;1,29;0,00;0,00;
0,00;0,00;129,84;1,29;0,00;0,00;
0,00;0,00;129,95;1,30;0,00;0,00;
0,00;0,00;130,07;1,31;0,00;0,00;
0,00;0,00;130,18;1,34;0,00;0,00;
0,00;0,00;130,29;1,37;0,00;0,00;
0,00;0,00;130,40;1,37;0,00;0,00;
0,00;0,00;130,51;1,40;0,00;0,00;
0,00;0,00;130,62;1,42;0,00;0,00;
0,00;0,00;130,74;1,43;0,00;0,00;
0,00;0,00;130,85;1,45;0,00;0,00;
0,00;0,00;130,96;1,45;0,00;0,00;
0,00;0,00;131,07;1,47;0,00;0,00;
0,00;0,00;131,18;1,49;0,00;0,00;
0,00;0,00;131,30;1,51;0,00;0,00;
0,00;0,00;131,41;1,53;0,00;0,00;
0,00;0,00;131,52;1,54;0,00;0,00;
0,00;0,00;131,63;1,56;0,00;0,00;
0,00;0,00;131,75;1,58;0,00;0,00;
0,00;0,00;131,86;1,59;0,00;0,00;
0,00;0,00;131,97;1,61;0,00;0,00;
0,00;0,00;132,08;1,62;0,00;0,00;
0,00;0,00;132,19;1,65;0,00;0,00;
0,00;0,00;132,30;1,69;0,00;0,00;
0,00;0,00;132,42;1,69;0,00;0,00;
0,00;0,00;132,53;1,71;0,00;0,00;
0,00;0,00;132,64;1,73;0,00;0,00;
0,00;0,00;132,75;1,75;0,00;0,00;
0,00;0,00;132,86;1,76;0,00;0,00;
0,00;0,00;132,98;1,77;0,00;0,00;
0,00;0,00;133,09;1,77;0,00;0,00;
0,00;0,00;133,20;1,77;0,00;0,00;
0,00;0,00;133,31;1,79;0,00;0,00;
0,00;0,00;133,42;1,80;0,00;0,00;
0,00;0,00;133,54;1,81;0,00;0,00;
0,00;0,00;133,65;1,83;0,00;0,00;
0,00;0,00;133,76;1,85;0,00;0,00;
0,00;0,00;133,87;1,86;0,00;0,00;
0,00;0,00;133,99;1,88;0,00;0,00;
0,00;0,00;134,10;1,89;0,00;0,00;
0,00;0,00;134,21;1,90;0,00;0,00;
0,00;0,00;134,32;1,89;0,00;0,00;
0,00;0,00;134,43;1,89;0,00;0,00;
0,00;0,00;134,55;1,89;0,00;0,00;
0,00;0,00;134,66;1,88;0,00;0,00;
0,00;0,00;134,77;1,88;0,00;0,00;
0,00;0,00;134,88;1,87;0,00;0,00;
0,00;0,00;134,99;1,88;0,00;0,00;
0,00;0,00;135,11;1,88;0,00;0,00;
0,00;0,00;135,22;1,86;0,00;0,00;
0,00;0,00;135,33;1,86;0,00;0,00;
0,00;0,00;135,44;1,85;0,00;0,00;
0,00;0,00;135,55;1,83;0,00;0,00;
0,00;0,00;135,67;1,83;0,00;0,00;
0,00;0,00;135,78;1,80;0,00;0,00;
0,00;0,00;135,89;1,80;0,00;0,00;
0,00;0,00;136,00;1,80;0,00;0,00;
0,00;0,00;136,11;1,81;0,00;0,00;
0,00;0,00;136,22;1,80;0,00;0,00;
0,00;0,00;136,34;1,79;0,00;0,00;
0,00;0,00;136,45;1,80;0,00;0,00;
0,00;0,00;136,56;1,78;0,00;0,00;
0,00;0,00;136,67;1,77;0,00;0,00;
0,00;0,00;136,79;1,74;0,00;0,00;
0,00;0,00;136,90;1,73;0,00;0,00;
0,00;0,00;137,01;1,70;0,00;0,00;
0,00;0,00;137,12;1,69;0,00;0,00;
0,00;0,00;137,23;1,69;0,00;0,00;
0,00;0,00;137,35;1,69;0,00;0,00;
0,00;0,00;137,46;1,71;0,00;0,00;
0,00;0,00;137,57;1,71;0,00;0,00;
0,00;0,00;137,68;1,70;0,00;0,00;
0,00;0,00;137,79;1,72;0,00;0,00;
0,00;0,00;137,91;1,69;0,00;0,00;
0,00;0,00;138,02;1,69;0,00;0,00;
0,00;0,00;138,13;1,69;0,00;0,00;
0,00;0,00;138,24;1,69;0,00;0,00;
0,00;0,00;138,35;1,69;0,00;0,00;
0,00;0,00;138,47;1,67;0,00;0,00;
0,00;0,00;138,58;1,65;0,00;0,00;
0,00;0,00;138,69;1,66;0,00;0,00;
0,00;0,00;138,80;1,65;0,00;0,00;
0,00;0,00;138,91;1,64;0,00;0,00;
0,00;0,00;139,02;1,65;0,00;0,00;
0,00;0,00;139,14;1,64;0,00;0,00;
0,00;0,00;139,25;1,63;0,00;0,00;
0,00;0,00;139,36;1,63;0,00;0,00;
0,00;0,00;139,47;1,61;0,00;0,00;
0,00;0,00;139,58;1,61;0,00;0,00;
0,00;0,00;139,70;1,58;0,00;0,00;
0,00;0,00;139,81;1,57;0,00;0,00;
0,00;0,00;139,92;1,57;0,00;0,00;
0,00;0,00;140,03;1,57;0,00;0,00;
0,00;0,00;140,15;1,56;0,00;0,00;
0,00;0,00;140,26;1,55;0,00;0,00;
0,00;0,00;140,37;1,53;0,00;0,00;
0,00;0,00;140,48;1,53;0,00;0,00;
0,00;0,00;140,59;1,50;0,00;0,00;
0,00;0,00;140,71;1,50;0,00;0,00;
0,00;0,00;140,82;1,50;0,00;0,00;
0,00;0,00;140,93;1,49;0,00;0,00;
0,00;0,00;141,04;1,50;0,00;0,00;
0,00;0,00;141,15;1,48;0,00;0,00;
0,00;0,00;141,27;1,46;0,00;0,00;
0,00;0,00;141,38;1,44;0,00;0,00;
0,00;0,00;141,49;1,45;0,00;0,00;
0,00;0,00;141,60;1,43;0,00;0,00;
0,00;0,00;141,71;1,43;0,00;0,00;
0,00;0,00;141,83;1,40;0,00;0,00;
0,00;0,00;141,94;1,39;0,00;0,00;
0,00;0,00;142,05;1,39;0,00;0,00;
0,00;0,00;142,16;1,38;0,00;0,00;
0,00;0,00;142,27;1,37;0,00;0,00;
0,00;0,00;142,39;1,35;0,00;0,00;
0,00;0,00;142,50;1,34;0,00;0,00;
0,00;0,00;142,61;1,34;0,00;0,00;
0,00;0,00;142,72;1,34;0,00;0,00;
0,00;0,00;142,83;1,32;0,00;0,00;
0,00;0,00;142,95;1,33;0,00;0,00;
0,00;0,00;143,06;1,31;0,00;0,00;
0,00;0,00;143,17;1,30;0,00;0,00;
0,00;0,00;143,28;1,29;0,00;0,00;
0,00;0,00;143,39;1,29;0,00;0,00;
0,00;0,00;143,51;1,29;0,00;0,00;
0,00;0,00;143,62;1,29;0,00;0,00;
0,00;0,00;143,73;1,27;0,00;0,00;
0,00;0,00;143,84;1,28;0,00;0,00;
0,00;0,00;143,95;1,27;0,00;0,00;
0,00;0,00;144,06;1,27;0,00;0,00;
0,00;0,00;144,18;1,27;0,00;0,00;
0,00;0,00;144,29;1,26;0,00;0,00;
0,00;0,00;144,40;1,28;0,00;0,00;
0,00;0,00;144,51;1,26;0,00;0,00;
0,00;0,00;144,62;1,29;0,00;0,00;
0,00;0,00;144,74;1,29;0,00;0,00;
0,00;0,00;144,85;1,29;0,00;0,00;
0,00;0,00;144,96;1,26;0,00;0,00;
0,00;0,00;145,07;1,26;0,00;0,00;
0,00;0,00;145,19;1,25;0,00;0,00;
0,00;0,00;145,30;1,25;0,00;0,00;
0,00;0,00;145,41;1,27;0,00;0,00;
0,00;0,00;145,52;1,26;0,00;0,00;
0,00;0,00;145,63;1,29;0,00;0,00;
0,00;0,00;145,74;1,26;0,00;0,00;
0,00;0,00;145,86;1,26;0,00;0,00;
0,00;0,00;145,97;1,24;0,00;0,00;
0,00;0,00;146,08;1,25;0,00;0,00;
0,00;0,00;146,19;1,23;0,00;0,00;
0,00;0,00;146,31;1,23;0,00;0,00;
0,00;0,00;146,42;1,22;0,00;0,00;
0,00;0,00;146,53;1,22;0,00;0,00;
0,00;0,00;146,64;1,20;0,00;0,00;
0,00;0,00;146,75;1,20;0,00;0,00;
0,00;0,00;146,87;1,20;0,00;0,00;
0,00;0,00;146,98;1,18;0,00;0,00;
0,00;0,00;147,09;1,17;0,00;0,00;
0,00;0,00;147,20;1,17;0,00;0,00;
0,00;0,00;147,31;1,17;0,00;0,00;
0,00;0,00;147,42;1,17;0,00;0,00;
0,00;0,00;147,54;1,16;0,00;0,00;
0,00;0,00;147,65;1,15;0,00;0,00;
0,00;0,00;147,76;1,14;0,00;0,00;
0,00;0,00;147,87;1,13;0,00;0,00;
0,00;0,00;147,99;1,13;0,00;0,00;
0,00;0,00;148,10;1,14;0,00;0,00;
0,00;0,00;148,21;1,14;0,00;0,00;
0,00;0,00;148,32;1,15;0,00;0,00;
0,00;0,00;148,43;1,14;0,00;0,00;
0,00;0,00;148,55;1,14;0,00;0,00;
0,00;0,00;148,66;1,12;0,00;0,00;
0,00;0,00;148,77;1,12;0,00;0,00;
0,00;0,00;148,88;1,11;0,00;0,00;
0,00;0,00;148,99;1,12;0,00;0,00;
